!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:25:51
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22 Log Mag(dB),S22 Phase(°)
1000000000,-10.930903,92.541748
1001000000,-10.987521,92.567764
1002000000,-11.012508,92.548782
1003000000,-10.991899,92.384621
1004000000,-11.020203,92.054932
1005000000,-11.057718,92.266708
1006000000,-11.044017,91.843376
1007000000,-11.087819,91.857903
1008000000,-11.04544,91.648415
1009000000,-11.082186,91.704369
1010000000,-11.10241,91.609802
1011000000,-11.108741,91.440063
1012000000,-11.136457,91.599464
1013000000,-11.184651,91.328529
1014000000,-11.215725,91.210114
1015000000,-11.14613,91.333916
1016000000,-11.189468,90.948639
1017000000,-11.217411,90.855194
1018000000,-11.265887,90.724693
1019000000,-11.258414,90.828659
1020000000,-11.30047,90.494919
1021000000,-11.294121,90.660141
1022000000,-11.308737,90.382614
1023000000,-11.299639,90.197433
1024000000,-11.338431,90.130577
1025000000,-11.383286,90.01339
1026000000,-11.348786,90.044212
1027000000,-11.374321,89.745239
1028000000,-11.412807,89.709862
1029000000,-11.435217,89.433434
1030000000,-11.435358,89.393944
1031000000,-11.423741,89.576294
1032000000,-11.452751,89.272186
1033000000,-11.473334,89.207565
1034000000,-11.473856,89.094055
1035000000,-11.527229,88.938789
1036000000,-11.551644,88.734116
1037000000,-11.548045,88.496956
1038000000,-11.548675,88.485474
1039000000,-11.535129,88.200859
1040000000,-11.568441,87.958328
1041000000,-11.59677,88.123039
1042000000,-11.635574,88.182083
1043000000,-11.588,88.093048
1044000000,-11.617673,87.931801
1045000000,-11.672144,87.743134
1046000000,-11.675427,87.400368
1047000000,-11.654202,87.501747
1048000000,-11.71086,87.708588
1049000000,-11.719254,87.327713
1050000000,-11.717004,87.252357
1051000000,-11.715033,87.111603
1052000000,-11.754237,87.005905
1053000000,-11.74315,86.938004
1054000000,-11.785465,86.686363
1055000000,-11.797523,86.657005
1056000000,-11.781026,86.662949
1057000000,-11.793333,86.383018
1058000000,-11.867849,86.609406
1059000000,-11.864545,86.387489
1060000000,-11.873174,85.819305
1061000000,-11.917826,86.190514
1062000000,-11.894399,86.151688
1063000000,-11.88366,85.78405
1064000000,-11.947609,85.899544
1065000000,-11.938257,85.732719
1066000000,-11.956166,85.590668
1067000000,-11.983307,85.414604
1068000000,-12.024911,85.096764
1069000000,-12.026273,85.184204
1070000000,-12.067506,85.358047
1071000000,-12.024836,85.078232
1072000000,-12.08534,85.163475
1073000000,-12.08484,85.090233
1074000000,-12.13499,84.866707
1075000000,-12.136518,84.590797
1076000000,-12.138799,84.782936
1077000000,-12.206723,84.213425
1078000000,-12.175266,84.369484
1079000000,-12.202793,84.334648
1080000000,-12.219142,84.266487
1081000000,-12.265414,84.016747
1082000000,-12.224333,84.09433
1083000000,-12.261549,83.666229
1084000000,-12.303578,83.95536
1085000000,-12.324922,83.720772
1086000000,-12.332075,83.47892
1087000000,-12.330159,83.484344
1088000000,-12.367362,83.245018
1089000000,-12.383147,83.333168
1090000000,-12.354875,83.29258
1091000000,-12.409737,83.315063
1092000000,-12.458972,82.944
1093000000,-12.44655,82.799782
1094000000,-12.496449,82.693855
1095000000,-12.505836,82.477951
1096000000,-12.536291,82.417923
1097000000,-12.536193,82.360535
1098000000,-12.526438,81.966713
1099000000,-12.538545,82.098099
1100000000,-12.624815,82.053802
1101000000,-12.626075,82.041252
1102000000,-12.668464,81.850128
1103000000,-12.678668,81.888123
1104000000,-12.678459,81.895172
1105000000,-12.719204,81.566833
1106000000,-12.704473,81.603142
1107000000,-12.746101,81.324448
1108000000,-12.77954,81.222908
1109000000,-12.795933,81.239113
1110000000,-12.811255,80.575096
1111000000,-12.852796,80.913437
1112000000,-12.84136,80.512207
1113000000,-12.885521,80.735489
1114000000,-12.861771,80.551682
1115000000,-12.909768,80.110107
1116000000,-12.948167,80.045074
1117000000,-12.951998,80.132538
1118000000,-12.996731,79.890068
1119000000,-13.020425,79.942535
1120000000,-13.052306,79.895508
1121000000,-13.079587,79.733826
1122000000,-13.057508,79.568199
1123000000,-13.106065,79.719116
1124000000,-13.110168,79.245209
1125000000,-13.128611,79.042572
1126000000,-13.152217,79.279205
1127000000,-13.199745,79.234352
1128000000,-13.153053,78.888214
1129000000,-13.279607,78.736839
1130000000,-13.249386,78.925255
1131000000,-13.297416,78.2761
1132000000,-13.261535,78.708778
1133000000,-13.328335,78.208572
1134000000,-13.325243,77.938683
1135000000,-13.359515,78.320641
1136000000,-13.400002,77.82103
1137000000,-13.417407,77.990868
1138000000,-13.439708,77.759819
1139000000,-13.428802,77.491592
1140000000,-13.463037,77.530006
1141000000,-13.50456,77.692261
1142000000,-13.548901,77.165489
1143000000,-13.505291,77.168068
1144000000,-13.574002,77.215569
1145000000,-13.611111,76.921875
1146000000,-13.584972,76.594894
1147000000,-13.594149,76.5168
1148000000,-13.627263,76.532639
1149000000,-13.645718,76.705681
1150000000,-13.681433,76.708839
1151000000,-13.720596,76.487686
1152000000,-13.733259,76.15873
1153000000,-13.779967,76.414207
1154000000,-13.758404,76.11689
1155000000,-13.839528,76.089104
1156000000,-13.84905,75.930443
1157000000,-13.878798,75.841438
1158000000,-13.890786,75.575005
1159000000,-13.916877,75.685928
1160000000,-13.956418,75.326874
1161000000,-13.931711,75.553925
1162000000,-14.007255,75.177246
1163000000,-14.044711,75.24865
1164000000,-14.058942,74.943855
1165000000,-14.084398,75.063309
1166000000,-14.132595,74.737564
1167000000,-14.100634,74.672592
1168000000,-14.176698,74.864769
1169000000,-14.18724,74.759941
1170000000,-14.210065,74.421463
1171000000,-14.236758,74.358543
1172000000,-14.3003,74.431953
1173000000,-14.275702,74.35675
1174000000,-14.319696,74.23703
1175000000,-14.358027,74.213737
1176000000,-14.416862,73.963036
1177000000,-14.45356,73.958076
1178000000,-14.439653,73.685234
1179000000,-14.466558,73.540436
1180000000,-14.473047,73.609245
1181000000,-14.536185,73.704407
1182000000,-14.619544,73.127808
1183000000,-14.610319,73.001778
1184000000,-14.639788,73.169891
1185000000,-14.651916,72.915337
1186000000,-14.701802,72.886398
1187000000,-14.794217,72.73452
1188000000,-14.779372,72.653801
1189000000,-14.844428,72.423264
1190000000,-14.818203,72.445313
1191000000,-14.894415,72.264496
1192000000,-14.882432,72.101692
1193000000,-14.891235,72.071159
1194000000,-14.924151,71.828903
1195000000,-14.994526,71.791008
1196000000,-15.052389,71.710602
1197000000,-15.033717,71.16153
1198000000,-15.077983,71.291748
1199000000,-15.101449,71.268219
1200000000,-15.135208,70.693192
1201000000,-15.137532,71.132332
1202000000,-15.179616,70.525246
1203000000,-15.229471,70.611877
1204000000,-15.281912,70.464417
1205000000,-15.29298,70.480316
1206000000,-15.357149,70.478668
1207000000,-15.380435,70.536331
1208000000,-15.405677,70.354408
1209000000,-15.465613,70.198936
1210000000,-15.414237,69.878433
1211000000,-15.512677,69.944481
1212000000,-15.525446,70.009377
1213000000,-15.53488,69.47496
1214000000,-15.565172,69.612129
1215000000,-15.611825,69.18969
1216000000,-15.654854,69.494522
1217000000,-15.654173,69.155891
1218000000,-15.742019,69.007469
1219000000,-15.774569,68.87809
1220000000,-15.802177,68.980583
1221000000,-15.821028,68.953117
1222000000,-15.854444,68.810547
1223000000,-15.894844,68.836189
1224000000,-15.895182,68.583374
1225000000,-16.008682,68.525352
1226000000,-15.976637,68.205521
1227000000,-15.993281,68.267929
1228000000,-16.088068,67.995056
1229000000,-16.071192,67.831398
1230000000,-16.115971,67.752586
1231000000,-16.18816,67.981766
1232000000,-16.205656,67.436729
1233000000,-16.207718,67.495605
1234000000,-16.291611,67.156281
1235000000,-16.309183,67.57093
1236000000,-16.363079,67.547379
1237000000,-16.415663,67.398521
1238000000,-16.404844,67.423058
1239000000,-16.455265,67.103996
1240000000,-16.548227,66.808243
1241000000,-16.538641,66.772934
1242000000,-16.57547,66.716385
1243000000,-16.611919,66.289772
1244000000,-16.697815,66.481529
1245000000,-16.735519,66.700287
1246000000,-16.703022,66.456802
1247000000,-16.819309,66.148895
1248000000,-16.755924,66.271706
1249000000,-16.853296,66.105934
1250000000,-16.915012,66.306053
1251000000,-16.927343,65.76889
1252000000,-16.990765,65.715729
1253000000,-17.02685,65.807503
1254000000,-17.039759,65.66906
1255000000,-17.067291,65.517044
1256000000,-17.091635,65.653351
1257000000,-17.201004,65.653961
1258000000,-17.170614,65.296272
1259000000,-17.220665,65.306198
1260000000,-17.315479,65.228806
1261000000,-17.338678,65.215591
1262000000,-17.377472,65.179047
1263000000,-17.467962,64.99131
1264000000,-17.450287,65.029625
1265000000,-17.542654,64.917122
1266000000,-17.600571,65.083305
1267000000,-17.640638,64.673752
1268000000,-17.668434,64.608131
1269000000,-17.679302,64.524666
1270000000,-17.7684,64.65625
1271000000,-17.859398,64.390144
1272000000,-17.867403,64.301117
1273000000,-17.913712,64.171616
1274000000,-17.927086,64.36264
1275000000,-17.951727,64.224068
1276000000,-18.054092,64.056023
1277000000,-18.145473,64.073914
1278000000,-18.183147,64.190964
1279000000,-18.232931,63.587582
1280000000,-18.318399,63.791756
1281000000,-18.310591,63.599873
1282000000,-18.382648,63.763538
1283000000,-18.433203,63.415596
1284000000,-18.49229,63.278889
1285000000,-18.542475,63.242271
1286000000,-18.608547,63.061245
1287000000,-18.653252,63.084114
1288000000,-18.689331,63.08638
1289000000,-18.767645,63.108051
1290000000,-18.828794,62.698692
1291000000,-18.874525,62.9277
1292000000,-18.913374,62.618916
1293000000,-19.035334,62.78056
1294000000,-18.999313,62.236717
1295000000,-19.080355,62.530689
1296000000,-19.116653,62.296463
1297000000,-19.21899,62.347626
1298000000,-19.267412,62.322117
1299000000,-19.292873,61.621162
1300000000,-19.370386,62.171669
1301000000,-19.407024,62.286667
1302000000,-19.421141,61.944046
1303000000,-19.574051,61.768723
1304000000,-19.611095,61.830406
1305000000,-19.636183,61.555176
1306000000,-19.68609,61.803123
1307000000,-19.742968,61.402706
1308000000,-19.791616,61.727684
1309000000,-19.841608,61.411736
1310000000,-19.902994,61.130283
1311000000,-19.954723,61.202606
1312000000,-19.979816,61.255424
1313000000,-20.097723,60.875351
1314000000,-20.136431,61.2159
1315000000,-20.184362,61.074768
1316000000,-20.260124,61.449081
1317000000,-20.282942,60.851337
1318000000,-20.376623,61.40435
1319000000,-20.383753,61.18713
1320000000,-20.486303,61.181995
1321000000,-20.573446,60.804764
1322000000,-20.632586,60.997997
1323000000,-20.703695,61.120754
1324000000,-20.770937,61.055183
1325000000,-20.864552,60.854473
1326000000,-20.910667,61.201283
1327000000,-20.978769,60.878693
1328000000,-20.985538,61.133896
1329000000,-21.12599,61.22361
1330000000,-21.139727,61.051399
1331000000,-21.190153,60.826702
1332000000,-21.283062,61.341869
1333000000,-21.333483,61.46833
1334000000,-21.409849,60.875156
1335000000,-21.502125,61.373562
1336000000,-21.615929,61.383526
1337000000,-21.700779,61.250748
1338000000,-21.707693,61.700878
1339000000,-21.765713,61.564636
1340000000,-21.850349,61.695938
1341000000,-21.955997,61.603348
1342000000,-22.007896,61.686382
1343000000,-22.100855,61.624691
1344000000,-22.201708,61.790638
1345000000,-22.286133,61.862404
1346000000,-22.386887,61.76086
1347000000,-22.510767,62.342014
1348000000,-22.519457,62.071831
1349000000,-22.604496,62.161865
1350000000,-22.737278,62.705795
1351000000,-22.766665,62.376942
1352000000,-22.862232,62.198128
1353000000,-23.002617,62.551208
1354000000,-23.134289,62.586166
1355000000,-23.12336,62.916405
1356000000,-23.24888,63.112923
1357000000,-23.40493,62.911022
1358000000,-23.382761,63.26152
1359000000,-23.563293,62.961765
1360000000,-23.622282,62.705517
1361000000,-23.725576,63.91827
1362000000,-23.828171,63.459385
1363000000,-23.894436,63.425964
1364000000,-23.946253,63.545067
1365000000,-24.032265,63.404785
1366000000,-24.226503,64.112053
1367000000,-24.302273,64.110001
1368000000,-24.394745,64.431747
1369000000,-24.454,64.653938
1370000000,-24.592262,64.748756
1371000000,-24.704184,64.751709
1372000000,-24.749182,64.892021
1373000000,-24.84082,64.723679
1374000000,-24.954477,65.531502
1375000000,-25.089445,65.924095
1376000000,-25.183897,65.762772
1377000000,-25.341314,66.308228
1378000000,-25.263931,66.770027
1379000000,-25.451139,66.817406
1380000000,-25.599922,67.209099
1381000000,-25.630764,67.85305
1382000000,-25.767942,67.344162
1383000000,-25.863077,68.109985
1384000000,-26.0324,68.96788
1385000000,-26.102242,68.799072
1386000000,-26.224812,68.476959
1387000000,-26.416842,69.320625
1388000000,-26.454517,69.887398
1389000000,-26.574535,70.135017
1390000000,-26.644489,70.777016
1391000000,-26.912571,70.97139
1392000000,-26.850954,71.083961
1393000000,-26.974302,72.721527
1394000000,-27.018335,71.908447
1395000000,-27.163847,72.947937
1396000000,-27.389313,72.840141
1397000000,-27.534792,74.057953
1398000000,-27.553024,74.688026
1399000000,-27.681158,75.6082
1400000000,-27.758528,75.949486
1401000000,-27.773529,76.380241
1402000000,-28.044907,77.486137
1403000000,-28.211014,77.681839
1404000000,-28.317892,79.319847
1405000000,-28.342926,79.078362
1406000000,-28.440376,79.551689
1407000000,-28.65477,80.537094
1408000000,-28.713871,81.31765
1409000000,-28.850618,81.972588
1410000000,-28.997223,82.525719
1411000000,-29.046637,83.699242
1412000000,-29.128893,84.079666
1413000000,-29.296621,85.815208
1414000000,-29.302483,86.233505
1415000000,-29.317839,87.055321
1416000000,-29.619234,88.358223
1417000000,-29.5567,89.03791
1418000000,-29.759735,90.852966
1419000000,-29.695469,91.001732
1420000000,-29.9067,92.469666
1421000000,-29.890869,93.529251
1422000000,-29.984173,94.67939
1423000000,-30.063,95.700706
1424000000,-30.159422,97.103294
1425000000,-30.235733,98.323326
1426000000,-30.05938,98.772072
1427000000,-30.325573,99.728058
1428000000,-30.252556,102.02394
1429000000,-30.405912,102.63667
1430000000,-30.273518,103.73079
1431000000,-30.43906,105.40923
1432000000,-30.348,106.50655
1433000000,-30.497021,108.09178
1434000000,-30.407393,110.1063
1435000000,-30.50099,110.95198
1436000000,-30.454102,112.05657
1437000000,-30.394011,112.09948
1438000000,-30.388889,113.38171
1439000000,-30.313284,115.36038
1440000000,-30.253294,116.26474
1441000000,-30.399094,118.10558
1442000000,-30.356009,118.67438
1443000000,-30.277445,120.98079
1444000000,-30.195654,121.64179
1445000000,-30.196512,123.35457
1446000000,-30.250071,123.75242
1447000000,-30.257957,124.81224
1448000000,-29.939037,127.21745
1449000000,-29.873533,127.6318
1450000000,-29.817928,129.741
