"Freq [GHz]","im(Z(1,1)) []"
1,-4094.52096187408
1.001,-4090.06164840148
1.002,-4085.61041717874
1.003,-4081.1672468223
1.004,-4076.73211198537
1.005,-4072.30499218504
1.006,-4067.88585996087
1.007,-4063.47469526491
1.008,-4059.07147441663
1.009,-4054.67617394077
1.01,-4050.28876992323
1.011,-4045.90924123891
1.012,-4041.53756462915
1.013,-4037.17371782958
1.014,-4032.8176767839
1.015,-4028.46942000614
1.016,-4024.12892598475
1.017,-4019.7961714171
1.018,-4015.47113479601
1.019,-4011.15379216936
1.02,-4006.84412406145
1.021,-4002.5421075144
1.022,-3998.24771965782
1.023,-3993.96094054758
1.024,-3989.68174763453
1.025,-3985.41011969238
1.026,-3981.14603457888
1.027,-3976.88947145481
1.028,-3972.64040870974
1.029,-3968.39882526178
1.03,-3964.16470078203
1.031,-3959.93801295573
1.032,-3955.71874111101
1.033,-3951.50686580367
1.034,-3947.30236382176
1.035,-3943.10521599776
1.036,-3938.91540134124
1.037,-3934.73290033518
1.038,-3930.55769080754
1.039,-3926.38975281741
1.04,-3922.22906710681
1.041,-3918.07561317781
1.042,-3913.92937003213
1.043,-3909.79031821801
1.044,-3905.65843700571
1.045,-3901.53370776178
1.046,-3897.41610987424
1.047,-3893.30562356075
1.048,-3889.20223006468
1.049,-3885.10590888461
1.05,-3881.01664028083
1.051,-3876.93440627883
1.052,-3872.85918597566
1.053,-3868.79096112932
1.054,-3864.72971200363
1.055,-3860.67541869552
1.056,-3856.62806414306
1.057,-3852.58762767259
1.058,-3848.55409128261
1.059,-3844.52743688226
1.06,-3840.50764345375
1.061,-3836.49469414314
1.062,-3832.48856940083
1.063,-3828.48925201328
1.064,-3824.49672236973
1.065,-3820.51096156683
1.066,-3816.53195298528
1.067,-3812.55967762757
1.068,-3808.59411749126
1.069,-3804.63525403082
1.07,-3800.68306833673
1.071,-3796.73754465073
1.072,-3792.79866334909
1.073,-3788.86640781865
1.074,-3784.94075904042
1.075,-3781.02170047843
1.076,-3777.10921409132
1.077,-3773.20328221051
1.078,-3769.30388792457
1.079,-3765.4110131572
1.08,-3761.52464081138
1.081,-3757.64475345237
1.082,-3753.77133448787
1.083,-3749.9043654327
1.084,-3746.04383111876
1.085,-3742.18971343743
1.086,-3738.3419951237
1.087,-3734.50065961016
1.088,-3730.66569098382
1.089,-3726.83707098154
1.09,-3723.01478363262
1.091,-3719.19881256791
1.092,-3715.38914106262
1.093,-3711.58575264639
1.094,-3707.78863120349
1.095,-3703.99775938353
1.096,-3700.21312147779
1.097,-3696.43470182752
1.098,-3692.6624831106
1.099,-3688.8964499951
1.1,-3685.13658582063
1.101,-3681.38287610466
1.102,-3677.63530264606
1.103,-3673.89385129521
1.104,-3670.15850546572
1.105,-3666.42924977039
1.106,-3662.70606823018
1.107,-3658.98894513997
1.108,-3655.27786534671
1.109,-3651.57281327697
1.11,-3647.87377248946
1.111,-3644.18072908148
1.112,-3640.49366662543
1.113,-3636.81257053628
1.114,-3633.1374247438
1.115,-3629.46821500828
1.116,-3625.804925749
1.117,-3622.14754134853
1.118,-3618.49604792129
1.119,-3614.85042980693
1.12,-3611.2106729989
1.121,-3607.5767609645
1.122,-3603.94867981946
1.123,-3600.32641592946
1.124,-3596.7099525057
1.125,-3593.09927682992
1.126,-3589.49437328706
1.127,-3585.8952278019
1.128,-3582.30182576118
1.129,-3578.71415278305
1.13,-3575.13219421273
1.131,-3571.55593619293
1.132,-3567.98536419932
1.133,-3564.42046408165
1.134,-3560.8612217153
1.135,-3557.3076237963
1.136,-3553.75965515545
1.137,-3550.21730179929
1.138,-3546.68055017817
1.139,-3543.14938710417
1.14,-3539.62379770342
1.141,-3536.10376876024
1.142,-3532.58928593521
1.143,-3529.08033633115
1.144,-3525.57690558591
1.145,-3522.07898128886
1.146,-3518.58654851924
1.147,-3515.09959443547
1.148,-3511.61810587859
1.149,-3508.14206854432
1.15,-3504.67147041137
1.151,-3501.20629717714
1.152,-3497.74653591322
1.153,-3494.2921734469
1.154,-3490.84319673875
1.155,-3487.39959214418
1.156,-3483.96134732826
1.157,-3480.52844920449
1.158,-3477.10088446757
1.159,-3473.67864017986
1.16,-3470.2617038647
1.161,-3466.85006253922
1.162,-3463.44370324267
1.163,-3460.04261330407
1.164,-3456.64678024785
1.165,-3453.25619140693
1.166,-3449.8708343439
1.167,-3446.49069610181
1.168,-3443.11576440361
1.169,-3439.74602662036
1.17,-3436.3814708391
1.171,-3433.02208409494
1.172,-3429.66785433022
1.173,-3426.31876956433
1.174,-3422.97481697215
1.175,-3419.63598476591
1.176,-3416.30226054026
1.177,-3412.9736328588
1.178,-3409.65008869653
1.179,-3406.33161660894
1.18,-3403.01820438277
1.181,-3399.70984037163
1.182,-3396.40651241018
1.183,-3393.1082088692
1.184,-3389.81491779838
1.185,-3386.52662755562
1.186,-3383.24332669478
1.187,-3379.96500234193
1.188,-3376.69164419044
1.189,-3373.42324000424
1.19,-3370.15977852163
1.191,-3366.90124770599
1.192,-3363.64763696387
1.193,-3360.39893397278
1.194,-3357.15512768303
1.195,-3353.91620697439
1.196,-3350.68216043945
1.197,-3347.45297594036
1.198,-3344.22864357519
1.199,-3341.00915129819
1.2,-3337.7944879253
1.201,-3334.58464291375
1.202,-3331.37960497467
1.203,-3328.17936255733
1.204,-3324.98390475292
1.205,-3321.79322139707
1.206,-3318.60730097198
1.207,-3315.42613263747
1.208,-3312.24970511699
1.209,-3309.07800819822
1.21,-3305.91103117793
1.211,-3302.74876279018
1.212,-3299.59119260774
1.213,-3296.43830958348
1.214,-3293.2901039221
1.215,-3290.14656417628
1.216,-3287.00768044223
1.217,-3283.87344158156
1.218,-3280.74383758575
1.219,-3277.61885775818
1.22,-3274.49849165256
1.221,-3271.38272921397
1.222,-3268.27155950248
1.223,-3265.16497293315
1.224,-3262.0629585377
1.225,-3258.9655063237
1.226,-3255.87260653115
1.227,-3252.78424829923
1.228,-3249.70042162383
1.229,-3246.62111679155
1.23,-3243.54632349517
1.231,-3240.47603185545
1.232,-3237.41023153063
1.233,-3234.34891283076
1.234,-3231.29206577616
1.235,-3228.23968040019
1.236,-3225.19174708973
1.237,-3222.14825542344
1.238,-3219.10919579665
1.239,-3216.07455891736
1.24,-3213.04433465747
1.241,-3210.01851362233
1.242,-3206.99708574404
1.243,-3203.98004158694
1.244,-3200.96737143018
1.245,-3197.95906566302
1.246,-3194.95511519622
1.247,-3191.95550990414
1.248,-3188.96024070619
1.249,-3185.96929811487
1.25,-3182.98267243022
1.251,-3180.00035445009
1.252,-3177.02233530671
1.253,-3174.04860498466
1.254,-3171.07915439728
1.255,-3168.11397408411
1.256,-3165.15305526996
1.257,-3162.19638860018
1.258,-3159.24396487612
1.259,-3156.29577448088
1.26,-3153.35180927451
1.261,-3150.41205938491
1.262,-3147.47651608846
1.263,-3144.5451702449
1.264,-3141.61801344459
1.265,-3138.69503535217
1.266,-3135.77622864997
1.267,-3132.86158323123
1.268,-3129.95109110501
1.269,-3127.04474255523
1.27,-3124.14252942432
1.271,-3121.24444255591
1.272,-3118.35047370646
1.273,-3115.46061364718
1.274,-3112.57485375139
1.275,-3109.6931855657
1.276,-3106.81560011046
1.277,-3103.94208922337
1.278,-3101.0726439471
1.279,-3098.2072558474
1.28,-3095.34591664378
1.281,-3092.48861719976
1.282,-3089.6353498893
1.283,-3086.78610531971
1.284,-3083.9408758239
1.285,-3081.09965266744
1.286,-3078.2624277145
1.287,-3075.42919228201
1.288,-3072.59993827877
1.289,-3069.77465743243
1.29,-3066.95334130457
1.291,-3064.13598217581
1.292,-3061.32257104367
1.293,-3058.51310024324
1.294,-3055.70756162262
1.295,-3052.90594693949
1.296,-3050.1082480531
1.297,-3047.31445722602
1.298,-3044.52456560873
1.299,-3041.73856590088
1.3,-3038.95645025204
1.301,-3036.1782098651
1.302,-3033.40383747381
1.303,-3030.63332497534
1.304,-3027.86666440415
1.305,-3025.10384797392
1.306,-3022.34486771939
1.307,-3019.58971588304
1.308,-3016.83838475082
1.309,-3014.09086629376
1.31,-3011.34715318313
1.311,-3008.60723728972
1.312,-3005.87111159297
1.313,-3003.13876722907
1.314,-3000.41019769438
1.315,-2997.68539475274
1.316,-2994.96435086062
1.317,-2992.24705858016
1.318,-2989.53351019248
1.319,-2986.82369856834
1.32,-2984.11761565441
1.321,-2981.41525445117
1.322,-2978.71660712774
1.323,-2976.02166633048
1.324,-2973.33042470132
1.325,-2970.64287505439
1.326,-2967.95900971688
1.327,-2965.27882143352
1.328,-2962.60230307178
1.329,-2959.92944677297
1.33,-2957.26024596168
1.331,-2954.59469306093
1.332,-2951.93278067427
1.333,-2949.27450192959
1.334,-2946.61984954915
1.335,-2943.96881614461
1.336,-2941.32139487733
1.337,-2938.67757844515
1.338,-2936.03735969361
1.339,-2933.40073176699
1.34,-2930.76768739053
1.341,-2928.13821964599
1.342,-2925.51232160908
1.343,-2922.88998599763
1.344,-2920.27120623661
1.345,-2917.65597510514
1.346,-2915.04428589354
1.347,-2912.4361312577
1.348,-2909.83150496839
1.349,-2907.23039956096
1.35,-2904.63280850792
1.351,-2902.03872506565
1.352,-2899.44814219391
1.353,-2896.86105306176
1.354,-2894.27745134611
1.355,-2891.69732991892
1.356,-2889.12068206601
1.357,-2886.54750152006
1.358,-2883.97778111026
1.359,-2881.41151446641
1.36,-2878.8486948122
1.361,-2876.2893155905
1.362,-2873.73337018956
1.363,-2871.18085186699
1.364,-2868.63175442907
1.365,-2866.08607119225
1.366,-2863.54379571257
1.367,-2861.00492104658
1.368,-2858.46944124907
1.369,-2855.93734979912
1.37,-2853.40863980042
1.371,-2850.88330550176
1.372,-2848.36133994561
1.373,-2845.84273719978
1.374,-2843.3274906643
1.375,-2840.81559383167
1.376,-2838.30704085688
1.377,-2835.80182491324
1.378,-2833.29994025973
1.379,-2830.80137988454
1.38,-2828.30613843756
1.381,-2825.81420897634
1.382,-2823.32558544549
1.383,-2820.84026192919
1.384,-2818.35823211388
1.385,-2815.87948998057
1.386,-2813.40402887012
1.387,-2810.93184333608
1.388,-2808.46292682359
1.389,-2805.99727343749
1.39,-2803.53487707409
1.391,-2801.07573173243
1.392,-2798.61983120159
1.393,-2796.16716990995
1.394,-2793.71774145641
1.395,-2791.27153984857
1.396,-2788.82855937486
1.397,-2786.38879409104
1.398,-2783.95223789504
1.399,-2781.51888493761
1.4,-2779.08872932237
1.401,-2776.66176536157
1.402,-2774.23798692308
1.403,-2771.81738841002
1.404,-2769.39996379193
1.405,-2766.98570740402
1.406,-2764.57461339126
1.407,-2762.16667620173
1.408,-2759.76188977821
1.409,-2757.3602485953
1.41,-2754.96174686243
1.411,-2752.56637886975
1.412,-2750.17413892308
1.413,-2747.78502143481
1.414,-2745.39902060719
1.415,-2743.01613088819
1.416,-2740.6363468863
1.417,-2738.25966262522
1.418,-2735.88607280359
1.419,-2733.51557161931
1.42,-2731.14815360378
1.421,-2728.78381340047
1.422,-2726.42254510369
1.423,-2724.06434377336
1.424,-2721.70920326872
1.425,-2719.35711846534
1.426,-2717.00808406045
1.427,-2714.66209440804
1.428,-2712.31914382806
1.429,-2709.97922746598
1.43,-2707.64233948466
1.431,-2705.30847487155
1.432,-2702.97762776948
1.433,-2700.64979322625
1.434,-2698.32496592975
1.435,-2696.00314035227
1.436,-2693.68431121734
1.437,-2691.36847334863
1.438,-2689.0556213586
1.439,-2686.74575001025
1.44,-2684.43885412715
1.441,-2682.13492848872
1.442,-2679.83396774235
1.443,-2677.53596686878
1.444,-2675.24092053969
1.445,-2672.9488235779
1.446,-2670.65967104222
1.447,-2668.37345759028
1.448,-2666.09017819199
1.449,-2663.80982770919
1.45,-2661.53240100654
1.451,-2659.25789300598
1.452,-2656.98629866806
1.453,-2654.7176127999
1.454,-2652.45183072851
1.455,-2650.18894697929
1.456,-2647.92895661529
1.457,-2645.67185522702
1.458,-2643.41763716259
1.459,-2641.16629768916
1.46,-2638.91783167333
1.461,-2636.67223459798
1.462,-2634.42950114324
1.463,-2632.18962659441
1.464,-2629.95260583511
1.465,-2627.71843420032
1.466,-2625.48710666883
1.467,-2623.25861837529
1.468,-2621.03296484555
1.469,-2618.81014079472
1.47,-2616.59014135593
1.471,-2614.37296229284
1.472,-2612.15859813154
1.473,-2609.94704454746
1.474,-2607.73829657778
1.475,-2605.53234957035
1.476,-2603.32919861711
1.477,-2601.12883912436
1.478,-2598.93126648855
1.479,-2596.73647575777
1.48,-2594.54446247512
1.481,-2592.35522187248
1.482,-2590.16874907488
1.483,-2587.98503978561
1.484,-2585.80408913994
1.485,-2583.62589260863
1.486,-2581.45044542125
1.487,-2579.27774335802
1.488,-2577.10778141824
1.489,-2574.94055523861
1.49,-2572.7760601765
1.491,-2570.6142916917
1.492,-2568.45524535953
1.493,-2566.29891643899
1.494,-2564.14530061561
1.495,-2561.99439322768
1.496,-2559.84619006542
1.497,-2557.70068629445
1.498,-2555.55787762452
1.499,-2553.41775950817
1.5,-2551.27993421847
1.501,-2549.14511068427
1.502,-2547.01296486969
1.503,-2544.8834925274
1.504,-2542.75668918945
1.505,-2540.63255050451
1.506,-2538.51107209171
1.507,-2536.39224966742
1.508,-2534.27607872692
1.509,-2532.16255500675
1.51,-2530.0516741638
1.511,-2527.94343192353
1.512,-2525.83782409
1.513,-2523.73484610602
1.514,-2521.63449392782
1.515,-2519.53676302858
1.516,-2517.44164947577
1.517,-2515.34914888564
1.518,-2513.25925691081
1.519,-2511.17196938635
1.52,-2509.08728219662
1.521,-2507.00519102709
1.522,-2504.92569173678
1.523,-2502.84878019581
1.524,-2500.77445216439
1.525,-2498.70270347997
1.526,-2496.63353004961
1.527,-2494.56692765586
1.528,-2492.50289225033
1.529,-2490.44141980312
1.53,-2488.38250591656
1.531,-2486.32614667772
1.532,-2484.27233818
1.533,-2482.22107614838
1.534,-2480.17235643288
1.535,-2478.12617517793
1.536,-2476.08252824396
1.537,-2474.04141169407
1.538,-2472.0028214269
1.539,-2469.96675338744
1.54,-2467.93320368054
1.541,-2465.90216820165
1.542,-2463.87364318848
1.543,-2461.8476243088
1.544,-2459.82410804477
1.545,-2457.80309009892
1.546,-2455.78456664749
1.547,-2453.76853397913
1.548,-2451.7549877736
1.549,-2449.74392436482
1.55,-2447.73533984626
1.551,-2445.72923026666
1.552,-2443.72559183498
1.553,-2441.72442058645
1.554,-2439.72571271292
1.555,-2437.72946432803
1.556,-2435.73567166466
1.557,-2433.74433077802
1.558,-2431.75543799683
1.559,-2429.76898941203
1.56,-2427.7849812883
1.561,-2425.80340973136
1.562,-2423.82427107847
1.563,-2421.84756156847
1.564,-2419.87327713271
1.565,-2417.90141452701
1.566,-2415.931969463
1.567,-2413.9649387101
1.568,-2412.00031820375
1.569,-2410.0381043107
1.57,-2408.07829336448
1.571,-2406.12088171408
1.572,-2404.16586560678
1.573,-2402.21324131938
1.574,-2400.26300520563
1.575,-2398.31515362333
1.576,-2396.36968300975
1.577,-2394.42658952918
1.578,-2392.48586966516
1.579,-2390.54751986117
1.58,-2388.61153635803
1.581,-2386.67791553004
1.582,-2384.74665387945
1.583,-2382.81774772413
1.584,-2380.89119368191
1.585,-2378.96698804267
1.586,-2377.04512715283
1.587,-2375.12560761045
1.588,-2373.20842576156
1.589,-2371.29357807508
1.59,-2369.38106104948
1.591,-2367.47087122934
1.592,-2365.56300496577
1.593,-2363.6574588315
1.594,-2361.75422932163
1.595,-2359.85331293738
1.596,-2357.95470616927
1.597,-2356.0584056485
1.598,-2354.16440776245
1.599,-2352.27270926987
1.6,-2350.38330643258
1.601,-2348.49619593269
1.602,-2346.61137457659
1.603,-2344.7288385906
1.604,-2342.84858474919
1.605,-2340.97060950935
1.606,-2339.094909598
1.607,-2337.22148156453
1.608,-2335.35032204976
1.609,-2333.48142764535
1.61,-2331.61479507658
1.611,-2329.75042079356
1.612,-2327.88830165595
1.613,-2326.02843420406
1.614,-2324.17081506842
1.615,-2322.31544101765
1.616,-2320.46230864865
1.617,-2318.61141479238
1.618,-2316.76275578093
1.619,-2314.9163287566
1.62,-2313.07213011307
1.621,-2311.23015675371
1.622,-2309.39040530351
1.623,-2307.55287239054
1.624,-2305.71755503708
1.625,-2303.88444977338
1.626,-2302.05355345105
1.627,-2300.22486269478
1.628,-2298.39837439101
1.629,-2296.57408515333
1.63,-2294.75199204701
1.631,-2292.93209160295
1.632,-2291.11438078194
1.633,-2289.29885623583
1.634,-2287.48551485491
1.635,-2285.67435350924
1.636,-2283.86536888998
1.637,-2282.05855782116
