"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-24.0537293894343,-0.420313203096499
1.001,-24.0605228614209,-0.420673072679989
1.002,-24.0673190214233,-0.421032847818597
1.003,-24.074117936797,-0.421392529329754
1.004,-24.0809196749558,-0.421752118031584
1.005,-24.0877243033721,-0.422111614742872
1.006,-24.0945318895784,-0.422471020283033
1.007,-24.1013425011674,-0.422830335472094
1.008,-24.1081562057931,-0.423189561130661
1.009,-24.1149730711714,-0.423548698079886
1.01,-24.1217931650809,-0.423907747141454
1.011,-24.1286165553638,-0.424266709137537
1.012,-24.1354433099266,-0.424625584890784
1.013,-24.1422734967406,-0.424984375224284
1.014,-24.1491071838433,-0.425343080961547
1.015,-24.1559444393386,-0.425701702926465
1.016,-24.1627853313979,-0.426060241943296
1.017,-24.1696299282607,-0.426418698836635
1.018,-24.1764782982356,-0.426777074431382
1.019,-24.183330509701,-0.427135369552723
1.02,-24.1901866311059,-0.427493585026101
1.021,-24.1970467309708,-0.427851721677191
1.022,-24.2039108778884,-0.428209780331861
1.023,-24.2107791405244,-0.428567761816172
1.024,-24.2176515876185,-0.428925666956328
1.025,-24.224528287985,-0.429283496578665
1.026,-24.231409310514,-0.429641251509614
1.027,-24.2382947241717,-0.429998932575685
1.028,-24.2451845980018,-0.430356540603435
1.029,-24.2520790011258,-0.43071407641945
1.03,-24.2589780027443,-0.431071540850312
1.031,-24.2658816721379,-0.431428934722576
1.032,-24.2727900786675,-0.431786258862747
1.033,-24.2797032917757,-0.432143514097257
1.034,-24.2866213809874,-0.432500701252434
1.035,-24.293544415911,-0.432857821154479
1.036,-24.3004724662388,-0.433214874629446
1.037,-24.3074056017483,-0.433571862503215
1.038,-24.3143438923028,-0.433928785601469
1.039,-24.3212874078525,-0.434285644749664
1.04,-24.3282362184354,-0.434642440773011
1.041,-24.335190394178,-0.434999174496451
1.042,-24.3421500052964,-0.435355846744626
1.043,-24.3491151220973,-0.435712458341865
1.044,-24.3560858149785,-0.436069010112154
1.045,-24.3630621544304,-0.436425502879114
1.046,-24.3700442110365,-0.436781937465972
1.047,-24.3770320554744,-0.437138314695549
1.048,-24.3840257585171,-0.437494635390227
1.049,-24.3910253910335,-0.437850900371932
1.05,-24.3980310239895,-0.43820711046211
1.051,-24.4050427284492,-0.4385632664817
1.052,-24.4120605755753,-0.438919369251118
1.053,-24.4190846366309,-0.439275419590227
1.054,-24.4261149829796,-0.439631418318328
1.055,-24.4331516860872,-0.439987366254112
1.056,-24.4401948175223,-0.440343264215678
1.057,-24.4472444489572,-0.440699113020464
1.058,-24.4543006521694,-0.441054913485269
1.059,-24.4613634990421,-0.441410666426197
1.06,-24.4684330615654,-0.441766372658653
1.061,-24.4755094118374,-0.442122032997325
1.062,-24.4825926220651,-0.442477648256151
1.063,-24.4896827645657,-0.442833219248298
1.064,-24.496779911767,-0.443188746786155
1.065,-24.5038841362094,-0.443544231681298
1.066,-24.510995510546,-0.443899674744472
1.067,-24.5181141075443,-0.444255076785584
1.068,-24.5252400000871,-0.444610438613656
1.069,-24.5323732611733,-0.444965761036824
1.07,-24.5395139639193,-0.445321044862323
1.071,-24.5466621815602,-0.445676290896448
1.072,-24.5538179874503,-0.446031499944547
1.073,-24.560981455065,-0.446386672811
1.074,-24.5681526580011,-0.446741810299189
1.075,-24.5753316699785,-0.447096913211498
1.076,-24.5825185648412,-0.447451982349276
1.077,-24.5897134165581,-0.447807018512824
1.078,-24.5969162992246,-0.448162022501378
1.079,-24.6041272870634,-0.448516995113088
1.08,-24.6113464544258,-0.448871937145001
1.081,-24.6185738757929,-0.44922684939304
1.082,-24.6258096257767,-0.44958173265198
1.083,-24.633053779121,-0.44993658771545
1.084,-24.6403064107033,-0.450291415375887
1.085,-24.6475675955351,-0.45064621642454
1.086,-24.6548374087637,-0.451000991651441
1.087,-24.6621159256733,-0.45135574184539
1.088,-24.669403221686,-0.451710467793938
1.089,-24.6766993723633,-0.452065170283372
1.09,-24.6840044534071,-0.452419850098692
1.091,-24.6913185406609,-0.452774508023593
1.092,-24.6986417101114,-0.453129144840463
1.093,-24.7059740378893,-0.453483761330341
1.094,-24.7133156002709,-0.453838358272921
1.095,-24.7206664736792,-0.454192936446537
1.096,-24.7280267346851,-0.454547496628117
1.097,-24.735396460009,-0.454902039593211
1.098,-24.7427757265216,-0.455256566115934
1.099,-24.7501646112458,-0.455611076968981
1.1,-24.7575631913575,-0.455965572923588
1.101,-24.7649715441872,-0.456320054749534
1.102,-24.7723897472212,-0.456674523215113
1.103,-24.779817878103,-0.457028979087126
1.104,-24.7872560146345,-0.457383423130865
1.105,-24.7947042347777,-0.457737856110092
1.106,-24.8021626166558,-0.458092278787032
1.107,-24.8096312385544,-0.458446691922356
1.108,-24.8171101789233,-0.458801096275163
1.109,-24.8245995163777,-0.459155492602967
1.11,-24.8320993296995,-0.459509881661687
1.111,-24.8396096978389,-0.459864264205629
1.112,-24.8471306999156,-0.460218640987473
