"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1,-118.946519745433,-25.5232357236746
1.001,-119.143568669355,-25.7310058159243
1.002,-119.340598014025,-25.9387880962537
1.003,-119.537607771693,-26.1465825884352
1.004,-119.73459793464,-26.354389316231
1.005,-119.931568495168,-26.5622083033923
1.006,-120.128519445601,-26.7700395736605
1.007,-120.325450778287,-26.9778831507663
1.008,-120.522362485589,-27.1857390584308
1.009,-120.719254559887,-27.3936073203645
1.01,-120.916126993574,-27.6014879602685
1.011,-121.112979779055,-27.8093810018338
1.012,-121.309812908745,-28.017286468742
1.013,-121.506626375065,-28.2252043846651
1.014,-121.703420170443,-28.4331347732656
1.015,-121.900194287307,-28.6410776581967
1.016,-122.096948718087,-28.8490330631028
1.017,-122.293683455213,-29.0570010116189
1.018,-122.490398491108,-29.2649815273713
1.019,-122.687093818191,-29.4729746339775
1.02,-122.883769428871,-29.6809803550463
1.021,-123.080425315547,-29.8889987141779
1.022,-123.277061470605,-30.0970297349646
1.023,-123.473677886416,-30.3050734409898
1.024,-123.670274555332,-30.5131298558294
1.025,-123.866851469687,-30.7211990030508
1.026,-124.06340862179,-30.9292809062141
1.027,-124.259946003927,-31.1373755888711
1.028,-124.456463608358,-31.3454830745668
1.029,-124.65296142731,-31.5536033868379
1.03,-124.849439452982,-31.7617365492145
1.031,-125.045897677536,-31.9698825852194
1.032,-125.242336093098,-32.1780415183682
1.033,-125.438754691757,-32.3862133721698
1.034,-125.635153465556,-32.5943981701266
1.035,-125.831532406499,-32.8025959357339
1.036,-126.02789150654,-33.0108066924811
1.037,-126.224230757585,-33.2190304638511
1.038,-126.420550151489,-33.4272672733207
1.039,-126.616849680052,-33.6355171443608
1.04,-126.81312933502,-33.8437801004365
1.041,-127.009389108076,-34.052056165007
1.042,-127.205628990844,-34.2603453615263
1.043,-127.401848974885,-34.4686477134428
1.044,-127.598049051689,-34.6769632441999
1.045,-127.794229212682,-34.8852919772357
1.046,-127.990389449214,-35.0936339359837
1.047,-128.186529752561,-35.3019891438723
1.048,-128.382650113925,-35.5103576243257
1.049,-128.578750524423,-35.7187394007634
1.05,-128.774830975095,-35.9271344966008
1.051,-128.970891456891,-36.1355429352492
1.052,-129.166931960676,-36.3439647401158
1.053,-129.362952477224,-36.5523999346041
1.054,-129.558952997214,-36.7608485421142
1.055,-129.754933511232,-36.9693105860424
1.056,-129.950894009762,-37.177786089782
1.057,-130.146834483187,-37.3862750767231
1.058,-130.342754921789,-37.5947775702528
1.059,-130.538655315738,-37.8032935937555
1.06,-130.734535655096,-38.0118231706129
1.061,-130.930395929813,-38.2203663242043
1.062,-131.126236129723,-38.4289230779069
1.063,-131.32205624454,-38.6374934550956
1.064,-131.517856263857,-38.8460774791434
1.065,-131.713636177144,-39.0546751734216
1.066,-131.909395973742,-39.2632865612999
1.067,-132.105135642862,-39.4719116661467
1.068,-132.300855173583,-39.680550511329
1.069,-132.496554554847,-39.889203120213
1.07,-132.692233775455,-40.0978695161638
1.071,-132.887892824069,-40.3065497225458
1.072,-133.083531689204,-40.5152437627233
1.073,-133.279150359226,-40.7239516600598
1.074,-133.474748822351,-40.9326734379188
1.075,-133.67032706664,-41.141409119664
1.076,-133.865885079995,-41.350158728659
1.077,-134.061422850161,-41.5589222882682
1.078,-134.256940364714,-41.7676998218562
1.079,-134.452437611067,-41.9764913527888
1.08,-134.647914576461,-42.1852969044323
1.081,-134.843371247965,-42.3941165001545
1.082,-135.038807612468,-42.6029501633243
1.083,-135.234223656683,-42.8117979173124
1.084,-135.429619367137,-43.0206597854909
1.085,-135.624994730172,-43.2295357912341
1.086,-135.820349731939,-43.4384259579181
1.087,-136.015684358397,-43.6473303089215
1.088,-136.210998595308,-43.8562488676254
1.089,-136.406292428233,-44.0651816574134
1.09,-136.601565842532,-44.2741287016721
1.091,-136.796818823355,-44.4830900237911
1.092,-136.992051355646,-44.6920656471633
1.093,-137.187263424131,-44.9010555951851
1.094,-137.382455013322,-45.1100598912564
1.095,-137.577626107509,-45.319078558781
1.096,-137.772776690757,-45.528111621167
1.097,-137.967906746904,-45.7371591018263
1.098,-138.163016259558,-45.9462210241756
1.099,-138.35810521209,-46.1552974116361
1.1,-138.553173587632,-46.3643882876338
1.101,-138.748221369075,-46.5734936756
1.102,-138.943248539065,-46.782613598971
1.103,-139.138255079995,-46.9917480811885
1.104,-139.333240974006,-47.2008971457002
1.105,-139.528206202984,-47.4100608159594
1.106,-139.723150748551,-47.6192391154254
1.107,-139.918074592065,-47.8284320675641
1.108,-140.112977714616,-48.0376396958476
1.109,-140.307860097019,-48.2468620237547
1.11,-140.502721719817,-48.4560990747713
1.111,-140.697562563267,-48.6653508723902
1.112,-140.892382607346,-48.8746174401117
1.113,-141.08718183174,-49.0838988014434
1.114,-141.281960215845,-49.2931949799008
1.115,-141.476717738757,-49.5025059990073
1.116,-141.671454379276,-49.7118318822945
1.117,-141.866170115892,-49.9211726533024
1.118,-142.060864926791,-50.1305283355792
1.119,-142.255538789843,-50.3398989526826
1.12,-142.450191682603,-50.5492845281787
1.121,-142.644823582302,-50.758685085643
1.122,-142.839434465847,-50.9681006486607
1.123,-143.034024309816,-51.1775312408262
1.124,-143.228593090451,-51.3869768857442
1.125,-143.423140783655,-51.5964376070291
1.126,-143.61766736499,-51.805913428306
1.127,-143.812172809668,-52.0154043732103
1.128,-144.006657092552,-52.224910465388
1.129,-144.201120188147,-52.4344317284964
1.13,-144.395562070595,-52.6439681862037
1.131,-144.589982713677,-52.8535198621897
1.132,-144.784382090801,-53.0630867801457
1.133,-144.978760174999,-53.2726689637748
1.134,-145.173116938927,-53.4822664367923
1.135,-145.367452354855,-53.6918792229258
1.136,-145.561766394664,-53.9015073459151
1.137,-145.756059029842,-54.1111508295131
1.138,-145.950330231478,-54.3208096974855
1.139,-146.144579970258,-54.5304839736111
1.14,-146.338808216461,-54.7401736816825
1.141,-146.533014939949,-54.9498788455051
1.142,-146.727200110172,-55.159599488899
1.143,-146.92136369615,-55.3693356356981
1.144,-147.115505666481,-55.5790873097503
1.145,-147.309625989326,-55.7888545349184
1.146,-147.503724632408,-55.9986373350799
1.147,-147.697801563009,-56.2084357341272
1.148,-147.891856747958,-56.4182497559677
1.149,-148.085890153634,-56.6280794245248
1.15,-148.279901745954,-56.8379247637371
1.151,-148.473891490372,-57.0477857975592
1.152,-148.667859351872,-57.2576625499619
1.153,-148.861805294959,-57.4675550449323
1.154,-149.055729283663,-57.6774633064742
1.155,-149.249631281522,-57.8873873586081
1.156,-149.443511251585,-58.0973272253715
1.157,-149.637369156402,-58.3072829308194
1.158,-149.831204958021,-58.517254499024
1.159,-150.02501861798,-58.7272419540756
1.16,-150.218810097301,-58.9372453200822
1.161,-150.412579356488,-59.1472646211703
1.162,-150.606326355517,-59.3572998814843
1.163,-150.800051053831,-59.567351125188
1.164,-150.993753410336,-59.7774183764635
1.165,-151.187433383393,-59.9875016595123
1.166,-151.381090930813,-60.1976009985554
1.167,-151.574726009849,-60.4077164178333
1.168,-151.768338577193,-60.6178479416061
1.169,-151.961928588967,-60.8279955941545
1.17,-152.155496000719,-61.0381593997791
1.171,-152.349040767415,-61.2483393828011
1.172,-152.542562843433,-61.4585355675628
1.173,-152.736062182555,-61.6687479784272
1.174,-152.929538737965,-61.8789766397786
1.175,-153.122992462238,-62.089221576023
1.176,-153.316423307336,-62.2994828115881
1.177,-153.509831224598,-62.5097603709232
1.178,-153.703216164739,-62.7200542785005
1.179,-153.896578077838,-62.930364558814
1.18,-154.089916913333,-63.1406912363807
1.181,-154.283232620013,-63.3510343357406
1.182,-154.476525146015,-63.5613938814567
1.183,-154.669794438811,-63.7717698981155
1.184,-154.863040445206,-63.982162410327
1.185,-155.056263111328,-64.1925714427254
1.186,-155.249462382621,-64.4029970199686
1.187,-155.44263820384,-64.6134391667392
1.188,-155.63579051904,-64.8238979077444
1.189,-155.828919271573,-65.0343732677159
1.19,-156.022024404074,-65.244865271411
1.191,-156.215105858461,-65.4553739436119
1.192,-156.408163575923,-65.6658993091266
1.193,-156.601197496912,-65.8764413927887
1.194,-156.794207561137,-66.0870002194581
1.195,-156.987193707555,-66.2975758140208
1.196,-157.180155874365,-66.5081682013895
1.197,-157.373093998997,-66.7187774065035
1.198,-157.566008018105,-66.9294034543291
1.199,-157.758897867562,-67.14004636986
1.2,-157.951763482446,-67.3507061781175
1.201,-158.144604797037,-67.5613829041502
1.202,-158.337421744804,-67.7720765730351
1.203,-158.530214258402,-67.9827872098774
1.204,-158.722982269659,-68.1935148398104
1.205,-158.915725709567,-68.4042594879965
1.206,-159.108444508278,-68.6150211796268
1.207,-159.30113859509,-68.8257999399218
1.208,-159.493807898442,-69.0365957941313
1.209,-159.686452345902,-69.2474087675348
1.21,-159.87907186416,-69.4582388854417
1.211,-160.07166637902,-69.6690861731916
1.212,-160.264235815386,-69.8799506561546
1.213,-160.456780097257,-70.0908323597311
1.214,-160.649299147716,-70.3017313093528
1.215,-160.841792888922,-70.5126475304824
1.216,-161.034261242098,-70.7235810486138
1.217,-161.226704127522,-70.9345318892727
1.218,-161.419121464519,-71.1455000780168
1.219,-161.611513171449,-71.3564856404355
1.22,-161.8038791657,-71.5674886021509
1.221,-161.996219363671,-71.7785089888175
1.222,-162.188533680771,-71.9895468261227
1.223,-162.380822031403,-72.2006021397872
1.224,-162.573084328954,-72.4116749555645
1.225,-162.765320485787,-72.6227652992422
1.226,-162.957530413227,-72.8338731966413
1.227,-163.149714021554,-73.0449986736171
1.228,-163.341871219989,-73.2561417560591
1.229,-163.534001916685,-73.4673024698914
1.23,-163.726106018715,-73.6784808410728
1.231,-163.918183432061,-73.8896768955971
1.232,-164.110234061604,-74.1008906594935
1.233,-164.30225781111,-74.3121221588266
1.234,-164.494254583222,-74.5233714196967
1.235,-164.686224279445,-74.7346384682402
1.236,-164.878166800136,-74.9459233306298
1.237,-165.070082044492,-75.1572260330744
1.238,-165.261969910538,-75.3685466018199
1.239,-165.453830295115,-75.579885063149
1.24,-165.645663093868,-75.7912414433817
1.241,-165.83746820123,-76.0026157688754
1.242,-166.029245510418,-76.2140080660251
1.243,-166.220994913411,-76.425418361264
1.244,-166.412716300943,-76.6368466810631
1.245,-166.604409562488,-76.8482930519321
1.246,-166.796074586247,-77.0597575004192
1.247,-166.987711259137,-77.2712400531116
1.248,-167.179319466775,-77.4827407366355
1.249,-167.370899093465,-77.6942595776567
1.25,-167.562450022184,-77.9057966028805
1.251,-167.753972134573,-78.1173518390518
1.252,-167.945465310916,-78.3289253129561
1.253,-168.136929430129,-78.5405170514188
1.254,-168.328364369749,-78.7521270813062
1.255,-168.519770005916,-78.9637554295253
1.256,-168.711146213356,-79.175402123024
1.257,-168.902492865373,-79.3870671887918
1.258,-169.093809833832,-79.5987506538595
1.259,-169.285096989138,-79.8104525452998
1.26,-169.476354200231,-80.0221728902274
1.261,-169.667581334562,-80.2339117157993
1.262,-169.858778258082,-80.4456690492149
1.263,-170.049944835226,-80.6574449177162
1.264,-170.241080928896,-80.8692393485887
1.265,-170.432186400446,-81.0810523691606
1.266,-170.623261109664,-81.2928840068037
1.267,-170.814304914759,-81.5047342889336
1.268,-171.005317672341,-81.7166032430097
1.269,-171.196299237407,-81.9284908965357
1.27,-171.387249463321,-82.1403972770594
1.271,-171.578168201802,-82.3523224121736
1.272,-171.769055302901,-82.5642663295158
1.273,-171.959910614987,-82.7762290567688
1.274,-172.150733984728,-82.9882106216603
1.275,-172.341525257074,-83.200211051964
1.276,-172.532284275238,-83.4122303754994
1.277,-172.723010880679,-83.6242686201319
1.278,-172.913704913083,-83.836325813773
1.279,-173.104366210342,-84.0484019843814
1.28,-173.294994608539,-84.2604971599618
1.281,-173.485589941927,-84.4726113685664
1.282,-173.676152042907,-84.6847446382943
1.283,-173.866680742016,-84.8968969972923
1.284,-174.057175867897,-85.1090684737549
1.285,-174.247637247288,-85.3212590959244
1.286,-174.438064704996,-85.5334688920913
1.287,-174.628458063879,-85.7456978905945
1.288,-174.818817144825,-85.9579461198216
1.289,-175.00914176673,-86.1702136082089
1.29,-175.19943174648,-86.382500384242
1.291,-175.389686898923,-86.5948064764557
1.292,-175.579907036855,-86.8071319134343
1.293,-175.770091970993,-87.0194767238121
1.294,-175.960241509953,-87.2318409362732
1.295,-176.150355460231,-87.444224579552
1.296,-176.340433626175,-87.6566276824335
1.297,-176.530475809968,-87.8690502737532
1.298,-176.7204818116,-88.0814923823977
1.299,-176.910451428844,-88.2939540373048
1.3,-177.100384457238,-88.5064352674636
1.301,-177.290280690053,-88.7189361019147
1.302,-177.480139918276,-88.9314565697508
1.303,-177.669961930578,-89.1439967001166
1.304,-177.859746513296,-89.3565565222089
1.305,-178.049493450401,-89.5691360652774
1.306,-178.23920252348,-89.7817353586244
1.307,-178.4288735117,-89.9943544316048
1.308,-178.618506191793,-90.2069933136274
1.309,-178.80810033802,-90.4196520341541
1.31,-178.997655722148,-90.6323306227001
1.311,-179.187172113425,-90.8450291088353
1.312,-179.376649278548,-91.0577475221829
1.313,-179.566086981637,-91.270485892421
1.314,-179.755484984208,-91.4832442492819
1.315,-179.944843045142,-91.696022622553
1.316,179.865839079342,-91.9088210420763
1.317,179.67656163572,-92.1216395377494
1.318,179.487324873185,-92.3344781395252
1.319,179.298129043686,-92.5473368774123
1.32,179.108974401954,-92.7602157814751
1.321,178.919861205531,-92.9731148818341
1.322,178.730789714807,-93.1860342086664
