"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1,-13.5669600566646,-3.41872154101131,-16.8444709997512,-3.44290953978018,-9.39114814505601,-16.6425834580694
1.001,-13.5725453747943,-3.41865321603918,-16.8481166162124,-3.44297090849137,-9.39778893287037,-16.6457565291325
1.002,-13.5781290794045,-3.41858526529589,-16.8517659573042,-3.44303180763083,-9.40443091543447,-16.6489306607658
1.003,-13.5837111709571,-3.41851768813894,-16.855419098753,-3.44309223922693,-9.41107409910571,-16.6521059193125
1.004,-13.5892916499235,-3.41845048392397,-16.8590761170413,-3.44315220530645,-9.4177184902749,-16.6552823718753
1.005,-13.5948705167847,-3.41838365200481,-16.8627370894132,-3.44321170789452,-9.42436409536614,-16.6584600863238
1.006,-13.600447772031,-3.41831719173348,-16.8664020938792,-3.44327074901466,-9.43101092083685,-16.6616391313005
1.007,-13.6060234161617,-3.41825110246024,-16.8700712092222,-3.44332933068875,-9.43765897317759,-16.6648195762273
1.008,-13.611597449685,-3.4181853835336,-16.873744515002,-3.44338745493707,-9.4443082589121,-16.6680014913121
1.009,-13.6171698731181,-3.41812003430038,-16.8774220915615,-3.44344512377826,-9.45095878459717,-16.6711849475555
1.01,-13.6227406869866,-3.41805505410569,-16.8811040200312,-3.44350233922935,-9.45761055682262,-16.6743700167572
1.011,-13.6283098918245,-3.41799044229301,-16.8847903823352,-3.44355910330573,-9.46426358221121,-16.6775567715226
1.012,-13.6338774881742,-3.41792619820417,-16.8884812611964,-3.44361541802117,-9.4709178674186,-16.6807452852696
1.013,-13.6394434765861,-3.41786232117941,-16.8921767401413,-3.44367128538783,-9.47757341913327,-16.683935632235
1.014,-13.6450078576188,-3.4177988105574,-16.8958769035061,-3.44372670741623,-9.4842302440765,-16.6871278874816
1.015,-13.6505706318382,-3.41773566567527,-16.8995818364414,-3.44378168611527,-9.49088834900222,-16.6903221269046
1.016,-13.6561317998181,-3.41767288586861,-16.9032916249179,-3.44383622349223,-9.49754774069706,-16.6935184272384
1.017,-13.6616913621397,-3.41761047047154,-16.9070063557316,-3.44389032155276,-9.50420842598021,-16.6967168660635
1.018,-13.6672493193914,-3.41754841881673,-16.9107261165089,-3.44394398230088,-9.51087041170339,-16.6999175218131
1.019,-13.6728056721686,-3.41748673023539,-16.9144509957122,-3.443997207739,-9.51753370475081,-16.7031204737802
1.02,-13.6783604210739,-3.41742540405734,-16.9181810826449,-3.44404999986789,-9.52419831203908,-16.706325802124
1.021,-13.6839135667164,-3.41736443961103,-16.921916467457,-3.4441023606867,-9.53086424051714,-16.7095335878772
1.022,-13.6894651097117,-3.41730383622353,-16.9256572411497,-3.44415429219296,-9.53753149716625,-16.7127439129526
1.023,-13.695015050682,-3.41724359322063,-16.9294034955815,-3.44420579638256,-9.54420008899987,-16.71595686015
1.024,-13.7005633902556,-3.4171837099268,-16.9331553234728,-3.44425687524977,-9.55087002306366,-16.7191725131634
1.025,-13.7061101290671,-3.41712418566525,-16.9369128184111,-3.44430753078725,-9.5575413064354,-16.7223909565873
1.026,-13.7116552677566,-3.41706501975793,-16.9406760748564,-3.44435776498601,-9.5642139462249,-16.7256122759244
