!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:49:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-5.0280218,-6.6669073,-41.679417,-21.586821
2001000000,-4.9962535,-6.822403,-41.910744,-23.343859
2002000000,-4.9663868,-6.9836721,-42.271034,-24.928787
2003000000,-4.9542961,-7.1865115,-42.695694,-26.402802
2004000000,-4.9611359,-7.4191957,-43.084675,-27.346163
2005000000,-4.983994,-7.6332235,-43.462547,-28.057074
2006000000,-4.9955263,-7.8506155,-43.734455,-28.310526
2007000000,-5.0442529,-8.0877209,-44.064465,-28.623028
2008000000,-5.0946832,-8.323225,-44.265339,-28.278015
2009000000,-5.1559305,-8.5229683,-44.379597,-27.729445
2010000000,-5.1849384,-8.7046394,-44.420479,-27.002724
2011000000,-5.2331986,-8.8122778,-44.417488,-25.89769
2012000000,-5.2656121,-8.9373121,-44.285526,-24.784069
2013000000,-5.281477,-8.9673519,-44.101112,-23.455168
2014000000,-5.3148756,-8.9681149,-43.949043,-22.045326
2015000000,-5.3027296,-8.9318867,-43.80468,-20.80958
2016000000,-5.293848,-8.8280954,-43.600918,-19.483196
2017000000,-5.2506375,-8.6839266,-43.568623,-18.330494
2018000000,-5.2315969,-8.4881763,-43.518177,-17.351046
2019000000,-5.2237005,-8.2668409,-43.654892,-16.443661
2020000000,-5.16854,-7.9919376,-43.773876,-15.878607
2021000000,-5.1510563,-7.6940756,-43.873146,-15.531459
2022000000,-5.11724,-7.4094529,-44.144207,-15.728684
2023000000,-5.1266451,-7.1037073,-44.483635,-16.228491
2024000000,-5.1300936,-6.7964592,-44.845375,-17.108007
2025000000,-5.1314573,-6.5296736,-44.992538,-18.31732
2026000000,-5.1613898,-6.2922382,-45.37487,-19.92569
2027000000,-5.1993914,-6.0843015,-45.648201,-21.724497
2028000000,-5.2503657,-5.9294901,-45.601219,-23.539932
2029000000,-5.2782531,-5.8420129,-45.600433,-25.672525
2030000000,-5.318037,-5.8002911,-45.622005,-27.819334
2031000000,-5.3148851,-5.7574267,-45.538757,-29.912468
2032000000,-5.3102379,-5.8138733,-45.443089,-31.9251
2033000000,-5.3216386,-5.8966641,-45.197945,-33.909431
2034000000,-5.2940955,-6.0433059,-45.070713,-35.526814
2035000000,-5.2654228,-6.2111363,-45.039116,-36.98782
2036000000,-5.2085299,-6.3920865,-45.19125,-38.243069
2037000000,-5.1793404,-6.6008077,-45.2402,-39.403332
2038000000,-5.1396489,-6.8182797,-45.555668,-40.006207
2039000000,-5.1233101,-7.0886497,-45.800289,-40.273922
2040000000,-5.0895844,-7.2807102,-46.374146,-40.598579
2041000000,-5.0967188,-7.49788,-46.854008,-40.273014
2042000000,-5.1216669,-7.702857,-47.278225,-39.82695
2043000000,-5.166543,-7.8678303,-47.713688,-38.895046
2044000000,-5.2256002,-7.9848866,-48.047897,-37.81934
2045000000,-5.2759113,-8.0954256,-48.37405,-36.738674
2046000000,-5.3392615,-8.1508293,-48.435993,-35.384487
2047000000,-5.3852515,-8.107914,-48.371159,-34.104832
2048000000,-5.4723425,-8.0762434,-48.066196,-32.520691
2049000000,-5.4939675,-7.9762254,-47.775494,-31.382965
2050000000,-5.5113382,-7.8106375,-47.580067,-30.207069
2051000000,-5.5051098,-7.6431432,-47.137653,-29.159342
2052000000,-5.5122161,-7.4284186,-46.898418,-28.657856
2053000000,-5.4676313,-7.1517129,-46.714695,-28.067778
2054000000,-5.4146905,-6.8972273,-46.547199,-27.83316
2055000000,-5.358602,-6.6271124,-46.57719,-27.879959
2056000000,-5.2979045,-6.3455133,-46.734955,-28.38596
2057000000,-5.2594595,-6.0419412,-47.062645,-28.865261
2058000000,-5.2284641,-5.7622356,-47.398987,-30.117565
2059000000,-5.1838503,-5.5202479,-47.839912,-31.344688
2060000000,-5.1707325,-5.2877164,-48.202,-32.935421
2061000000,-5.2148199,-5.1373324,-48.65995,-34.953987
2062000000,-5.2588282,-5.0449524,-49.100658,-37.025383
2063000000,-5.2937083,-4.9708862,-49.342941,-39.127773
2064000000,-5.3366055,-4.9459772,-49.449211,-41.127037
2065000000,-5.3900609,-4.9550939,-49.469864,-43.242695
2066000000,-5.4355412,-5.0521941,-49.31292,-44.961842
2067000000,-5.4536247,-5.1738429,-49.31319,-46.813419
2068000000,-5.4737139,-5.3301334,-49.08897,-48.330418
2069000000,-5.4600415,-5.4868031,-48.889786,-49.448326
2070000000,-5.4396176,-5.6922388,-48.663033,-50.686924
