Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
1,-4.1512541609,-6.5276253834,-11.3514700697,-5.3150161614
1.001,-4.1477411062,-6.5304386034,-11.3684997751,-5.313724836
1.002,-4.1442274893,-6.5332677879,-11.3855717451,-5.3124343546
1.003,-4.1407133333,-6.5361130289,-11.4026858447,-5.3111447398
1.004,-4.1371986615,-6.5389744184,-11.419841932,-5.3098560144
1.005,-4.1336834973,-6.5418520494,-11.4370398589,-5.3085682014
1.006,-4.1301678643,-6.5447460151,-11.4542794704,-5.3072813238
1.007,-4.1266517863,-6.5476564092,-11.4715606047,-5.3059954049
1.008,-4.1231352872,-6.5505833261,-11.4888830929,-5.3047104681
1.009,-4.1196183912,-6.5535268606,-11.5062467593,-5.3034265371
1.01,-4.1161011227,-6.556487108,-11.5236514204,-5.3021436357
1.011,-4.1125835064,-6.5594641642,-11.5410968858,-5.3008617877
1.012,-4.1090655668,-6.5624581255,-11.558582957,-5.2995810175
1.013,-4.1055473291,-6.5654690889,-11.5761094281,-5.2983013492
1.014,-4.1020288183,-6.5684971518,-11.5936760851,-5.2970228074
1.015,-4.0985100599,-6.5715424121,-11.6112827059,-5.2957454169
1.016,-4.0949910795,-6.5746049685,-11.6289290603,-5.2944692024
1.017,-4.0914719027,-6.5776849199,-11.6466149096,-5.2931941891
1.018,-4.0879525556,-6.5807823659,-11.6643400064,-5.2919204022
1.019,-4.0844330645,-6.5838974066,-11.6821040946,-5.2906478671
1.02,-4.0809134557,-6.5870301428,-11.6999069094,-5.2893766095
1.021,-4.0773937559,-6.5901806756,-11.7177481764,-5.2881066551
1.022,-4.0738739919,-6.5933491068,-11.7356276122,-5.2868380301
1.023,-4.0703541907,-6.5965355388,-11.7535449239,-5.2855707606
1.024,-4.0668343798,-6.5997400744,-11.7714998088,-5.284304873
1.025,-4.0633145866,-6.6029628171,-11.7894919544,-5.2830403939
1.026,-4.0597948388,-6.6062038709,-11.8075210381,-5.2817773501
1.027,-4.0562751645,-6.6094633404,-11.8255867269,-5.2805157686
1.028,-4.0527555917,-6.6127413306,-11.8436886775,-5.2792556767
1.029,-4.049236149,-6.6160379474,-11.8618265357,-5.2779971016
1.03,-4.045716865,-6.619353297,-11.8799999368,-5.2767400711
1.031,-4.0421977686,-6.6226874863,-11.8982085044,-5.2754846128
1.032,-4.0386788889,-6.6260406227,-11.9164518514,-5.274230755
1.033,-4.0351602553,-6.6294128142,-11.9347295786,-5.2729785257
1.034,-4.0316418975,-6.6328041695,-11.9530412754,-5.2717279535
1.035,-4.0281238452,-6.6362147978,-11.9713865191,-5.2704790669
1.036,-4.0246061286,-6.6396448088,-11.9897648747,-5.2692318949
1.037,-4.021088778,-6.643094313,-12.0081758948,-5.2679864665
1.038,-4.017571824,-6.6465634212,-12.0266191194,-5.2667428111
1.039,-4.0140552975,-6.6500522452,-12.0450940755,-5.2655009581
1.04,-4.0105392296,-6.653560897,-12.0636002768,-5.2642609373
1.041,-4.0070236517,-6.6570894896,-12.0821372238,-5.2630227786
1.042,-4.0035085953,-6.6606381361,-12.1007044032,-5.2617865123
1.043,-3.9999940924,-6.6642069508,-12.1193012877,-5.2605521688
1.044,-3.996480175,-6.6677960481,-12.1379273361,-5.2593197786
1.045,-3.9929668757,-6.6714055434,-12.1565819926,-5.2580893727
1.046,-3.989454227,-6.6750355524,-12.1752646865,-5.2568609822
1.047,-3.985942262,-6.6786861917,-12.1939748325,-5.2556346383
1.048,-3.9824310137,-6.6823575784,-12.2127118298,-5.2544103727
1.049,-3.9789205158,-6.6860498302,-12.2314750622,-5.2531882171
1.05,-3.975410802,-6.6897630655,-12.2502638977,-5.2519682036
1.051,-3.9719019063,-6.6934974032,-12.2690776883,-5.2507503644
1.052,-3.9683938631,-6.697252963,-12.2879157695,-5.2495347322
1.053,-3.964886707,-6.7010298652,-12.3067774603,-5.2483213395
1.054,-3.9613804728,-6.7048282307,-12.3256620626,-5.2471102195
1.055,-3.9578751957,-6.708648181,-12.3445688614,-5.2459014054
1.056,-3.9543709112,-6.7124898384,-12.3634971238,-5.2446949306
1.057,-3.9508676551,-6.7163533257,-12.3824460993,-5.243490829
1.058,-3.9473654635,-6.7202387665,-12.4014150194,-5.2422891345
1.059,-3.9438643726,-6.724146285,-12.4204030968,-5.2410898814
1.06,-3.9403644191,-6.7280760058,-12.4394095259,-5.2398931041
1.061,-3.9368656401,-6.7320280547,-12.4584334817,-5.2386988375
1.062,-3.9333680726,-6.7360025577,-12.4774741201,-5.2375071166
1.063,-3.9298717544,-6.7399996416,-12.4965305771,-5.2363179766
1.064,-3.9263767233,-6.7440194341,-12.515601969,-5.2351314531
1.065,-3.9228830174,-6.7480620631,-12.5346873914,-5.2339475819
1.066,-3.9193906753,-6.7521276577,-12.5537859197,-5.2327663992
1.067,-3.9158997358,-6.7562163474,-12.5728966079,-5.2315879411
1.068,-3.9124102379,-6.7603282623,-12.5920184889,-5.2304122444
1.069,-3.9089222213,-6.7644635334,-12.611150574,-5.2292393459
1.07,-3.9054357255,-6.7686222924,-12.6302918526,-5.2280692829
1.071,-3.9019507909,-6.7728046714,-12.6494412914,-5.2269020926
1.072,-3.8984674576,-6.7770108034,-12.6685978351,-5.225737813
1.073,-3.8949857667,-6.7812408223,-12.6877604047,-5.2245764819
1.074,-3.891505759,-6.7854948622,-12.7069278985,-5.2234181376
1.075,-3.8880274762,-6.7897730585,-12.7260991908,-5.2222628187
1.076,-3.8845509599,-6.7940755467,-12.7452731318,-5.2211105641
1.077,-3.8810762522,-6.7984024635,-12.7644485477,-5.2199614129
