!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:09:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1000000000,-6.7927175,-57.681721
1001000000,-6.7938175,-57.801044
1002000000,-6.7982841,-57.903091
1003000000,-6.7899628,-57.80978
1004000000,-6.7904062,-57.996647
1005000000,-6.8190551,-57.925163
1006000000,-6.8192453,-58.187412
1007000000,-6.8050623,-58.07119
1008000000,-6.8091879,-58.181
1009000000,-6.825479,-58.010902
1010000000,-6.8083882,-58.355492
1011000000,-6.8251014,-58.287128
1012000000,-6.8384113,-58.245636
1013000000,-6.8011684,-58.509899
1014000000,-6.8264327,-58.678677
1015000000,-6.8337889,-58.65472
1016000000,-6.8047252,-58.56461
1017000000,-6.8086114,-58.840866
1018000000,-6.8129458,-58.955086
1019000000,-6.8263187,-58.775063
1020000000,-6.83182,-58.903027
1021000000,-6.8052835,-58.914494
1022000000,-6.8248653,-58.779842
1023000000,-6.8441153,-59.020142
1024000000,-6.8676739,-58.852734
1025000000,-6.8601251,-59.192921
1026000000,-6.8700213,-59.214737
1027000000,-6.8359814,-59.324974
1028000000,-6.8400536,-59.297161
1029000000,-6.8432288,-59.240089
1030000000,-6.8415933,-59.569897
1031000000,-6.8300772,-59.449619
1032000000,-6.8946352,-59.648903
1033000000,-6.8546381,-59.560829
1034000000,-6.8476672,-59.776028
1035000000,-6.8711147,-59.667892
1036000000,-6.8557239,-59.845928
1037000000,-6.8747067,-60.077053
1038000000,-6.8460937,-59.921894
1039000000,-6.8586702,-59.867287
1040000000,-6.8394904,-60.02076
1041000000,-6.8942275,-59.983589
1042000000,-6.8815017,-60.102993
1043000000,-6.8370929,-60.122692
1044000000,-6.8364348,-60.131847
1045000000,-6.8881688,-60.439613
1046000000,-6.8612256,-60.590759
1047000000,-6.8495226,-60.367638
1048000000,-6.9012032,-60.36462
1049000000,-6.8715453,-60.390148
1050000000,-6.8889375,-60.546635
1051000000,-6.8852668,-60.611023
1052000000,-6.8807549,-60.721378
1053000000,-6.8724632,-60.837521
1054000000,-6.8645339,-60.966454
1055000000,-6.8690934,-60.725655
1056000000,-6.9004669,-60.852497
1057000000,-6.8777151,-61.149216
1058000000,-6.9437513,-60.899353
1059000000,-6.909111,-61.076427
1060000000,-6.8599658,-61.067997
1061000000,-6.9176526,-61.227245
1062000000,-6.9099064,-61.208324
1063000000,-6.8817787,-61.318066
1064000000,-6.9131293,-61.445156
1065000000,-6.8746243,-61.545948
1066000000,-6.914258,-61.632351
1067000000,-6.8866,-61.651543
1068000000,-6.8850193,-61.449581
1069000000,-6.9109907,-61.466259
1070000000,-6.9232717,-61.710625
1071000000,-6.876708,-61.712746
1072000000,-6.9187799,-61.913795
1073000000,-6.915009,-61.707924
1074000000,-6.9042997,-61.725437
1075000000,-6.9465852,-62.337696
1076000000,-6.8980489,-62.121098
1077000000,-6.9433055,-62.170631
