Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1000000000,1.0583464,53.976788,102.31223
1001000000,1.0493582,54.288918,103.8325
1002000000,1.0632192,54.369503,102.6442
1003000000,0.8591029,54.438938,127.20243
1004000000,1.1046592,54.589481,99.228333
1005000000,1.21522,54.740227,90.474113
1006000000,0.92396384,54.945587,119.47407
1007000000,0.93864137,54.893887,117.48534
1008000000,1.1120051,55.152721,99.684959
1009000000,1.0593657,55.173164,104.6795
1010000000,1.1483827,55.349289,96.906075
1011000000,1.2216831,55.143131,90.720482
1012000000,1.0487375,55.377834,106.17151
1013000000,1.1466045,55.755077,97.842941
1014000000,0.98498648,55.665432,113.69043
1015000000,1.0431939,55.832787,107.70584
1016000000,1.1448369,55.997311,98.466942
1017000000,1.0404674,56.112671,108.59033
1018000000,1.1534528,56.091576,97.914848
1019000000,1.0287637,56.320297,110.2793
1020000000,1.0270385,56.387447,110.61176
1021000000,1.0458485,56.466873,108.79451
1022000000,1.2678344,56.705112,90.175407
1023000000,1.1517226,56.889809,99.628006
1024000000,1.0802032,56.840302,106.11836
1025000000,1.2636528,56.862389,90.756554
1026000000,1.3546013,57.132858,85.120285
1027000000,1.0841944,57.313366,106.72435
1028000000,1.2778826,57.44574,90.790024
1029000000,1.1171772,57.358433,103.66663
1030000000,1.165954,57.584137,99.77581
1031000000,0.95271051,57.610184,122.16599
1032000000,1.2858932,57.876797,90.997787
1033000000,1.2741526,58.081238,92.208153
1034000000,1.2454263,58.114361,94.396133
1035000000,1.1625748,58.305393,101.50384
1036000000,1.3452778,58.239281,87.608032
1037000000,1.2620175,58.200027,93.313309
1038000000,1.2466276,58.639153,95.288155
1039000000,1.1035643,58.485401,107.31113
1040000000,1.2993882,58.894371,91.882141
1041000000,1.1860479,58.872414,100.61617
1042000000,1.3357905,59.024231,89.608345
1043000000,1.1454154,59.260757,104.98552
1044000000,1.1656636,59.401524,103.44903
1045000000,1.1339692,59.545208,106.64107
1046000000,1.3311106,59.425648,90.637787
1047000000,1.0690273,59.794945,113.67562
1048000000,1.2539517,59.993492,97.294769
1049000000,1.3472929,59.925259,90.434776
1050000000,0.96409798,59.830059,126.13209
1051000000,1.3545442,60.078918,90.223106
1052000000,1.2033142,60.377575,102.15625
1053000000,1.0873456,60.379047,113.05203
1054000000,1.2587304,60.487442,97.871323
1055000000,1.2241818,60.889523,101.42986
1056000000,1.3423356,60.675091,92.116264
1057000000,1.3695327,60.968472,90.808624
1058000000,1.2178004,61.046646,102.27601
1059000000,1.0041749,61.408669,124.91107
1060000000,1.3472909,61.557716,93.37915
1061000000,1.2595682,61.587029,99.937744
1062000000,1.317482,61.574085,95.521858
1063000000,1.3520935,61.734604,93.370239
1064000000,0.95453215,61.988865,132.9064
1065000000,1.2846792,61.813919,98.420685
1066000000,1.3500873,62.167191,94.303032
1067000000,1.4769411,62.391453,86.584679
1068000000,1.3465104,62.42944,95.038841
1069000000,1.3166392,62.528221,97.381836
1070000000,1.3090839,62.810326,98.48394
1071000000,1.390419,62.772251,92.656067
1072000000,1.3939383,62.843483,92.550514
1073000000,1.3375834,63.207809,97.135414
1074000000,1.2501876,63.150078,103.80674
1075000000,1.2315693,63.581646,106.26397
1076000000,1.4663496,63.42482,88.983345
1077000000,1.4086008,63.749306,93.215836
1078000000,1.1468428,63.6469,114.25683
1079000000,1.302232,63.900818,101.1243
1080000000,1.2099251,64.008347,109.0641
1081000000,1.1017274,63.92762,119.58485
1082000000,1.2551719,64.463028,106.06457
1083000000,1.4678476,64.084976,90.039627
1084000000,1.4691957,64.428726,90.558388
1085000000,1.3793095,64.736,97.033203
1086000000,1.3880001,64.885284,96.704742
1087000000,1.3403127,65.233917,100.82119
1088000000,1.3284998,65.120277,101.49432
1089000000,1.1870118,65.307632,114.00014
1090000000,1.2009248,65.584892,113.28426
1091000000,1.2366441,65.889572,110.66093
1092000000,1.2684569,65.606323,107.29887
1093000000,1.602797,65.830208,85.291443
1094000000,1.6026682,65.985832,85.554382
1095000000,1.3029253,65.934105,105.12308
1096000000,1.6264368,66.431824,85.030991
1097000000,1.5745189,66.484795,87.922913
1098000000,1.1994245,66.592354,115.64655
1099000000,1.4165727,66.674362,98.078453
1100000000,1.5929224,66.897881,87.599434
1101000000,1.543934,67.008118,90.568893
1102000000,1.4632263,67.087219,95.707397
1103000000,1.7690201,67.38623,79.625107
1104000000,1.36612,67.789856,103.89536
1105000000,1.2710807,67.676804,111.42013
1106000000,1.6606042,67.854286,85.583176
1107000000,1.5686877,68.189171,91.17646
1108000000,1.4783378,68.245621,96.850533
1109000000,1.4681331,68.278038,97.583618
1110000000,1.5482241,68.477646,92.890221
1111000000,1.3829069,68.576195,104.18555
1112000000,1.5047292,68.543457,95.694122
1113000000,1.6137421,68.765388,89.61013
1114000000,1.5337576,69.085129,94.855873
1115000000,1.6567128,69.126694,87.888481
1116000000,1.6355073,69.571442,89.781967
1117000000,1.6694142,69.461197,87.775589
1118000000,1.5957835,69.73954,92.30925
1119000000,1.6336862,69.77726,90.233192
1120000000,1.5318791,69.883499,96.420822
1121000000,1.5611565,70.08696,94.978317
