"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-47.0707326300044,-0.231686363798446
1.001,-47.0920730983135,-0.231756320057308
1.002,-47.113563569275,-0.231825986010922
1.003,-47.1352049033487,-0.231895362132952
1.004,-47.1569979684219,-0.231964448898254
1.005,-47.1789436399103,-0.232033246782877
1.006,-47.2010428008602,-0.232101756264057
1.007,-47.2232963420534,-0.232169977820198
1.008,-47.2457051621131,-0.232237911930856
1.009,-47.2682701676116,-0.232305559076761
1.01,-47.2909922731809,-0.232372919739757
1.011,-47.3138724016235,-0.232439994402837
1.012,-47.3369114840267,-0.232506783550119
1.013,-47.3601104598779,-0.232573287666827
1.014,-47.3834702771822,-0.232639507239285
1.015,-47.4069918925821,-0.232705442754926
1.016,-47.4306762714788,-0.232771094702246
1.017,-47.4545243881566,-0.232836463570833
1.018,-47.4785372259081,-0.232901549851338
1.019,-47.5027157771629,-0.232966354035453
1.02,-47.5270610436174,-0.233030876615943
1.021,-47.5515740363675,-0.233095118086584
1.022,-47.5762557760438,-0.233159078942201
1.023,-47.6011072929481,-0.233222759678616
1.024,-47.6261296271937,-0.233286160792683
1.025,-47.6513238288469,-0.233349282782241
1.026,-47.6766909580719,-0.233412126146132
1.027,-47.7022320852772,-0.233474691384162
1.028,-47.7279482912659,-0.233536978997123
1.029,-47.7538406673872,-0.23359898948677
1.03,-47.7799103156918,-0.233660723355808
1.031,-47.806158349089,-0.233722181107886
1.032,-47.8325858915074,-0.233783363247603
1.033,-47.8591940780576,-0.233844270280462
1.034,-47.8859840551984,-0.233904902712907
1.035,-47.9129569809057,-0.23396526105228
1.036,-47.9401140248444,-0.234025345806821
1.037,-47.9674563685429,-0.234085157485669
1.038,-47.9949852055715,-0.234144696598849
1.039,-48.0227017417231,-0.234203963657241
1.04,-48.0506071951978,-0.234262959172609
1.041,-48.07870279679,-0.234321683657569
1.042,-48.1069897900796,-0.234380137625584
1.043,-48.1354694316256,-0.234438321590955
1.044,-48.1641429911644,-0.234496236068814
1.045,-48.1930117518103,-0.234553881575111
1.046,-48.2220770102604,-0.23461125862662
1.047,-48.2513400770026,-0.234668367740906
1.048,-48.2808022765275,-0.234725209436348
1.049,-48.3104649475445,-0.234781784232084
1.05,-48.3403294432004,-0.23483809264806
1.051,-48.3703971313035,-0.234894135204982
1.052,-48.4006693945503,-0.23494991242431
1.053,-48.4311476307572,-0.235005424828279
1.054,-48.4618332530953,-0.235060672939836
1.055,-48.4927276903303,-0.235115657282699
1.056,-48.5238323870662,-0.235170378381296
1.057,-48.5551488039928,-0.235224836760784
1.058,-48.5866784181389,-0.235279032947024
1.059,-48.6184227231283,-0.235332967466588
1.06,-48.6503832294417,-0.23538664084674
1.061,-48.682561464682,-0.235440053615437
1.062,-48.7149589738458,-0.235493206301308
1.063,-48.7475773195977,-0.235546099433662
1.064,-48.7804180825513,-0.235598733542467
1.065,-48.8134828615537,-0.235651109158342
1.066,-48.8467732739757,-0.235703226812557
1.067,-48.8802909560072,-0.235755087037032
1.068,-48.9140375629571,-0.235806690364296
1.069,-48.9480147695586,-0.235858037327525
1.07,-48.9822242702805,-0.235909128460498
1.071,-49.0166677796431,-0.235959964297602
1.072,-49.0513470325396,-0.236010545373826
1.073,-49.0862637845635,-0.236060872224748
1.074,-49.1214198123415,-0.236110945386543
1.075,-49.1568169138716,-0.236160765395941
1.076,-49.1924569088677,-0.236210332790261
1.077,-49.2283416391096,-0.236259648107372
1.078,-49.2644729687991,-0.236308711885699
1.079,-49.3008527849224,-0.236357524664218
1.08,-49.3374829976176,-0.236406086982434
1.081,-49.3743655405499,-0.236454399380389
1.082,-49.4115023712917,-0.236502462398647
1.083,-49.4488954717097,-0.236550276578288
1.084,-49.4865468483582,-0.236597842460893
1.085,-49.5244585328792,-0.236645160588562
1.086,-49.5626325824081,-0.236692231503862
1.087,-49.6010710799875,-0.236739055749866
1.088,-49.639776134986,-0.236785633870123
1.089,-49.6787498835247,-0.236831966408646
1.09,-49.7179944889105,-0.236878053909919
1.091,-49.7575121420757,-0.23692389691887
1.092,-49.7973050620247,-0.236969495980891
1.093,-49.8373754962877,-0.2370148516418
1.094,-49.877725721381,-0.237059964447869
1.095,-49.9183580432746,-0.23710483494578
1.096,-49.9592747978667,-0.237149463682649
1.097,-50.000478351465,-0.237193851205998
1.098,-50.0419711012747,-0.23723799806375
