"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1))_1 []"
1,-0.654516255781698,-19.4724740236951
1.001,-0.655131503718792,-19.4413902722904
1.002,-0.655754537636171,-19.4103284433855
1.003,-0.656385364978838,-19.3792886602219
1.004,-0.657023992997339,-19.3482710459073
1.005,-0.657670428746377,-19.3172757234247
1.006,-0.658324679083388,-19.2863028156406
1.007,-0.658986750667159,-19.2553524453136
1.008,-0.659656649956431,-19.2244247351022
1.009,-0.660334383208501,-19.1935198075737
1.01,-0.661019956477846,-19.1626377852116
1.011,-0.661713375614721,-19.1317787904241
1.012,-0.66241464626379,-19.1009429455515
1.013,-0.66312377386275,-19.0701303728743
1.014,-0.663840763640931,-19.0393411946207
1.015,-0.664565620617947,-19.0085755329743
1.016,-0.665298349602336,-18.9778335100815
1.017,-0.666038955190173,-18.9471152480587
1.018,-0.666787441763706,-18.916420869
1.019,-0.667543813490056,-18.8857504949838
1.02,-0.668308074319781,-18.8551042480803
1.021,-0.669080227985617,-18.8244822503585
1.022,-0.669860278001071,-18.7938846238925
1.023,-0.67064822765912,-18.7633114907691
1.024,-0.671444080030869,-18.7327629730938
1.025,-0.672247837964239,-18.7022391929976
1.026,-0.673059504082622,-18.6717402726436
1.027,-0.673879080783598,-18.6412663342333
1.028,-0.674706570237608,-18.6108175000128
1.029,-0.675541974386657,-18.5803938922789
1.03,-0.676385294943016,-18.5499956333856
1.031,-0.677236533387943,-18.5196228457496
1.032,-0.678095690970377,-18.4892756518565
1.033,-0.678962768705701,-18.4589541742664
1.034,-0.679837767374448,-18.4286585356199
1.035,-0.680720687521036,-18.3983888586433
1.036,-0.681611529452508,-18.3681452661543
1.037,-0.682510293237326,-18.3379278810675
1.038,-0.683416978704097,-18.3077368263995
1.039,-0.684331585440334,-18.2775722252745
1.04,-0.685254112791267,-18.2474342009289
1.041,-0.6861845598586,-18.2173228767166
1.042,-0.68712292549932,-18.1872383761139
1.043,-0.688069208324487,-18.1571808227244
1.044,-0.689023406698057,-18.1271503402838
1.045,-0.689985518735691,-18.097147052664
1.046,-0.690955542303609,-18.0671710838785
1.047,-0.691933475017357,-18.0372225580862
1.048,-0.692919314240767,-18.0073015995958
1.049,-0.693913057084722,-17.9774083328706
1.05,-0.69491470040606,-17.947542882532
1.051,-0.695924240806439,-17.9177053733638
1.052,-0.696941674631247,-17.8878959303164
1.053,-0.697966997968462,-17.8581146785105
1.054,-0.699000206647592,-17.8283617432406
1.055,-0.700041296238608,-17.7986372499793
1.056,-0.70109026205082,-17.7689413243804
1.057,-0.70214709913186,-17.7392740922826
1.058,-0.703211802266629,-17.7096356797127
1.059,-0.704284365976221,-17.6800262128894
1.06,-0.705364784517021,-17.6504458182257
1.061,-0.706453051879517,-17.620894622333
1.062,-0.707549161787402,-17.5913727520233
1.063,-0.708653107696654,-17.5618803343125
1.064,-0.70976488279439,-17.5324174964232
1.065,-0.71088447999801,-17.5029843657874
1.066,-0.71201189195426,-17.4735810700492
1.067,-0.713147111038238,-17.4442077370672
1.068,-0.714290129352541,-17.4148644949172
1.069,-0.715440938726271,-17.3855514718943
1.07,-0.716599530714202,-17.3562687965154
1.071,-0.717765896595836,-17.327016597521
1.072,-0.718940027374609,-17.2977950038777
1.073,-0.72012191377702,-17.2686041447801
1.074,-0.72131154625173,-17.2394441496524
1.075,-0.722508914968799,-17.2103151481503
1.076,-0.723714009818836,-17.1812172701629
1.077,-0.724926820412231,-17.1521506458141
1.078,-0.726147336078369,-17.1231154054643
1.079,-0.727375545864851,-17.0941116797113
1.08,-0.728611438536756,-17.0651395993924
1.081,-0.729855002575848,-17.0361992955848
1.082,-0.731106226180044,-17.0072908996074
1.083,-0.732365097262428,-16.9784145430213
1.084,-0.733631603450753,-16.9495703576311
1.085,-0.734905732086829,-16.9207584754855
1.086,-0.736187470225618,-16.8919790288782
1.087,-0.737476804634855,-16.8632321503485
1.088,-0.738773721794245,-16.8345179726816
1.089,-0.740078207895018,-16.8058366289096
1.09,-0.741390248839211,-16.7771882523112
1.091,-0.742709830239132,-16.7485729764125
1.092,-0.744036937416877,-16.7199909349867
1.093,-0.745371555403704,-16.6914422620547
1.094,-0.746713668939557,-16.6629270918845
1.095,-0.748063262472579,-16.6344455589915
1.096,-0.74942032015862,-16.6059977981381
1.097,-0.750784825860821,-16.5775839443334
1.098,-0.752156763149049,-16.5492041328328
1.099,-0.753536115299596,-16.5208584991375
1.1,-0.754922865294754,-16.4925471789937
1.101,-0.756316995822424,-16.4642703083924
1.102,-0.757718489275599,-16.4360280235681
1.103,-0.759127327752336,-16.4078204609979
1.104,-0.760543493055088,-16.3796477574009
1.105,-0.761966966690712,-16.3515100497369
1.106,-0.763397729869832,-16.3234074752051
1.107,-0.764835763506919,-16.295340171243
1.108,-0.766281048219832,-16.2673082755249
1.109,-0.767733564329634,-16.2393119259605
1.11,-0.769193291860389,-16.2113512606932
1.111,-0.770660210539012,-16.1834264180987
1.112,-0.772134299795049,-16.155537536783
1.113,-0.773615538760585,-16.1276847555804
1.114,-0.775103906270066,-16.0998682135521
1.115,-0.776599380860237,-16.0720880499836
1.116,-0.778101940770117,-16.0443444043827
1.117,-0.779611563940642,-16.0166374164773
1.118,-0.781128228015204,-15.9889672262131
1.119,-0.782651910338997,-15.9613339737512
1.12,-0.784182587959471,-15.9337377994652
1.121,-0.785720237626107,-15.9061788439391
1.122,-0.787264835790633,-15.8786572479641
1.123,-0.788816358606995,-15.8511731525361
1.124,-0.790374781931537,-15.8237266988527
1.125,-0.791940081322954,-15.79631802831
1.126,-0.793512232042618,-15.7689472824996
1.127,-0.795091209054666,-15.7416146032056
1.128,-0.796676987026179,-15.714320132401
1.129,-0.798269540327393,-15.6870640122443
1.13,-0.799868843031874,-15.6598463850763
1.131,-0.801474868916902,-15.6326673934161
1.132,-0.803087591463689,-15.6055271799579
1.133,-0.804706983857643,-15.5784258875666
1.134,-0.806333018988689,-15.5513636592746
1.135,-0.807965669451647,-15.5243406382771
1.136,-0.809604907546662,-15.4973569679289
1.137,-0.811250705279447,-15.4704127917393
1.138,-0.812903034361933,-15.4435082533686
1.139,-0.814561866212432,-15.4166434966232
1.14,-0.816227171956371,-15.3898186654516
1.141,-0.817898922426555,-15.3630339039395
1.142,-0.819577088163813,-15.3362893563055
1.143,-0.821261639417562,-15.3095851668961
1.144,-0.822952546146286,-15.2829214801809
1.145,-0.824649778018153,-15.256298440748
1.146,-0.826353304411655,-15.2297161932983
1.147,-0.828063094416226,-15.2031748826414
1.148,-0.829779116832803,-15.1766746536896
1.149,-0.831501340174799,-15.1502156514528
1.15,-0.83322973266844,-15.1237980210334
1.151,-0.83496426225379,-15.0974219076205
1.152,-0.836704896585415,-15.0710874564847
1.153,-0.838451603033113,-15.0447948129721
1.154,-0.840204348682762,-15.0185441224987
1.155,-0.841963100337189,-14.9923355305446
1.156,-0.843727824517104,-14.9661691826481
1.157,-0.845498487461654,-14.9400452243998
1.158,-0.847275055129774,-14.9139638014362
1.159,-0.84905749320083,-14.8879250594338
1.16,-0.850845767075632,-14.8619291441027
1.161,-0.85263984187752,-14.8359762011802
1.162,-0.854439682453264,-14.8100663764246
1.163,-0.856245253374126,-14.7841998156085
1.164,-0.858056518936935,-14.7583766645122
1.165,-0.859873443165176,-14.7325970689168
1.166,-0.861695989810052,-14.7068611745979
1.167,-0.863524122351699,-14.6811691273184
1.168,-0.86535780400033,-14.6555210728215
1.169,-0.867196997697276,-14.6299171568238
