"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
1,-5.64046419067743,-1.76379621970415
1.001,-5.64893487023314,-1.76038659581393
1.002,-5.65740986897653,-1.75698452536666
1.003,-5.66588919139122,-1.75358998805095
1.004,-5.67437284199623,-1.75020296362454
1.005,-5.68286082534589,-1.74682343191409
1.006,-5.69135314602992,-1.7434513728148
1.007,-5.69984980867337,-1.74008676629026
1.008,-5.70835081793666,-1.7367295923721
1.009,-5.71685617851551,-1.73337983115978
1.01,-5.72536589514101,-1.73003746282032
1.011,-5.73387997257956,-1.72670246758801
1.012,-5.7423984156329,-1.72337482576417
1.013,-5.75092122913807,-1.72005451771693
1.014,-5.75944841796745,-1.71674152388089
1.015,-5.76797998702874,-1.71343582475693
1.016,-5.77651594126493,-1.71013740091197
1.017,-5.78505628565436,-1.70684623297863
1.018,-5.79360102521064,-1.70356230165506
1.019,-5.80215016498271,-1.70028558770466
1.02,-5.81070371005482,-1.69701607195582
1.021,-5.81926166554653,-1.69375373530169
1.022,-5.8278240366127,-1.6904985586999
1.023,-5.83639082844348,-1.68725052317238
1.024,-5.84496204626437,-1.68400960980503
1.025,-5.85353769533615,-1.68077579974754
1.026,-5.86211778095491,-1.67754907421309
1.027,-5.87070230845205,-1.67432941447818
1.028,-5.8792912831943,-1.67111680188231
1.029,-5.88788471058369,-1.66791121782781
1.03,-5.89648259605758,-1.66471264377956
1.031,-5.90508494508864,-1.66152106126472
1.032,-5.91369176318486,-1.65833645187259
1.033,-5.92230305588958,-1.65515879725427
1.034,-5.93091882878144,-1.6519880791225
1.035,-5.93953908747445,-1.64882427925138
1.036,-5.94816383761794,-1.64566737947614
1.037,-5.9567930848966,-1.64251736169297
1.038,-5.96542683503045,-1.63937420785868
1.039,-5.97406509377491,-1.63623789999057
1.04,-5.98270786692071,-1.63310842016612
1.041,-5.99135516029399,-1.62998575052285
1.042,-6.00000697975625,-1.626869873258
1.043,-6.0086633312044,-1.62376077062836
1.044,-6.01732422057071,-1.62065842495005
1.045,-6.02598965382288,-1.61756281859826
1.046,-6.034659636964,-1.61447393400704
1.047,-6.0433341760326,-1.6113917536691
1.048,-6.05201327710261,-1.60831626013555
1.049,-6.06069694628344,-1.60524743601571
1.05,-6.0693851897199,-1.60218526397688
1.051,-6.0780780135923,-1.59912972674412
1.052,-6.0867754241164,-1.59608080710003
1.053,-6.09547742754346,-1.59303848788453
1.054,-6.10418403016019,-1.59000275199467
1.055,-6.11289523828886,-1.58697358238437
1.056,-6.12161105828722,-1.58395096206426
1.057,-6.13033149654858,-1.58093487410142
1.058,-6.13905655950176,-1.57792530161918
1.059,-6.14778625361117,-1.57492222779694
1.06,-6.15652058537677,-1.5719256358699
1.061,-6.16525956133412,-1.56893550912891
1.062,-6.17400318805438,-1.56595183092023
1.063,-6.18275147214432,-1.56297458464532
1.064,-6.19150442024635,-1.56000375376065
1.065,-6.20026203903852,-1.55703932177748
1.066,-6.20902433523455,-1.55408127226166
1.067,-6.21779131558384,-1.55112958883343
1.068,-6.22656298687151,-1.54818425516723
1.069,-6.23533935591835,-1.54524525499142
1.07,-6.24412042958094,-1.5423125720882
1.071,-6.25290621475158,-1.53938619029332
1.072,-6.26169671835835,-1.53646609349591
1.073,-6.27049194736513,-1.53355226563829
1.074,-6.27929190877159,-1.53064469071573
1.075,-6.28809660961328,-1.5277433527763
1.076,-6.29690605696154,-1.52484823592067
1.077,-6.30572025792363,-1.52195932430188
1.078,-6.31453921964269,-1.51907660212516
1.079,-6.32336294929779,-1.51620005364776
1.08,-6.33219145410392,-1.51332966317873
1.081,-6.34102474131204,-1.51046541507871
1.082,-6.3498628182091,-1.5076072937598
1.083,-6.35870569211806,-1.50475528368531
1.084,-6.36755337039793,-1.50190936936959
1.085,-6.37640586044373,-1.49906953537786
1.086,-6.38526316968661,-1.49623576632598
1.087,-6.39412530559382,-1.4934080468803
1.088,-6.40299227566872,-1.49058636175745
1.089,-6.41186408745085,-1.48777069572418
1.09,-6.42074074851593,-1.48496103359713
1.091,-6.42962226647592,-1.4821573602427
1.092,-6.43850864897897,-1.47935966057681
1.093,-6.44739990370955,-1.47656791956477
1.094,-6.45629603838839,-1.47378212222106
1.095,-6.46519706077259,-1.47100225360916
1.096,-6.47410297865556,-1.46822829884138
1.097,-6.48301379986713,-1.46546024307866
1.098,-6.49192953227352,-1.46269807153041
1.099,-6.50085018377743,-1.45994176945431
1.1,-6.50977576231799,-1.45719132215616
1.101,-6.51870627587089,-1.45444671498967
1.102,-6.52764173244834,-1.45170793335631
1.103,-6.53658214009911,-1.44897496270513
1.104,-6.5455275069086,-1.44624778853256
1.105,-6.55447784099884,-1.44352639638229
1.106,-6.56343315052853,-1.44081077184503
1.107,-6.57239344369309,-1.43810090055837
1.108,-6.58135872872467,-1.43539676820665
1.109,-6.59032901389222,-1.43269836052068
1.11,-6.59930430750146,-1.4300056632777
1.111,-6.60828461789502,-1.4273186623011
1.112,-6.61726995345237,-1.4246373434603
1.113,-6.62626032258994,-1.42196169267062
1.114,-6.63525573376107,-1.41929169589301
1.115,-6.64425619545615,-1.41662733913399
1.116,-6.65326171620259,-1.41396860844541
1.117,-6.66227230456487,-1.4113154899243
1.118,-6.6712879691446,-1.40866796971277
1.119,-6.68030871858054,-1.40602603399772
1.12,-6.68933456154864,-1.40338966901079
1.121,-6.69836550676209,-1.40075886102814
1.122,-6.70740156297138,-1.39813359637031
1.123,-6.71644273896429,-1.39551386140203
1.124,-6.72548904356598,-1.39289964253212
1.125,-6.73454048563902,-1.39029092621322
1.126,-6.74359707408342,-1.38768769894176
1.127,-6.75265881783668,-1.38508994725772
1.128,-6.76172572587384,-1.38249765774447
1.129,-6.77079780720755,-1.37991081702866
1.13,-6.77987507088804,-1.37732941178002
1.131,-6.78895752600325,-1.37475342871122
1.132,-6.79804518167883,-1.37218285457771
1.133,-6.80713804707819,-1.36961767617758
1.134,-6.81623613140256,-1.36705788035139
1.135,-6.82533944389101,-1.364503453982
1.136,-6.83444799382056,-1.36195438399445
1.137,-6.84356179050619,-1.35941065735579
1.138,-6.85268084330083,-1.35687226107493
1.139,-6.86180516159552,-1.35433918220251
1.14,-6.8709347548194,-1.35181140783067
1.141,-6.88006963243976,-1.34928892509302
1.142,-6.88920980396208,-1.34677172116439
1.143,-6.89835527893017,-1.34425978326074
1.144,-6.90750606692609,-1.34175309863897
1.145,-6.91666217757029,-1.33925165459681
1.146,-6.92582362052164,-1.33675543847264
1.147,-6.93499040547749,-1.33426443764536
1.148,-6.94416254217372,-1.33177863953426
1.149,-6.95334004038479,-1.32929803159884
1.15,-6.9625229099238,-1.32682260133866
1.151,-6.97171116064256,-1.32435233629327
1.152,-6.98090480243162,-1.32188722404197
1.153,-6.99010384522034,-1.31942725220372
1.154,-6.99930829897695,-1.31697240843699
1.155,-7.00851817370863,-1.31452268043964
1.156,-7.01773347946151,-1.31207805594869
1.157,-7.02695422632078,-1.30963852274031
1.158,-7.03618042441075,-1.30720406862958
1.159,-7.04541208389485,-1.30477468147037
1.16,-7.05464921497581,-1.30235034915525
1.161,-7.06389182789559,-1.29993105961529
1.162,-7.07313993293551,-1.29751680081994
1.163,-7.08239354041631,-1.29510756077692
1.164,-7.09165266069822,-1.29270332753206
1.165,-7.10091730418098,-1.29030408916914
1.166,-7.11018748130396,-1.2879098338098
1.167,-7.11946320254619,-1.28552054961339
1.168,-7.12874447842642,-1.28313622477681
1.169,-7.13803131950324,-1.28075684753442
1.17,-7.14732373637507,-1.27838240615785
1.171,-7.15662173968029,-1.27601288895592
1.172,-7.16592534009725,-1.27364828427448
1.173,-7.17523454834442,-1.27128858049628
1.174,-7.18454937518036,-1.26893376604084
1.175,-7.19386983140388,-1.26658382936435
1.176,-7.20319592785405,-1.26423875895944
1.177,-7.21252767541028,-1.2618985433552
1.178,-7.22186508499242,-1.25956317111692
1.179,-7.23120816756082,-1.25723263084602
1.18,-7.24055693411638,-1.25490691117991
1.181,-7.24991139570065,-1.25258600079189
1.182,-7.25927156339588,-1.25026988839097
1.183,-7.26863744832512,-1.24795856272177
1.184,-7.27800906165228,-1.24565201256441
1.185,-7.28738641458221,-1.24335022673435
1.186,-7.29676951836076,-1.2410531940823
1.187,-7.30615838427489,-1.23876090349405
1.188,-7.31555302365273,-1.23647334389041
1.189,-7.32495344786363,-1.23419050422701
1.19,-7.33435966831829,-1.23191237349423
1.191,-7.34377169646881,-1.22963894071708
1.192,-7.35318954380876,-1.22737019495503
1.193,-7.36261322187328,-1.22510612530193
1.194,-7.37204274223919,-1.22284672088587
1.195,-7.38147811652497,-1.22059197086908
1.196,-7.39091935639098,-1.21834186444777
1.197,-7.40036647353941,-1.21609639085205
1.198,-7.40981947971448,-1.21385553934579
1.199,-7.41927838670243,-1.21161929922651
1.2,-7.42874320633168,-1.20938765982524
1.201,-7.43821395047285,-1.20716061050642
1.202,-7.4476906310389,-1.2049381406678
1.203,-7.45717325998519,-1.20272023974029
1.204,-7.46666184930955,-1.20050689718784
1.205,-7.47615641105243,-1.19829810250736
1.206,-7.4856569572969,-1.19609384522857
1.207,-7.49516350016884,-1.19389411491391
1.208,-7.50467605183695,-1.19169890115841
1.209,-7.51419462451287,-1.18950819358955
1.21,-7.52371923045127,-1.18732198186722
1.211,-7.53324988194996,-1.18514025568352
1.212,-7.54278659134995,-1.18296300476271
1.213,-7.55232937103557,-1.18079021886107
1.214,-7.56187823343453,-1.17862188776677
1.215,-7.57143319101808,-1.17645800129982
1.216,-7.58099425630104,-1.17429854931186
1.217,-7.59056144184191,-1.17214352168618
1.218,-7.60013476024301,-1.16999290833746
1.219,-7.60971422415051,-1.1678466992118
1.22,-7.6192998462546,-1.16570488428651
1.221,-7.62889163928952,-1.16356745357003
1.222,-7.63848961603372,-1.16143439710186
1.223,-7.64809378930992,-1.15930570495238
1.224,-7.65770417198522,-1.15718136722283
1.225,-7.66732077697123,-1.1550613740451
1.226,-7.67694361722412,-1.15294571558172
1.227,-7.68657270574476,-1.15083438202567
1.228,-7.69620805557886,-1.14872736360035
1.229,-7.70584967981696,-1.14662465055942
1.23,-7.71549759159467,-1.1445262331867
1.231,-7.72515180409268,-1.1424321017961
1.232,-7.73481233053691,-1.14034224673146
1.233,-7.74447918419861,-1.13825665836651
1.234,-7.75415237839448,-1.13617532710471
1.235,-7.76383192648674,-1.13409824337918
1.236,-7.77351784188328,-1.13202539765259
1.237,-7.78321013803778,-1.12995678041703
1.238,-7.79290882844976,-1.12789238219396
1.239,-7.80261392666476,-1.12583219353407
1.24,-7.81232544627442,-1.12377620501716
1.241,-7.82204340091659,-1.12172440725212
1.242,-7.83176780427547,-1.11967679087672
1.243,-7.84149867008169,-1.1176333465576
1.244,-7.85123601211246,-1.11559406499013
1.245,-7.86097984419167,-1.1135589368983
1.246,-7.87073018019,-1.11152795303467
1.247,-7.88048703402507,-1.10950110418017
1.248,-7.89025041966151,-1.10747838114415
1.249,-7.90002035111114,-1.10545977476415
1.25,-7.90979684243304,-1.10344527590586
1.251,-7.91957990773368,-1.10143487546302
1.252,-7.92936956116709,-1.09942856435734
1.253,-7.93916581693492,-1.09742633353834
1.254,-7.94896868928659,-1.09542817398332
1.255,-7.95877819251944,-1.09343407669724
1.256,-7.96859434097882,-1.09144403271262
1.257,-7.97841714905821,-1.08945803308946
1.258,-7.9882466311994,-1.08747606891511
1.259,-7.99808280189258,-1.08549813130422
1.26,-8.00792567567644,-1.08352421139862
