Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1000000000,-5.2874308,,-1.0632459,,-2.0602469,,-16.800127,,-0.654516256,-19.47247402
1001000000,-5.3171759,,-1.0628211,,-2.0587018,,-16.776104,,-0.655131504,-19.44139027
1002000000,-5.3030806,,-1.062421,,-2.0380919,,-16.742289,,-0.655754538,-19.41032844
1003000000,-5.3132071,,-1.0789341,,-2.0349774,,-16.738312,,-0.656385365,-19.37928866
1004000000,-5.3475323,,-1.0784713,,-2.0596142,,-16.752743,,-0.657023993,-19.34827105
1005000000,-5.3196044,,-1.0515057,,-2.0315719,,-16.724369,,-0.657670429,-19.31727572
1006000000,-5.3461051,,-1.0444083,,-2.0444472,,-16.690832,,-0.658324679,-19.28630282
1007000000,-5.3415923,,-1.0548121,,-1.9919,,-16.677114,,-0.658986751,-19.25535245
1008000000,-5.3546457,,-1.0542277,,-1.9767214,,-16.649578,,-0.65965665,-19.22442474
1009000000,-5.3702078,,-1.0587041,,-2.0671017,,-16.660898,,-0.660334383,-19.19351981
1010000000,-5.3803959,,-1.086044,,-2.0029323,,-16.613182,,-0.661019956,-19.16263779
1011000000,-5.3719831,,-1.0552534,,-1.9751306,,-16.620657,,-0.661713376,-19.13177879
1012000000,-5.4359045,,-1.0771253,,-2.0033989,,-16.589809,,-0.662414646,-19.10094295
1013000000,-5.3967099,,-1.0663085,,-1.9872025,,-16.577538,,-0.663123774,-19.07013037
1014000000,-5.4008646,,-1.040899,,-2.0132356,,-16.580576,,-0.663840764,-19.03934119
1015000000,-5.4487448,,-1.0534612,,-2.0026743,,-16.548136,,-0.664565621,-19.00857553
1016000000,-5.4440131,,-1.0904747,,-1.9581355,,-16.543036,,-0.66529835,-18.97783351
1017000000,-5.4888592,,-1.07665,,-1.9770247,,-16.512171,,-0.666038955,-18.94711525
1018000000,-5.4700451,,-1.0716025,,-2.0146911,,-16.523355,,-0.666787442,-18.91642087
1019000000,-5.5136719,,-1.0922703,,-1.9581691,,-16.502222,,-0.667543813,-18.88575049
1020000000,-5.484416,,-1.085054,,-1.9721299,,-16.470589,,-0.668308074,-18.85510425
1021000000,-5.5205593,,-1.0749222,,-1.9837574,,-16.508696,,-0.669080228,-18.82448225
1022000000,-5.5256367,,-1.0885677,,-1.9348466,,-16.456066,,-0.669860278,-18.79388462
1023000000,-5.5262604,,-1.0907733,,-1.9541045,,-16.423273,,-0.670648228,-18.76331149
1024000000,-5.5547829,,-1.1005883,,-1.9561138,,-16.435886,,-0.67144408,-18.73276297
1025000000,-5.5472083,,-1.0946635,,-1.9566902,,-16.401171,,-0.672247838,-18.70223919
1026000000,-5.560616,,-1.0619063,,-1.9279308,,-16.360992,,-0.673059504,-18.67174027
1027000000,-5.5423069,,-1.1069081,,-1.9237424,,-16.329798,,-0.673879081,-18.64126633
1028000000,-5.5926299,,-1.1025909,,-1.9544325,,-16.368307,,-0.67470657,-18.6108175
1029000000,-5.5867929,,-1.1105968,,-1.9528514,,-16.361271,,-0.675541974,-18.58039389
1030000000,-5.6081891,,-1.1053853,,-1.9510432,,-16.347984,,-0.676385295,-18.54999563
1031000000,-5.6472716,,-1.1069963,,-1.9238206,,-16.304457,,-0.677236533,-18.51962285
