Freq(Hz),S11 50 Mag,S21 50 Mag,,S11 BSF Mag,S21 BSF Mag,,S11 BSF HFSS Mag,S21 BSF HFSS Mag,,S11 BSF Milled Mag,S21 BSF Milled Mag
1000000000,-25.2005,-0.31900597,,-19.355135,-0.32137862,,-44.89624218,-0.540662186,,-19.436253,-0.36177942
1001000000,-25.171009,-0.29374573,,-19.345293,-0.31434667,,-44.8103052,-0.541222448,,-19.355007,-0.37345523
1002000000,-25.086376,-0.31913447,,-19.296326,-0.3481237,,-44.63867433,-0.54178635,,-19.383959,-0.37455097
1003000000,-25.046249,-0.32551664,,-19.22864,-0.33459598,,-44.3911152,-0.542353883,,-19.230946,-0.34909025
1004000000,-25.195717,-0.34399495,,-19.171265,-0.32686114,,-44.08022788,-0.542925038,,-19.202547,-0.3861149
1005000000,-24.950609,-0.33000723,,-19.117634,-0.33513233,,-43.71962305,-0.543499808,,-19.214739,-0.37062863
1006000000,-24.902912,-0.31432876,,-19.095371,-0.35291278,,-43.32242325,-0.544078183,,-19.170635,-0.37610114
1007000000,-24.90733,-0.32327589,,-19.047043,-0.34614152,,-42.90029623,-0.544660155,,-19.088314,-0.35759079
1008000000,-24.961798,-0.32438022,,-18.985081,-0.36161736,,-42.46300476,-0.545245713,,-19.016911,-0.34320596
1009000000,-24.905918,-0.30520827,,-18.938959,-0.34160566,,-42.01834027,-0.54583485,,-19.03665,-0.37889829
1010000000,-24.866282,-0.32939887,,-18.863632,-0.31387797,,-41.57228589,-0.546427554,,-19.042747,-0.37027973
1011000000,-24.824774,-0.31893826,,-18.855947,-0.33352202,,-41.12928418,-0.547023816,,-18.934462,-0.37130934
1012000000,-24.771452,-0.33586597,,-18.824862,-0.35875088,,-40.69252847,-0.547623625,,-18.890181,-0.37736031
1013000000,-24.798494,-0.32949713,,-18.790182,-0.3569504,,-40.26423365,-0.548226972,,-18.916164,-0.3841112
1014000000,-24.751862,-0.31970057,,-18.703167,-0.33584958,,-39.8458676,-0.548833845,,-18.911638,-0.39095002
1015000000,-24.621828,-0.32536429,,-18.678072,-0.35423905,,-39.43833905,-0.549444234,,-18.805691,-0.37700677
1016000000,-24.649256,-0.34164798,,-18.654945,-0.3565838,,-39.04214523,-0.550058127,,-18.78286,-0.36128041
1017000000,-24.583948,-0.32796803,,-18.622198,-0.36251548,,-38.65748513,-0.550675513,,-18.725071,-0.41762406
1018000000,-24.607594,-0.2912969,,-18.522276,-0.30469146,,-38.28434515,-0.55129638,,-18.729151,-0.36095956
1019000000,-24.527405,-0.32606092,,-18.536871,-0.35968357,,-37.92256307,-0.551920717,,-18.708735,-0.36537915
1020000000,-24.568842,-0.28621566,,-18.494518,-0.33701801,,-37.57187534,-0.55254851,,-18.623137,-0.34939399
1021000000,-24.553408,-0.3335695,,-18.428171,-0.31932226,,-37.23195186,-0.553179749,,-18.668339,-0.37555367
1022000000,-24.424976,-0.31871179,,-18.462801,-0.37463868,,-36.90242131,-0.55381442,,-18.560446,-0.36069283
1023000000,-24.461266,-0.30279058,,-18.375319,-0.32874408,,-36.58288948,-0.55445251,,-18.60177,-0.38848257
1024000000,-24.520256,-0.34599152,,-18.31432,-0.35710576,,-36.27295236,-0.555094006,,-18.563936,-0.3614023
1025000000,-24.46106,-0.30921176,,-18.287008,-0.33592647,,-35.97220543,-0.555738895,,-18.438622,-0.37711176
1026000000,-24.371693,-0.33540127,,-18.261049,-0.37147918,,-35.68025014,-0.556387163,,-18.451956,-0.35103542
1027000000,-24.382778,-0.31806666,,-18.225288,-0.37161237,,-35.39669828,-0.557038797,,-18.464043,-0.35292897
1028000000,-24.332624,-0.32697538,,-18.232847,-0.37313217,,-35.12117486,-0.557693783,,-18.451517,-0.37504673
1029000000,-24.267525,-0.32508242,,-18.140131,-0.33192691,,-34.85331988,-0.558352106,,-18.36558,-0.3425301
1030000000,-24.285957,-0.30090052,,-18.110727,-0.34272879,,-34.59278933,-0.559013751,,-18.371824,-0.35910651
1031000000,-24.193399,-0.32865694,,-18.075821,-0.35344154,,-34.33925559,-0.559678705,,-18.298452,-0.38479239
1032000000,-24.236801,-0.31976426,,-18.06525,-0.37962317,,-34.09240741,-0.560346951,,-18.196638,-0.40632311
1033000000,-24.182016,-0.27526078,,-18.032145,-0.35350952,,-33.8519497,-0.561018475,,-18.318186,-0.39439756
1034000000,-24.209131,-0.33010557,,-17.984974,-0.37222356,,-33.61760301,-0.561693262,,-18.199514,-0.383757
1035000000,-24.152836,-0.36284181,,-17.978605,-0.39123389,,-33.38910299,-0.562371295,,-18.255766,-0.38931727
1036000000,-24.117674,-0.33707002,,-17.943144,-0.36068404,,-33.16619969,-0.563052559,,-18.180357,-0.38388479
1037000000,-24.113441,-0.31493229,,-17.87748,-0.37133768,,-32.94865687,-0.563737038,,-18.154778,-0.39203092
1038000000,-23.975338,-0.28708169,,-17.864719,-0.34507447,,-32.73625129,-0.564424715,,-18.179504,-0.40863863
1039000000,-24.026472,-0.33240715,,-17.802629,-0.3727861,,-32.52877197,-0.565115574,,-18.163389,-0.39687961
1040000000,-24.015995,-0.32100633,,-17.77059,-0.36285734,,-32.32601952,-0.565809598,,-18.080307,-0.40022627
1041000000,-23.952267,-0.32522541,,-17.723133,-0.34328941,,-32.12780541,-0.56650677,,-18.086964,-0.40070164
1042000000,-23.9361,-0.34111068,,-17.712702,-0.37201929,,-31.93395137,-0.567207072,,-18.019711,-0.37794253
1043000000,-23.882065,-0.30509225,,-17.67174,-0.34713522,,-31.74428871,-0.567910488,,-18.044491,-0.41497764
1044000000,-23.787624,-0.32732019,,-17.635677,-0.37610653,,-31.55865778,-0.568616998,,-17.999111,-0.41701147
1045000000,-23.84691,-0.35049307,,-17.596956,-0.37637156,,-31.37690738,-0.569326587,,-17.978975,-0.40145382
1046000000,-23.828699,-0.32973602,,-17.543571,-0.37301785,,-31.19889424,-0.570039235,,-17.904003,-0.39811307
1047000000,-23.813015,-0.3082495,,-17.535673,-0.36511266,,-31.02448254,-0.570754923,,-17.956501,-0.40769199
1048000000,-23.756397,-0.35689688,,-17.513954,-0.37938213,,-30.85354345,-0.571473635,,-17.896578,-0.38224474
1049000000,-23.720121,-0.32180539,,-17.492619,-0.37339169,,-30.68595467,-0.572195349,,-17.864958,-0.43107843
1050000000,-23.689022,-0.34753734,,-17.441992,-0.40214008,,-30.52160008,-0.572920048,,-17.870943,-0.40407261
