Freq(Hz),S11 50 Phase,S21 50 Phase,,S11 BSF Phase,S21 BSF Phase,,S11 BSF Milled Phase,S21 BSF Milled Phase
1000000000,-48.100376,-154.17543,,-120.90547,179.87837,,-134.16127,141.98138
1001000000,-48.311729,-154.17381,,-121.14428,179.92488,,-134.51608,141.63503
1002000000,-49.463772,-154.38792,,-121.07775,179.97343,,-135.5383,141.42351
1003000000,-49.570835,-154.64476,,-121.45554,179.53439,,-134.65883,141.17484
1004000000,-49.870777,-154.7458,,-121.47666,179.36752,,-135.15677,141.04568
1005000000,-50.2467,-154.88464,,-121.45616,179.16063,,-135.55338,140.74557
1006000000,-50.787979,-155.00989,,-121.28184,179.16953,,-135.56915,140.54239
1007000000,-51.595707,-155.08627,,-121.40199,178.99644,,-135.71078,140.30411
1008000000,-52.017139,-155.26732,,-121.53128,178.80034,,-136.19127,140.09459
1009000000,-51.889008,-155.58195,,-121.61343,178.54044,,-136.21426,139.86655
1010000000,-52.234501,-155.5737,,-121.81996,178.42256,,-136.37645,139.6292
1011000000,-52.784367,-155.80786,,-121.94777,178.07535,,-136.78482,139.36314
1012000000,-53.611813,-156.04523,,-121.97371,177.91167,,-137.16454,139.02351
1013000000,-53.807652,-156.15247,,-122.2495,177.59842,,-137.85612,138.8744
1014000000,-53.853096,-156.30428,,-122.16091,177.56766,,-137.13358,138.6226
1015000000,-54.734993,-156.56543,,-122.1498,177.42621,,-137.5419,138.40253
1016000000,-54.587692,-156.87401,,-122.38679,177.05353,,-137.69894,138.44568
1017000000,-55.690105,-156.90285,,-122.3591,176.87263,,-137.6936,138.10306
1018000000,-56.017345,-156.82579,,-122.69698,176.71217,,-138.10049,137.83353
1019000000,-56.175621,-156.91234,,-122.64562,176.65518,,-138.01657,137.59378
1020000000,-56.524612,-157.2301,,-122.65386,176.56422,,-138.2829,137.53926
1021000000,-57.230106,-157.32338,,-122.64289,176.3956,,-138.94925,137.0804
1022000000,-56.67197,-157.57182,,-123.0837,175.97597,,-139.31929,136.73134
1023000000,-57.599007,-157.65395,,-123.10712,175.89766,,-139.23714,136.65688
1024000000,-57.71133,-157.79907,,-123.10232,175.77371,,-139.54045,136.35228
1025000000,-58.281628,-157.88356,,-123.06248,175.41861,,-139.6665,136.03792
1026000000,-58.709774,-158.04762,,-123.15864,175.50955,,-139.9976,135.98767
1027000000,-59.203636,-158.40895,,-123.28671,175.16328,,-139.85165,135.66238
1028000000,-58.846363,-158.44341,,-123.40794,174.86807,,-140.30788,135.31467
1029000000,-59.898922,-158.63072,,-123.64088,174.66139,,-140.17195,135.23729
1030000000,-60.188824,-158.77457,,-123.69474,174.73071,,-140.3645,134.87411
1031000000,-60.301529,-158.98009,,-123.98948,174.27632,,-141.05713,134.78162
1032000000,-60.59705,-159.02353,,-123.6711,174.27519,,-140.89415,134.58461
1033000000,-60.977005,-159.19035,,-123.81702,174.0639,,-140.97969,134.35953
1034000000,-61.067856,-159.37849,,-123.95138,173.83298,,-141.37845,133.87517
1035000000,-61.182186,-159.5632,,-124.06995,173.60692,,-142.14154,133.75436
1036000000,-61.657089,-159.59514,,-124.10352,173.51366,,-141.79419,133.47168
1037000000,-62.122185,-159.70323,,-124.00593,173.48564,,-142.00508,133.16112
1038000000,-62.782883,-159.95859,,-124.24584,173.2914,,-142.60641,133.02385
1039000000,-62.877228,-160.29584,,-124.4553,172.85756,,-142.42563,132.67502
1040000000,-62.902081,-160.29839,,-124.66371,172.66331,,-142.94479,132.62865
1041000000,-63.688202,-160.5928,,-124.77239,172.54631,,-142.98416,132.49113
1042000000,-63.711445,-160.62123,,-124.97006,172.339,,-142.61066,132.07376
1043000000,-64.166336,-160.78796,,-124.98674,172.03287,,-143.50392,131.79686
1044000000,-64.477966,-160.90114,,-124.97961,172.08336,,-143.44356,131.70996
1045000000,-64.700523,-161.07648,,-125.12416,171.67108,,-144.03398,131.40639
1046000000,-65.211838,-161.23549,,-125.42362,171.47266,,-144.07672,131.10585
1047000000,-65.346581,-161.63493,,-125.81829,171.11604,,-144.59222,130.92784
1048000000,-65.929863,-161.59917,,-125.54068,171.23532,,-145.00763,130.5397
1049000000,-66.237877,-161.74184,,-125.60978,171.00655,,-144.73927,130.638
1050000000,-66.166443,-161.70052,,-125.73854,170.94063,,-144.82082,130.04524
1051000000,-66.764488,-161.91289,,-126.18661,170.47351,,-145.11165,130.02544
