"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1,-44.8962421782241,-0.540662185646369,-0.540662185646339,-45.7896390613888
1.001,-44.8103052013871,-0.541222448338145,-0.541222448338115,-45.7026029891629
1.002,-44.6386743265754,-0.541786350113493,-0.541786350113462,-45.5099178977203
1.003,-44.3911151963464,-0.542353882914456,-0.542353882914421,-45.2249840726425
1.004,-44.0802278799524,-0.542925038441472,-0.542925038441439,-44.8652639204606
1.005,-43.7196230457876,-0.543499808153457,-0.543499808153419,-44.4492890648515
1.006,-43.3224232530708,-0.544078183267857,-0.544078183267816,-43.9943563626761
1.007,-42.9002962342252,-0.544660154760762,-0.544660154760722,-43.515221781176
1.008,-42.4630047577968,-0.545245713367023,-0.54524571336698,-43.023663291959
1.009,-42.0183402718195,-0.545834849580372,-0.545834849580332,-42.5286085028177
1.01,-41.5722858939669,-0.546427553653595,-0.546427553653554,-42.0365394747086
1.011,-41.1292841832217,-0.547023815598687,-0.547023815598643,-41.5519780264385
1.012,-40.6925284722734,-0.547623625187047,-0.547623625187002,-41.0779445959398
1.013,-40.2642336543228,-0.548226971949693,-0.548226971949647,-40.6163461093236
1.014,-39.8458675970343,-0.54883384517749,-0.548833845177442,-40.1682835315605
1.015,-39.4383390504673,-0.549444233921387,-0.549444233921338,-39.7342862148022
1.016,-39.0421452293815,-0.550058126992705,-0.550058126992654,-39.3144858692711
1.017,-38.6574851289708,-0.550675512963396,-0.550675512963344,-38.9087434235411
1.018,-38.2843451536271,-0.551296380166363,-0.551296380166312,-38.5167403384635
1.019,-37.9225630699218,-0.551920716695792,-0.551920716695741,-38.1380436618896
1.02,-37.5718753359133,-0.552548510407478,-0.552548510407425,-37.7721519488117
1.021,-37.2319518558834,-0.553179748919192,-0.553179748919138,-37.4185273646007
1.022,-36.9024213122677,-0.553814419611068,-0.553814419611014,-37.0766178735945
1.023,-36.5828894826325,-0.554452509625998,-0.554452509625944,-36.7458723465482
1.024,-36.2729523589826,-0.555094005870057,-0.555094005870004,-36.4257506310583
1.025,-35.9722054301421,-0.555738895012936,-0.555738895012881,-36.1157300537912
1.026,-35.6802501408955,-0.55638716348841,-0.556387163488352,-35.8153094074722
1.027,-35.3966982805953,-0.557038797494798,-0.55703879749474,-35.5240111763545
1.028,-35.1211748590022,-0.55769378299548,-0.557693782995422,-35.2413825390795
1.029,-34.8533198821413,-0.558352105719409,-0.558352105719349,-34.9669955337949
1.03,-34.5927893333598,-0.559013751161636,-0.559013751161577,-34.7004466599278
1.031,-34.3392555850349,-0.559678704583871,-0.559678704583811,-34.4413561117618
1.032,-34.0924074072851,-0.56034695101507,-0.560346951015011,-34.1893667820765
1.033,-33.8519496962538,-0.561018475252012,-0.561018475251953,-33.9441431332524
1.034,-33.6176030120682,-0.561693261859921,-0.56169326185986,-33.7053700038987
1.035,-33.3891029924956,-0.562371295173099,-0.562371295173039,-33.4727513979881
1.036,-33.1661996904496,-0.563052559295577,-0.563052559295515,-33.2460092883666
1.037,-32.9486568702388,-0.563737038101789,-0.563737038101729,-33.0248824556985
1.038,-32.7362512876066,-0.564424715237263,-0.564424715237201,-32.8091253761845
1.039,-32.5287719713195,-0.565115574119333,-0.56511557411927,-32.5985071659326
1.04,-32.3260195186576,-0.565809597937868,-0.565809597937805,-32.3928105860048
1.041,-32.1278054131753,-0.566506769656027,-0.566506769655962,-32.1918311094966
1.042,-31.9339513701602,-0.567207072011019,-0.567207072010957,-31.9953760501687
1.043,-31.7442887130791,-0.567910487514908,-0.567910487514844,-31.8032637509394
1.044,-31.5586577827283,-0.568616998455407,-0.568616998455345,-31.6153228297566
1.045,-31.3769073796917,-0.56932658689671,-0.569326586896649,-31.4313914799021
1.046,-31.1988942399082,-0.570039234680353,-0.570039234680291,-31.2513168215307
1.047,-31.0244825425994,-0.570754923426063,-0.570754923425999,-31.0749543011512
1.048,-30.8535434494336,-0.571473634532652,-0.571473634532588,-30.9021671357668
1.049,-30.6859546735639,-0.572195349178931,-0.572195349178867,-30.7328257984787
1.05,-30.5216000770335,-0.572920048324631,-0.572920048324567,-30.5668075424816
1.051,-30.3603692949726,-0.573647712711339,-0.573647712711275,-30.4039959605412
1.052,-30.2021573849894,-0.57437832286348,-0.574378322863418,-30.2442805772147
1.053,-30.0468645001741,-0.575111859089291,-0.575111859089227,-30.0875564712562
1.054,-29.8943955841773,-0.575848301481828,-0.575848301481764,-29.9337239258261
1.055,-29.7446600868813,-0.576587629919985,-0.576587629919921,-29.7826881043032
1.056,-29.5975716992525,-0.57732982406955,-0.577329824069487,-29.6343587496621
1.057,-29.4530481060379,-0.578074863384252,-0.578074863384189,-29.4886499055423
1.058,-29.3110107550469,-0.578822727106852,-0.578822727106789,-29.3454796572836
1.059,-29.1713846418383,-0.579573394270238,-0.579573394270172,-29.2047698913441
1.06,-29.0340981087092,-0.580326843698554,-0.580326843698491,-29.066446071646
1.061,-28.8990826569588,-0.581083054008332,-0.581083054008269,-28.9304370315177
1.062,-28.7662727714715,-0.581842003609657,-0.581842003609591,-28.7966747800087
1.063,-28.6356057567312,-0.58260367070734,-0.582603670707278,-28.6650943214578
1.064,-28.5070215834455,-0.583368033302119,-0.583368033302055,-28.5356334872887
1.065,-28.380462745018,-0.584135069191875,-0.584135069191816,-28.408232779093
1.066,-28.2558741231624,-0.584904755972877,-0.584904755972817,-28.2828352221378
1.067,-28.1332028620089,-0.585677071041018,-0.585677071040957,-28.1593862285083
1.068,-28.0123982500973,-0.586451991593108,-0.586451991593049,-28.037833469162
1.069,-27.893411609701,-0.587229494628159,-0.5872294946281,-27.9181267542279
1.07,-27.776196192968,-0.588009556948704,-0.588009556948643,-27.8002179209425
1.071,-27.6607070843995,-0.588792155162112,-0.588792155162051,-27.6840607286623
1.072,-27.5469011092299,-0.589577265681966,-0.589577265681907,-27.5696107604373
1.073,-27.4347367472992,-0.590364864729417,-0.590364864729358,-27.4568253306735
1.074,-27.3241740520414,-0.591154928334565,-0.591154928334508,-27.3456633984494
1.075,-27.2151745742435,-0.591947432337885,-0.59194743233783,-27.2360854860864
