Freq(Hz),S21 Log Mag(dB),21 90,S11 Log Mag(dB),11 90,,,21 180,11 180,,21 Thru,11 Thru,,21 Thru2,11 Thru2
1000000000,-0.59544039,-172.56303,-10.48159,87.866035,,167.2196,-192.7804,70.559906,,-143.43983,101.28902,,-140.29945,110.05773
1001000000,-0.57380378,-172.58542,-10.468872,87.811935,,167.24826,-192.75174,70.589531,,-143.60597,101.71266,,-140.2511,110.3409
1002000000,-0.6208328,-173.20009,-10.47616,87.329178,,166.66948,-193.33052,70.33567,,-143.89502,100.71973,,-140.92519,109.417
1003000000,-0.61636627,-173.14644,-10.473429,87.504807,,166.62877,-193.37123,70.093361,,-143.93347,102.10464,,-140.74857,110.18892
1004000000,-0.594917,-173.14206,-10.456298,87.208084,,166.65381,-193.34619,69.962967,,-143.97,100.58483,,-140.81044,109.28912
1005000000,-0.59708202,-173.54794,-10.434606,87.113014,,166.30862,-193.69138,69.675385,,-144.2999,101.80724,,-141.07069,109.7869
1006000000,-0.60740924,-173.43713,-10.432443,87.079132,,166.3571,-193.6429,69.755661,,-144.34689,102.134,,-140.90926,110.04404
1007000000,-0.59023815,-173.47707,-10.427924,86.891602,,166.09291,-193.90709,69.365273,,-144.45367,102.03195,,-141.12015,109.77582
1008000000,-0.58251345,-173.84244,-10.393622,86.758896,,165.84366,-194.15634,69.26358,,-144.54788,101.80526,,-141.17334,109.72137
1009000000,-0.61195385,-174.08977,-10.411601,86.414169,,165.58191,-194.41809,68.992531,,-144.8231,102.21636,,-141.55908,109.51176
1010000000,-0.60849983,-174.26817,-10.389449,86.345596,,165.53664,-194.46336,68.959946,,-144.85417,102.18703,,-141.45905,109.78198
1011000000,-0.58921897,-174.43831,-10.387583,86.211494,,165.21262,-194.78738,68.59877,,-144.92143,101.93758,,-141.65088,109.36248
1012000000,-0.59073532,-174.64026,-10.384805,86.129776,,165.02399,-194.97601,68.444191,,-145.18454,102.73569,,-141.95753,109.45053
1013000000,-0.6119951,-174.5502,-10.378124,85.999794,,164.90059,-195.09941,68.291557,,-145.30179,102.68766,,-141.94643,109.54082
1014000000,-0.61474895,-174.86284,-10.373067,85.807549,,164.99193,-195.00807,68.458778,,-145.26892,102.36047,,-142.09605,109.1903
1015000000,-0.59851569,-174.81592,-10.364674,85.797501,,164.61176,-195.38824,68.071915,,-145.52493,102.96702,,-142.27046,109.44933
1016000000,-0.60168797,-175.15106,-10.343517,85.529816,,164.32927,-195.67073,67.766823,,-145.60123,103.86134,,-142.30682,109.79016
1017000000,-0.62442744,-175.44342,-10.342235,85.343994,,164.17532,-195.82468,67.729385,,-145.88525,102.90602,,-142.59641,109.31363
1018000000,-0.60335392,-175.58528,-10.293057,85.424484,,163.93898,-196.06102,67.540581,,-145.96626,103.70555,,-142.76242,109.44523
1019000000,-0.58741051,-175.65979,-10.284037,85.137459,,163.88577,-196.11423,67.425949,,-146.10687,102.93044,,-142.83302,108.98255
1020000000,-0.62839502,-175.74988,-10.352265,85.097534,,163.60753,-196.39247,67.08445,,-146.29869,102.6504,,-142.92044,108.84615
1021000000,-0.60973924,-176.08928,-10.308144,84.711266,,163.45486,-196.54514,67.144211,,-146.47502,102.78854,,-143.18202,108.70548
1022000000,-0.61690575,-176.22998,-10.291936,84.768135,,163.21672,-196.78328,66.862747,,-146.55229,103.45362,,-143.33951,108.87042
1023000000,-0.61031884,-176.4754,-10.27801,84.471329,,163.14175,-196.85825,66.790306,,-146.80638,102.97956,,-143.37868,108.69119
1024000000,-0.60529459,-176.44412,-10.286854,84.358116,,163.01982,-196.98018,66.539268,,-146.77724,102.58285,,-143.59073,108.27432
1025000000,-0.61566216,-176.77763,-10.277802,84.240242,,162.61166,-197.38834,66.452026,,-147.18697,102.59098,,-143.83284,108.00066
1026000000,-0.60284781,-176.81718,-10.238082,84.108955,,162.4171,-197.5829,66.052528,,-147.05472,102.98767,,-143.92508,108.02708
1027000000,-0.61593068,-177.15697,-10.265948,83.868759,,162.16298,-197.83702,65.843506,,-147.35326,103.46919,,-144.04854,108.26605
1028000000,-0.59959632,-177.0919,-10.235274,83.805756,,162.20543,-197.79457,65.795418,,-147.24554,103.82475,,-144.15388,108.28657
1029000000,-0.62400925,-177.30714,-10.248768,83.759148,,162.02258,-197.97742,65.814026,,-147.61586,103.29109,,-144.21318,108.24038
1030000000,-0.62586117,-177.71413,-10.220644,83.346649,,161.64857,-198.35143,65.370956,,-147.87805,102.97337,,-144.57176,107.85284
1031000000,-0.63353348,-177.64705,-10.254383,83.357216,,161.58459,-198.41541,65.286415,,-147.89787,103.01207,,-144.5968,107.65487
