Freq(Hz),S11 Log Mag(dB),S11 Phase(deg),S21 Log Mag(dB),S21 Phase(deg),S31 Log Mag(dB),S31 Phase(deg),S41 Log Mag(dB),S41 Phase(deg),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS,,S21-S31,S21-S31_HFSS
1000000000,-4.8015685,162.43324,-7.0394664,-47.158913,-5.6389937,-70.923004,-6.6587505,-56.740868,,-4.883215893,-7.420888848,-5.928622957,-7.08587852,,23.764091,23.91908797
1001000000,-4.7803583,162.26672,-7.0345783,-47.221416,-5.6614752,-70.930199,-6.6586747,-56.791683,,-4.882297642,-7.423156982,-5.927883712,-7.08758272,,23.708783,23.95316841
1002000000,-4.797225,162.44301,-7.0650668,-47.171177,-5.6732559,-70.835045,-6.6772957,-56.595993,,-4.881382691,-7.425424184,-5.927141216,-7.089286633,,23.663868,23.98728449
1003000000,-4.7905331,162.3987,-7.0542197,-47.057983,-5.6563005,-71.054657,-6.6877775,-56.600216,,-4.880471045,-7.427690446,-5.926395466,-7.090990259,,23.996674,24.02143629
1004000000,-4.7529159,162.33076,-7.0226908,-47.097599,-5.6390166,-71.082954,-6.6508431,-56.801449,,-4.879562713,-7.429955758,-5.925646458,-7.092693597,,23.985355,24.05562389
1005000000,-4.8148274,162.38741,-7.0941124,-47.293175,-5.6894259,-70.936028,-6.7049866,-56.844456,,-4.8786577,-7.432220114,-5.924894189,-7.094396648,,23.642853,24.08984737
1006000000,-4.7985091,162.08865,-7.061789,-47.365517,-5.6485128,-71.220581,-6.6969967,-57.017937,,-4.877756014,-7.434483503,-5.924138654,-7.09609941,,23.855064,24.12410679
1007000000,-4.7908854,162.32672,-7.0442119,-47.263214,-5.638515,-71.379089,-6.6861162,-57.129707,,-4.87685766,-7.436745919,-5.92337985,-7.097801884,,24.115875,24.15840225
1008000000,-4.7524877,162.18642,-7.0529675,-47.4342,-5.6395531,-71.287064,-6.6711535,-56.937084,,-4.875962646,-7.439007351,-5.922617773,-7.099504068,,23.852864,24.19273381
1009000000,-4.782855,162.33224,-7.0538778,-47.468647,-5.6543937,-71.316284,-6.6822133,-56.986015,,-4.875070979,-7.441267792,-5.921852421,-7.101205964,,23.847637,24.22710156
1010000000,-4.7686934,162.24057,-7.0642672,-47.52533,-5.6289697,-71.518326,-6.6613116,-57.140339,,-4.874182664,-7.443527233,-5.921083788,-7.10290757,,23.992996,24.26150558
1011000000,-4.801734,161.85139,-7.0897455,-47.419407,-5.6334295,-71.441399,-6.7137241,-57.234509,,-4.87329771,-7.445785665,-5.920311872,-7.104608886,,24.021992,24.29594594
1012000000,-4.8184319,162.04012,-7.0906281,-47.337097,-5.6272759,-71.384941,-6.7069068,-57.02721,,-4.872416122,-7.448043079,-5.919536669,-7.106309913,,24.047844,24.33042273
1013000000,-4.7722712,161.9317,-7.0511017,-47.631424,-5.6159348,-71.465797,-6.6780381,-57.393208,,-4.871537908,-7.450299468,-5.918758175,-7.108010649,,23.834373,24.36493602
1014000000,-4.7594361,161.95251,-7.0776067,-47.5354,-5.6451292,-71.603821,-6.6776233,-57.39333,,-4.870663074,-7.452554822,-5.917976386,-7.109711095,,24.068421,24.39948589
1015000000,-4.7842827,161.91479,-7.071907,-47.633579,-5.6263132,-71.803513,-6.6805363,-57.607121,,-4.869791627,-7.454809132,-5.9171913,-7.11141125,,24.169934,24.43407242
1016000000,-4.7529211,161.91754,-7.07903,-47.562248,-5.6255426,-71.938576,-6.6858006,-57.216705,,-4.868923574,-7.45706239,-5.916402913,-7.113111115,,24.376328,24.46869569
1017000000,-4.7398109,161.89647,-7.0626936,-47.839478,-5.6229601,-71.978058,-6.6931076,-57.476269,,-4.868058922,-7.459314587,-5.91561122,-7.114810689,,24.13858,24.50335579
1018000000,-4.7622566,161.78314,-7.0982895,-47.727798,-5.6261792,-72.155609,-6.7197747,-57.715229,,-4.867197678,-7.461565714,-5.914816219,-7.116509973,,24.427811,24.53805279
1019000000,-4.7949572,161.66051,-7.0863442,-47.7575,-5.6254787,-71.828705,-6.7078395,-57.718765,,-4.866339848,-7.463815762,-5.914017906,-7.118208965,,24.071205,24.57278677
1020000000,-4.7741551,161.70674,-7.1149182,-47.686474,-5.6494193,-72.047844,-6.7033668,-57.724838,,-4.865485439,-7.466064723,-5.913216277,-7.119907667,,24.36137,24.60755781
1021000000,-4.7924647,161.57945,-7.0785055,-48.014408,-5.5823817,-72.238693,-6.6684461,-57.879154,,-4.864634459,-7.468312587,-5.912411329,-7.121606077,,24.224285,24.642366
1022000000,-4.7571001,161.73273,-7.0632644,-47.735413,-5.6135769,-72.104256,-6.6892834,-57.703701,,-4.863786914,-7.470559346,-5.911603059,-7.123304197,,24.368843,24.67721141
1023000000,-4.7824807,161.67279,-7.0899191,-48.103733,-5.6214948,-72.399361,-6.7011647,-57.968395,,-4.862942812,-7.47280499,-5.910791462,-7.125002025,,24.295628,24.71209413
1024000000,-4.7666965,161.64539,-7.1230268,-48.01474,-5.6555624,-72.278214,-6.7230735,-58.108559,,-4.862102158,-7.475049511,-5.909976536,-7.126699563,,24.263474,24.74701423
1025000000,-4.7364326,161.46355,-7.1232591,-47.818779,-5.6333666,-72.486122,-6.7251129,-57.958595,,-4.861264961,-7.477292899,-5.909158276,-7.128396809,,24.667343,24.78197181
1026000000,-4.8029871,161.41678,-7.1364331,-48.01606,-5.6261716,-72.488762,-6.700182,-57.998314,,-4.860431227,-7.479535145,-5.90833668,-7.130093765,,24.472702,24.81696693
1027000000,-4.7286696,161.4268,-7.0752301,-48.07666,-5.581573,-72.56736,-6.6900005,-58.001617,,-4.859600963,-7.481776241,-5.907511745,-7.131790431,,24.4907,24.85199968
1028000000,-4.7726688,161.42738,-7.0952253,-48.117378,-5.6192226,-72.715004,-6.7248039,-58.272339,,-4.858774176,-7.484016178,-5.906683465,-7.133486805,,24.597626,24.88707015
1029000000,-4.7601976,161.67719,-7.115437,-48.188763,-5.6030331,-72.713943,-6.7087603,-58.206913,,-4.857950874,-7.486254945,-5.905851839,-7.135182889,,24.52518,24.92217842
1030000000,-4.7681403,161.49396,-7.0895495,-48.285702,-5.6247897,-72.825233,-6.7182236,-58.314838,,-4.857131062,-7.488492534,-5.905016863,-7.136878683,,24.539531,24.95732456
