Time(s),S11 Log Mag(dB)
-1.00E-08,-79.65052
-1.00E-08,-80.068222
-9.99E-09,-80.530884
-9.99E-09,-81.042084
-9.98E-09,-81.607147
-9.98E-09,-82.23082
-9.97E-09,-82.919632
-9.97E-09,-83.682228
-9.96E-09,-84.525482
-9.96E-09,-85.460014
-9.95E-09,-86.492668
-9.95E-09,-87.626244
-9.94E-09,-88.847534
-9.94E-09,-90.112648
-9.93E-09,-91.295464
-9.93E-09,-92.167953
-9.92E-09,-92.461388
-9.92E-09,-92.064323
-9.91E-09,-91.159531
-9.91E-09,-90.018265
-9.90E-09,-88.847244
-9.90E-09,-87.73555
-9.89E-09,-86.719505
-9.89E-09,-85.802788
-9.88E-09,-84.986488
-9.88E-09,-84.258141
-9.87E-09,-83.610786
-9.87E-09,-83.035431
-9.86E-09,-82.526184
-9.86E-09,-82.073807
-9.85E-09,-81.677582
-9.85E-09,-81.329552
-9.84E-09,-81.028389
-9.84E-09,-80.770378
-9.83E-09,-80.551872
-9.83E-09,-80.373932
-9.82E-09,-80.23188
-9.82E-09,-80.125122
-9.81E-09,-80.053406
-9.81E-09,-80.013924
-9.80E-09,-80.008041
-9.80E-09,-80.034912
-9.79E-09,-80.093765
-9.79E-09,-80.184158
-9.78E-09,-80.306488
-9.78E-09,-80.460793
-9.77E-09,-80.645546
-9.77E-09,-80.863365
-9.76E-09,-81.113922
-9.76E-09,-81.396027
-9.75E-09,-81.709488
-9.75E-09,-82.05452
-9.74E-09,-82.429047
-9.74E-09,-82.830917
-9.73E-09,-83.255157
-9.73E-09,-83.696838
-9.72E-09,-84.14724
-9.72E-09,-84.592278
-9.71E-09,-85.01606
-9.71E-09,-85.398796
-9.70E-09,-85.714081
-9.70E-09,-85.933929
-9.69E-09,-86.04364
-9.69E-09,-86.026825
-9.68E-09,-85.886765
-9.68E-09,-85.63224
-9.67E-09,-85.288498
-9.67E-09,-84.879807
-9.66E-09,-84.42897
-9.66E-09,-83.957726
-9.65E-09,-83.484093
-9.65E-09,-83.017502
-9.64E-09,-82.569862
-9.64E-09,-82.143486
-9.63E-09,-81.744881
-9.63E-09,-81.374504
-9.62E-09,-81.034744
-9.62E-09,-80.726204
-9.61E-09,-80.448387
-9.61E-09,-80.201424
-9.60E-09,-79.985512
-9.60E-09,-79.799477
-9.59E-09,-79.644424
-9.59E-09,-79.519119
-9.58E-09,-79.423218
-9.58E-09,-79.357307
-9.57E-09,-79.321388
-9.57E-09,-79.315407
-9.56E-09,-79.338905
-9.56E-09,-79.393608
-9.55E-09,-79.4795
-9.55E-09,-79.59697
-9.54E-09,-79.747368
-9.54E-09,-79.932022
-9.53E-09,-80.151207
-9.53E-09,-80.408264
-9.52E-09,-80.704536
-9.52E-09,-81.040901
-9.51E-09,-81.421463
-9.51E-09,-81.849335
-9.50E-09,-82.326973
-9.50E-09,-82.858192
-9.49E-09,-83.447922
-9.49E-09,-84.099556
-9.48E-09,-84.815964
-9.48E-09,-85.598434
-9.47E-09,-86.444489
-9.47E-09,-87.33992
-9.46E-09,-88.255516
-9.46E-09,-89.125656
-9.45E-09,-89.85173
-9.45E-09,-90.295624
-9.44E-09,-90.3451
-9.44E-09,-89.983185
-9.43E-09,-89.300743
-9.43E-09,-88.433594
-9.42E-09,-87.495842
-9.42E-09,-86.56205
-9.41E-09,-85.671249
-9.41E-09,-84.840553
-9.40E-09,-84.075073
-9.40E-09,-83.375702
-9.39E-09,-82.739014
-9.39E-09,-82.16172
-9.38E-09,-81.639412
-9.38E-09,-81.167953
-9.37E-09,-80.743896
-9.37E-09,-80.364525
-9.36E-09,-80.026634
-9.36E-09,-79.72776
-9.35E-09,-79.466469
-9.35E-09,-79.24086
-9.34E-09,-79.048698
-9.34E-09,-78.889435
-9.33E-09,-78.761688
-9.33E-09,-78.664948
-9.32E-09,-78.598442
-9.32E-09,-78.561462
-9.31E-09,-78.553635
-9.31E-09,-78.575249
-9.30E-09,-78.625671
-9.30E-09,-78.704819
-9.29E-09,-78.813194
-9.29E-09,-78.950401
-9.28E-09,-79.116989
-9.28E-09,-79.31292
-9.27E-09,-79.538147
-9.27E-09,-79.793068
-9.26E-09,-80.077133
-9.26E-09,-80.389832
-9.25E-09,-80.730125
-9.25E-09,-81.095543
-9.24E-09,-81.483185
-9.24E-09,-81.888283
-9.23E-09,-82.302498
-9.23E-09,-82.717102
-9.22E-09,-83.116783
-9.22E-09,-83.483986
-9.21E-09,-83.797119
-9.21E-09,-84.032799
-9.20E-09,-84.170761
-9.20E-09,-84.19474
-9.19E-09,-84.099617
-9.19E-09,-83.891045
-9.18E-09,-83.583176
-9.18E-09,-83.198662
-9.17E-09,-82.760124
-9.17E-09,-82.288513
-9.16E-09,-81.801811
-9.16E-09,-81.313461
-9.15E-09,-80.834145
-9.15E-09,-80.37117
-9.14E-09,-79.92881
-9.14E-09,-79.510529
-9.13E-09,-79.117691
-9.13E-09,-78.751595
-9.12E-09,-78.412659
-9.12E-09,-78.100975
-9.11E-09,-77.816063
-9.11E-09,-77.557724
-9.10E-09,-77.325264
-9.10E-09,-77.118584
-9.09E-09,-76.937027
-9.09E-09,-76.779793
-9.08E-09,-76.646919
-9.08E-09,-76.537788
-9.07E-09,-76.452202
-9.07E-09,-76.390022
-9.06E-09,-76.350845
-9.06E-09,-76.334641
-9.05E-09,-76.341118
-9.05E-09,-76.370605
-9.04E-09,-76.422966
-9.04E-09,-76.498505
-9.03E-09,-76.597214
-9.03E-09,-76.719513
-9.02E-09,-76.865715
-9.02E-09,-77.036552
-9.01E-09,-77.232254
-9.01E-09,-77.453453
-9.00E-09,-77.701149
-9.00E-09,-77.976112
-8.99E-09,-78.279213
-8.99E-09,-78.611916
-8.98E-09,-78.975174
-8.98E-09,-79.370682
-8.97E-09,-79.799767
-8.97E-09,-80.264847
-8.96E-09,-80.767227
-8.96E-09,-81.309929
-8.95E-09,-81.894424
-8.95E-09,-82.523773
-8.94E-09,-83.200356
-8.94E-09,-83.926521
-8.93E-09,-84.702911
-8.93E-09,-85.530449
-8.92E-09,-86.406288
-8.92E-09,-87.32225
-8.91E-09,-88.261482
-8.91E-09,-89.197098
-8.90E-09,-90.079636
-8.90E-09,-90.843903
-8.89E-09,-91.4132
-8.89E-09,-91.727592
-8.88E-09,-91.771935
-8.88E-09,-91.582588
-8.87E-09,-91.231415
-8.87E-09,-90.796883
-8.86E-09,-90.336349
-8.86E-09,-89.895416
-8.85E-09,-89.498131
-8.85E-09,-89.160706
-8.84E-09,-88.890518
-8.84E-09,-88.693527
-8.83E-09,-88.571251
-8.83E-09,-88.529648
-8.82E-09,-88.56974
-8.82E-09,-88.696678
-8.81E-09,-88.915131
-8.81E-09,-89.23423
-8.80E-09,-89.664421
-8.80E-09,-90.221611
-8.79E-09,-90.924294
-8.79E-09,-91.801613
-8.78E-09,-92.888359
-8.78E-09,-94.231499
-8.77E-09,-95.864441
-8.77E-09,-97.728203
-8.76E-09,-99.36544
-8.76E-09,-99.57444
-8.75E-09,-97.902756
-8.75E-09,-95.510048
-8.74E-09,-93.215729
-8.74E-09,-91.202293
-8.73E-09,-89.456749
-8.73E-09,-87.932289
-8.72E-09,-86.588562
-8.72E-09,-85.390877
-8.71E-09,-84.31469
-8.71E-09,-83.339447
-8.70E-09,-82.451447
-8.70E-09,-81.63829
-8.69E-09,-80.891624
-8.69E-09,-80.202614
-8.68E-09,-79.56601
-8.68E-09,-78.976494
-8.67E-09,-78.430382
-8.67E-09,-77.923325
-8.66E-09,-77.453041
-8.66E-09,-77.016754
-8.65E-09,-76.612221
-8.65E-09,-76.237236
-8.64E-09,-75.890549
-8.64E-09,-75.570671
-8.63E-09,-75.276375
-8.63E-09,-75.00634
-8.62E-09,-74.759583
-8.62E-09,-74.535667
-8.61E-09,-74.333298
-8.61E-09,-74.152298
-8.60E-09,-73.991707
-8.60E-09,-73.851326
-8.59E-09,-73.730377
-8.59E-09,-73.628609
-8.58E-09,-73.54583
-8.58E-09,-73.481606
-8.57E-09,-73.435646
-8.57E-09,-73.407845
-8.56E-09,-73.39817
-8.56E-09,-73.406273
-8.55E-09,-73.432083
-8.55E-09,-73.475647
-8.54E-09,-73.536629
-8.54E-09,-73.615288
-8.53E-09,-73.711555
-8.53E-09,-73.825546
-8.52E-09,-73.956993
-8.52E-09,-74.106255
-8.51E-09,-74.27314
-8.51E-09,-74.457573
-8.50E-09,-74.65979
-8.50E-09,-74.879997
-8.49E-09,-75.117493
-8.49E-09,-75.372528
-8.48E-09,-75.644859
-8.48E-09,-75.933937
-8.47E-09,-76.239914
-8.47E-09,-76.561798
-8.46E-09,-76.89872
-8.46E-09,-77.249413
-8.45E-09,-77.612938
-8.45E-09,-77.987404
-8.44E-09,-78.370216
-8.44E-09,-78.758934
-8.43E-09,-79.149925
-8.43E-09,-79.539627
-8.42E-09,-79.923279
-8.42E-09,-80.296234
-8.41E-09,-80.652664
-8.41E-09,-80.988632
-8.40E-09,-81.298653
-8.40E-09,-81.578354
-8.39E-09,-81.825981
-8.39E-09,-82.039642
-8.38E-09,-82.219124
-8.38E-09,-82.368828
-8.37E-09,-82.490372
-8.37E-09,-82.590309
-8.36E-09,-82.674217
-8.36E-09,-82.749489
-8.35E-09,-82.82251
-8.35E-09,-82.89946
-8.34E-09,-82.987709
-8.34E-09,-83.092926
-8.33E-09,-83.220627
-8.33E-09,-83.37719
-8.32E-09,-83.567879
-8.32E-09,-83.797554
-8.31E-09,-84.072815
-8.31E-09,-84.398247
-8.30E-09,-84.780792
-8.30E-09,-85.228065
-8.29E-09,-85.746414
-8.29E-09,-86.345566
-8.28E-09,-87.033104
-8.28E-09,-87.815483
-8.27E-09,-88.694885
-8.27E-09,-89.656761
-8.26E-09,-90.655121
-8.26E-09,-91.579308
-8.25E-09,-92.217438
-8.25E-09,-92.319267
-8.24E-09,-91.775208
-8.24E-09,-90.728676
-8.23E-09,-89.437012
-8.23E-09,-88.089592
-8.22E-09,-86.788979
-8.22E-09,-85.574066
-8.21E-09,-84.455772
-8.21E-09,-83.43042
-8.20E-09,-82.491615
-8.20E-09,-81.630966
-8.19E-09,-80.84066
-8.19E-09,-80.113503
-8.18E-09,-79.443329
-8.18E-09,-78.82531
-8.17E-09,-78.254204
-8.17E-09,-77.726631
-8.16E-09,-77.239029
-8.16E-09,-76.788528
-8.15E-09,-76.373131
-8.15E-09,-75.990204
-8.14E-09,-75.638
-8.14E-09,-75.315117
-8.13E-09,-75.020149
-8.13E-09,-74.751884
-8.12E-09,-74.5093
-8.12E-09,-74.291512
-8.11E-09,-74.097969
-8.11E-09,-73.927773
-8.10E-09,-73.780579
-8.10E-09,-73.655884
-8.09E-09,-73.553474
-8.09E-09,-73.472961
-8.08E-09,-73.41433
-8.08E-09,-73.37735
-8.07E-09,-73.362389
-8.07E-09,-73.369194
-8.06E-09,-73.398018
-8.06E-09,-73.449219
-8.05E-09,-73.523148
-8.05E-09,-73.620277
-8.04E-09,-73.741226
-8.04E-09,-73.886612
-8.03E-09,-74.057487
-8.03E-09,-74.254623
-8.02E-09,-74.479317
-8.02E-09,-74.733299
-8.01E-09,-75.017532
-8.01E-09,-75.334747
-8.00E-09,-75.686836
-8.00E-09,-76.076622
-7.99E-09,-76.507523
-7.99E-09,-76.983246
-7.98E-09,-77.508919
-7.98E-09,-78.090363
-7.97E-09,-78.734848
-7.97E-09,-79.45137
-7.96E-09,-80.252007
-7.96E-09,-81.151596
-7.95E-09,-82.169891
-7.95E-09,-83.333076
-7.94E-09,-84.677284
-7.94E-09,-86.248863
-7.93E-09,-88.102516
-7.93E-09,-90.270576
-7.92E-09,-92.589325
-7.92E-09,-94.173019
-7.91E-09,-93.628052
-7.91E-09,-91.548317
-7.90E-09,-89.295128
-7.90E-09,-87.319305
-7.89E-09,-85.650696
-7.89E-09,-84.236565
-7.88E-09,-83.024536
-7.88E-09,-81.973717
-7.87E-09,-81.053642
-7.87E-09,-80.240425
-7.86E-09,-79.516907
-7.86E-09,-78.869415
-7.85E-09,-78.28791
-7.85E-09,-77.763611
-7.84E-09,-77.289566
-7.84E-09,-76.860176
-7.83E-09,-76.471344
-7.83E-09,-76.118408
-7.82E-09,-75.798355
-7.82E-09,-75.508278
-7.81E-09,-75.245644
-7.81E-09,-75.00827
-7.80E-09,-74.793938
-7.80E-09,-74.600891
-7.79E-09,-74.427826
-7.79E-09,-74.272919
-7.78E-09,-74.134911
-7.78E-09,-74.012329
-7.77E-09,-73.90419
-7.77E-09,-73.809052
-7.76E-09,-73.726051
-7.76E-09,-73.653854
-7.75E-09,-73.591797
-7.75E-09,-73.538597
-7.74E-09,-73.493378
-7.74E-09,-73.455421
-7.73E-09,-73.423737
-7.73E-09,-73.397423
-7.72E-09,-73.375984
-7.72E-09,-73.358574
-7.71E-09,-73.344734
-7.71E-09,-73.333832
-7.70E-09,-73.325356
-7.70E-09,-73.31916
-7.69E-09,-73.314827
-7.69E-09,-73.312202
-7.68E-09,-73.311295
-7.68E-09,-73.311966
-7.67E-09,-73.314751
-7.67E-09,-73.319435
-7.66E-09,-73.326584
-7.66E-09,-73.336647
-7.65E-09,-73.34993
-7.65E-09,-73.367111
-7.64E-09,-73.388847
-7.64E-09,-73.415787
-7.63E-09,-73.448746
-7.63E-09,-73.488411
-7.62E-09,-73.535545
-7.62E-09,-73.591263
-7.61E-09,-73.656189
-7.61E-09,-73.731277
-7.60E-09,-73.817657
-7.60E-09,-73.916237
-7.59E-09,-74.027992
-7.59E-09,-74.153816
-7.58E-09,-74.295021
-7.58E-09,-74.452911
-7.57E-09,-74.628288
-7.57E-09,-74.822723
-7.56E-09,-75.037521
-7.56E-09,-75.27433
-7.55E-09,-75.534584
-7.55E-09,-75.820122
-7.54E-09,-76.132835
-7.54E-09,-76.475548
-7.53E-09,-76.849731
-7.53E-09,-77.259109
-7.52E-09,-77.706276
-7.52E-09,-78.195351
-7.51E-09,-78.730247
-7.51E-09,-79.315567
-7.50E-09,-79.957153
-7.50E-09,-80.66114
-7.49E-09,-81.433258
-7.49E-09,-82.28064
-7.48E-09,-83.208626
-7.48E-09,-84.217422
-7.47E-09,-85.296402
-7.47E-09,-86.412437
-7.46E-09,-87.484612
-7.46E-09,-88.365036
-7.45E-09,-88.846992
-7.45E-09,-88.783562
-7.44E-09,-88.202477
-7.44E-09,-87.290565
-7.43E-09,-86.24028
-7.43E-09,-85.179771
-7.42E-09,-84.171143
-7.42E-09,-83.239143
-7.41E-09,-82.391037
-7.41E-09,-81.624062
-7.40E-09,-80.93261
-7.40E-09,-80.310455
-7.39E-09,-79.752136
-7.39E-09,-79.251518
-7.38E-09,-78.804298
-7.38E-09,-78.405739
-7.37E-09,-78.052956
-7.37E-09,-77.742218
-7.36E-09,-77.471725
-7.36E-09,-77.238724
-7.35E-09,-77.041924
-7.35E-09,-76.879501
-7.34E-09,-76.750496
-7.34E-09,-76.653481
-7.33E-09,-76.588181
-7.33E-09,-76.553596
-7.32E-09,-76.549507
-7.32E-09,-76.575539
-7.31E-09,-76.631493
-7.31E-09,-76.71701
-7.30E-09,-76.832207
-7.30E-09,-76.977272
-7.29E-09,-77.151794
-7.29E-09,-77.355392
-7.28E-09,-77.588318
-7.28E-09,-77.849556
-7.27E-09,-78.138023
-7.27E-09,-78.451469
-7.26E-09,-78.787674
-7.26E-09,-79.141891
-7.25E-09,-79.507004
-7.25E-09,-79.874962
-7.24E-09,-80.232956
-7.24E-09,-80.56546
-7.23E-09,-80.853386
-7.23E-09,-81.075409
-7.22E-09,-81.2118
-7.22E-09,-81.24511
-7.21E-09,-81.167091
-7.21E-09,-80.978279
-7.20E-09,-80.688858
-7.20E-09,-80.317047
-7.19E-09,-79.883339
-7.19E-09,-79.408333
-7.18E-09,-78.910217
-7.18E-09,-78.403908
-7.17E-09,-77.900536
-7.17E-09,-77.408394
-7.16E-09,-76.932976
-7.16E-09,-76.478317
-7.15E-09,-76.0466
-7.15E-09,-75.639702
-7.14E-09,-75.257683
-7.14E-09,-74.90107
-7.13E-09,-74.569603
-7.13E-09,-74.263405
-7.12E-09,-73.981674
-7.12E-09,-73.724091
-7.11E-09,-73.490135
-7.11E-09,-73.279152
-7.10E-09,-73.091057
-7.10E-09,-72.924667
-7.09E-09,-72.780174
-7.09E-09,-72.656944
-7.08E-09,-72.554665
-7.08E-09,-72.472992
-7.07E-09,-72.411598
-7.07E-09,-72.370445
-7.06E-09,-72.349174
-7.06E-09,-72.347603
-7.05E-09,-72.365738
-7.05E-09,-72.403465
-7.04E-09,-72.460625
-7.04E-09,-72.537354
-7.03E-09,-72.633499
-7.03E-09,-72.749336
-7.02E-09,-72.884628
-7.02E-09,-73.039444
-7.01E-09,-73.213905
-7.01E-09,-73.408241
-7.00E-09,-73.62191
-7.00E-09,-73.85524
-6.99E-09,-74.108109
-6.99E-09,-74.380013
-6.98E-09,-74.670731
-6.98E-09,-74.979729
-6.97E-09,-75.305763
-6.97E-09,-75.64785
-6.96E-09,-76.004318
-6.96E-09,-76.372887
-6.95E-09,-76.750504
-6.95E-09,-77.133362
-6.94E-09,-77.516724
-6.94E-09,-77.894562
-6.93E-09,-78.260658
-6.93E-09,-78.606705
-6.92E-09,-78.924599
-6.92E-09,-79.206139
-6.91E-09,-79.443466
-6.91E-09,-79.630157
-6.90E-09,-79.762978
-6.90E-09,-79.840569
-6.89E-09,-79.865311
-6.89E-09,-79.842125
-6.88E-09,-79.77771
-6.88E-09,-79.680733
-6.87E-09,-79.559769
-6.87E-09,-79.423798
-6.86E-09,-79.279945
-6.86E-09,-79.135834
-6.85E-09,-78.996971
-6.85E-09,-78.868881
-6.84E-09,-78.75499
-6.84E-09,-78.658577
-6.83E-09,-78.582687
-6.83E-09,-78.5289
-6.82E-09,-78.499054
-6.82E-09,-78.494507
-6.81E-09,-78.516296
-6.81E-09,-78.564964
-6.80E-09,-78.641556
-6.80E-09,-78.74646
-6.79E-09,-78.879776
-6.79E-09,-79.042007
-6.78E-09,-79.232445
-6.78E-09,-79.450813
-6.77E-09,-79.695793
-6.77E-09,-79.965569
-6.76E-09,-80.257339
-6.76E-09,-80.566078
-6.75E-09,-80.886406
-6.75E-09,-81.208961
-6.74E-09,-81.522858
-6.74E-09,-81.812912
-6.73E-09,-82.062691
-6.73E-09,-82.252846
-6.72E-09,-82.365356
-6.72E-09,-82.385315
-6.71E-09,-82.304016
-6.71E-09,-82.123207
-6.70E-09,-81.849525
-6.70E-09,-81.498718
-6.69E-09,-81.08876
-6.69E-09,-80.638519
-6.68E-09,-80.165215
-6.68E-09,-79.682266
-6.67E-09,-79.201012
-6.67E-09,-78.729988
-6.66E-09,-78.275085
-6.66E-09,-77.840424
-6.65E-09,-77.42878
-6.65E-09,-77.04203
-6.64E-09,-76.68103
-6.64E-09,-76.346336
-6.63E-09,-76.038315
-6.63E-09,-75.756874
-6.62E-09,-75.502144
-6.62E-09,-75.273338
-6.61E-09,-75.070526
-6.61E-09,-74.893654
-6.60E-09,-74.742393
-6.60E-09,-74.616341
-6.59E-09,-74.515503
-6.59E-09,-74.440178
-6.58E-09,-74.390083
-6.58E-09,-74.36541
-6.57E-09,-74.366409
-6.57E-09,-74.393333
-6.56E-09,-74.446869
-6.56E-09,-74.527451
-6.55E-09,-74.635696
-6.55E-09,-74.772896
-6.54E-09,-74.93972
-6.54E-09,-75.137711
-6.53E-09,-75.368378
-6.53E-09,-75.633652
-6.52E-09,-75.93605
-6.52E-09,-76.277756
-6.51E-09,-76.662468
-6.51E-09,-77.093964
-6.50E-09,-77.577324
-6.50E-09,-78.118874
-6.49E-09,-78.725693
-6.49E-09,-79.408112
-6.48E-09,-80.178566
-6.48E-09,-81.054283
-6.47E-09,-82.058426
-6.47E-09,-83.224327
-6.46E-09,-84.602791
-6.46E-09,-86.273056
-6.45E-09,-88.373428
-6.45E-09,-91.183304
-6.44E-09,-95.394836
-6.44E-09,-103.90904
-6.43E-09,-107.18913
-6.43E-09,-96.5243
-6.42E-09,-91.890747
-6.42E-09,-88.910408
-6.41E-09,-86.723404
-6.41E-09,-85.00489
-6.40E-09,-83.599014
-6.40E-09,-82.416924
-6.39E-09,-81.404396
-6.39E-09,-80.525795
-6.38E-09,-79.755493
-6.38E-09,-79.075729
-6.37E-09,-78.472984
-6.37E-09,-77.936958
-6.36E-09,-77.45945
-6.36E-09,-77.033737
-6.35E-09,-76.654793
-6.35E-09,-76.318451
-6.34E-09,-76.020538
-6.34E-09,-75.758316
-6.33E-09,-75.529396
-6.33E-09,-75.331001
-6.32E-09,-75.16153
-6.32E-09,-75.018944
-6.31E-09,-74.901642
-6.31E-09,-74.808205
-6.30E-09,-74.737106
-6.30E-09,-74.686958
-6.29E-09,-74.656578
-6.29E-09,-74.644287
-6.28E-09,-74.648819
-6.28E-09,-74.668625
-6.27E-09,-74.702049
-6.27E-09,-74.747643
-6.26E-09,-74.803123
-6.26E-09,-74.866737
-6.25E-09,-74.936478
-6.25E-09,-75.009598
-6.24E-09,-75.083893
-6.24E-09,-75.156731
-6.23E-09,-75.225235
-6.23E-09,-75.287041
-6.22E-09,-75.339272
-6.22E-09,-75.379593
-6.21E-09,-75.406044
-6.21E-09,-75.416618
-6.20E-09,-75.410515
-6.20E-09,-75.386543
-6.19E-09,-75.345047
-6.19E-09,-75.286606
-6.18E-09,-75.212173
-6.18E-09,-75.123291
-6.17E-09,-75.022491
-6.17E-09,-74.911407
-6.16E-09,-74.793007
-6.16E-09,-74.669846
-6.15E-09,-74.544403
-6.15E-09,-74.41922
-6.14E-09,-74.29673
-6.14E-09,-74.179047
-6.13E-09,-74.068436
-6.13E-09,-73.966553
-6.12E-09,-73.875198
-6.12E-09,-73.795731
-6.11E-09,-73.729836
-6.11E-09,-73.678787
-6.10E-09,-73.643593
-6.10E-09,-73.625427
-6.09E-09,-73.625427
-6.09E-09,-73.644394
-6.08E-09,-73.683525
-6.08E-09,-73.743622
-6.07E-09,-73.825851
-6.07E-09,-73.93116
-6.06E-09,-74.060837
-6.06E-09,-74.215981
-6.05E-09,-74.397995
-6.05E-09,-74.608253
-6.04E-09,-74.848183
-6.04E-09,-75.119904
-6.03E-09,-75.425224
-6.03E-09,-75.766609
-6.02E-09,-76.146408
-6.02E-09,-76.567139
-6.01E-09,-77.032402
-6.01E-09,-77.545166
-6.00E-09,-78.108643
-6.00E-09,-78.727005
-5.99E-09,-79.402229
-5.99E-09,-80.13488
-5.98E-09,-80.922722
-5.98E-09,-81.755089
-5.97E-09,-82.609673
-5.97E-09,-83.439186
-5.96E-09,-84.167671
-5.96E-09,-84.688629
-5.95E-09,-84.894821
-5.95E-09,-84.731186
-5.94E-09,-84.234512
-5.94E-09,-83.506485
-5.93E-09,-82.656296
-5.93E-09,-81.768425
-5.92E-09,-80.894951
-5.92E-09,-80.0634
