Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1000000000,-1.0632459,-0.865000575
1001000000,-1.0628211,-0.865987402
1002000000,-1.062421,-0.866975858
1003000000,-1.0789341,-0.867965925
1004000000,-1.0784713,-0.868957586
1005000000,-1.0515057,-0.869950823
1006000000,-1.0444083,-0.87094562
1007000000,-1.0548121,-0.871941958
1008000000,-1.0542277,-0.872939821
1009000000,-1.0587041,-0.873939191
1010000000,-1.086044,-0.87494005
1011000000,-1.0552534,-0.875942381
1012000000,-1.0771253,-0.876946167
1013000000,-1.0663085,-0.87795139
1014000000,-1.040899,-0.878958033
1015000000,-1.0534612,-0.879966078
1016000000,-1.0904747,-0.880975507
1017000000,-1.07665,-0.881986304
1018000000,-1.0716025,-0.88299845
1019000000,-1.0922703,-0.884011929
1020000000,-1.085054,-0.885026722
1021000000,-1.0749222,-0.886042812
1022000000,-1.0885677,-0.887060182
1023000000,-1.0907733,-0.888078814
1024000000,-1.1005883,-0.889098691
1025000000,-1.0946635,-0.890119794
1026000000,-1.0619063,-0.891142107
1027000000,-1.1069081,-0.892165611
1028000000,-1.1025909,-0.89319029
1029000000,-1.1105968,-0.894216126
1030000000,-1.1053853,-0.8952431
1031000000,-1.1069963,-0.896271197
1032000000,-1.1301643,-0.897300397
1033000000,-1.088859,-0.898330684
1034000000,-1.0754735,-0.89936204
1035000000,-1.0941944,-0.900394447
1036000000,-1.0799893,-0.901427888
1037000000,-1.1067764,-0.902462345
1038000000,-1.117983,-0.903497801
1039000000,-1.1054829,-0.904534239
1040000000,-1.1018934,-0.90557164
1041000000,-1.1141539,-0.906609987
1042000000,-1.1169392,-0.907649262
1043000000,-1.1046927,-0.908689449
1044000000,-1.1318064,-0.909730529
1045000000,-1.1305323,-0.910772486
1046000000,-1.158093,-0.911815301
1047000000,-1.1339713,-0.912858957
1048000000,-1.1595237,-0.913903437
1049000000,-1.1453083,-0.914948722
1050000000,-1.1460662,-0.915994797
1051000000,-1.1244982,-0.917041643
1052000000,-1.1465508,-0.918089242
1053000000,-1.1344231,-0.919137579
1054000000,-1.118512,-0.920186634
1055000000,-1.1583521,-0.92123639
1056000000,-1.1619835,-0.922286831
1057000000,-1.1339408,-0.923337939
1058000000,-1.1713488,-0.924389696
1059000000,-1.1250867,-0.925442085
1060000000,-1.1541901,-0.926495089
1061000000,-1.1575994,-0.927548691
1062000000,-1.1483865,-0.928602872
1063000000,-1.1550007,-0.929657617
1064000000,-1.14408,-0.930712908
1065000000,-1.1445907,-0.931768726
1066000000,-1.1310891,-0.932825056
1067000000,-1.1649702,-0.933881881
1068000000,-1.1629376,-0.934939182
1069000000,-1.1703576,-0.935996942
1070000000,-1.1589712,-0.937055145
1071000000,-1.167028,-0.938113774
1072000000,-1.1515571,-0.939172811
1073000000,-1.1660967,-0.940232239
1074000000,-1.1575599,-0.941292042
1075000000,-1.1702216,-0.942352201
1076000000,-1.1793922,-0.943412701
1077000000,-1.1518308,-0.944473524
1078000000,-1.1636304,-0.945534653
1079000000,-1.1728573,-0.946596072
1080000000,-1.1787438,-0.947657763
1081000000,-1.1895653,-0.94871971
1082000000,-1.2009914,-0.949781895
1083000000,-1.183699,-0.950844302
1084000000,-1.2078336,-0.951906914
1085000000,-1.1851572,-0.952969715
1086000000,-1.2178619,-0.954032687
1087000000,-1.2004184,-0.955095814
1088000000,-1.1683863,-0.956159079
1089000000,-1.1833755,-0.957222466
1090000000,-1.1733755,-0.958285958
1091000000,-1.1987245,-0.959349538
1092000000,-1.204322,-0.96041319
1093000000,-1.2217282,-0.961476897
