Freq(Hz),S21 Phase_measured(deg),S21 Phase_HFSS(deg)
1000000000,-1.0466095,-0.003700005
1001000000,-1.1203889,-0.004681337
1002000000,-1.0751463,-0.005661155
1003000000,-1.0280029,-0.006639461
1004000000,-1.2026088,-0.007616256
1005000000,-1.0324788,-0.008591541
1006000000,-1.0893017,-0.009565317
1007000000,-1.0130893,-0.010537585
1008000000,-1.0426773,-0.011508346
1009000000,-1.1054015,-0.012477602
1010000000,-1.2331917,-0.013445354
1011000000,-1.0781436,-0.014411603
1012000000,-1.1160668,-0.015376349
1013000000,-0.94568348,-0.016339595
1014000000,-0.95966655,-0.017301341
1015000000,-1.1749361,-0.018261589
1016000000,-0.89549041,-0.019220339
1017000000,-1.0367901,-0.020177593
1018000000,-1.0908037,-0.021133353
1019000000,-0.89263362,-0.022087619
1020000000,-1.0716237,-0.023040392
1021000000,-1.1177448,-0.023991674
1022000000,-1.2679265,-0.024941466
1023000000,-1.018997,-0.025889769
1024000000,-1.091535,-0.026836584
1025000000,-1.063604,-0.027781913
1026000000,-0.93648511,-0.028725756
1027000000,-1.1675966,-0.029668116
1028000000,-1.2562506,-0.030608993
1029000000,-1.1249985,-0.031548388
1030000000,-1.1063769,-0.032486303
1031000000,-1.1930557,-0.033422739
1032000000,-1.1060852,-0.034357697
1033000000,-1.0651867,-0.035291179
1034000000,-1.0924323,-0.036223185
1035000000,-0.9852978,-0.037153717
1036000000,-1.0906591,-0.038082776
1037000000,-1.1388969,-0.039010364
1038000000,-0.86436117,-0.039936482
1039000000,-1.0324436,-0.040861131
1040000000,-1.1051047,-0.041784311
1041000000,-0.93907589,-0.042706026
1042000000,-1.0734477,-0.043626275
1043000000,-1.2111028,-0.044545061
1044000000,-1.015277,-0.045462383
1045000000,-1.0310956,-0.046378245
1046000000,-0.9501425,-0.047292646
1047000000,-0.96310705,-0.048205589
1048000000,-1.2081287,-0.049117075
1049000000,-1.0223821,-0.050027104
1050000000,-1.0296708,-0.050935678
1051000000,-1.1276445,-0.051842799
1052000000,-1.0486428,-0.052748468
1053000000,-0.9370262,-0.053652686
1054000000,-1.1456369,-0.054555455
1055000000,-0.84069932,-0.055456775
1056000000,-1.1868272,-0.056356648
1057000000,-1.1003995,-0.057255076
1058000000,-1.2010443,-0.058152059
1059000000,-0.92468446,-0.0590476
1060000000,-0.84059733,-0.059941699
1061000000,-0.88096708,-0.060834357
1062000000,-0.86178547,-0.061725577
1063000000,-0.92266858,-0.062615359
1064000000,-1.250824,-0.063503705
1065000000,-1.1299291,-0.064390617
1066000000,-1.1246532,-0.065276094
1067000000,-0.87919086,-0.06616014
1068000000,-1.0803902,-0.067042755
1069000000,-1.0827769,-0.06792394
1070000000,-0.91513896,-0.068803697
1071000000,-1.0042876,-0.069682028
1072000000,-1.0709114,-0.070558933
1073000000,-1.0722151,-0.071434414
1074000000,-0.78532803,-0.072308473
1075000000,-0.97462565,-0.07318111
1076000000,-1.0387803,-0.074052328
1077000000,-0.91490054,-0.074922127
1078000000,-1.0129908,-0.075790509
1079000000,-1.0421331,-0.076657475
1080000000,-0.96352905,-0.077523027
1081000000,-0.72338241,-0.078387166
1082000000,-1.014689,-0.079249894
1083000000,-0.92634124,-0.080111212
1084000000,-1.0036035,-0.08097112
1085000000,-1.0923333,-0.081829622
1086000000,-0.96999443,-0.082686717
1087000000,-0.99148744,-0.083542408
1088000000,-0.9759984,-0.084396696
1089000000,-0.97875607,-0.085249582
1090000000,-0.95152539,-0.086101067
1091000000,-1.0664996,-0.086951154
1092000000,-1.0325278,-0.087799844
1093000000,-0.85887957,-0.088647137
1094000000,-1.0723375,-0.089493035
1095000000,-0.77911347,-0.090337541
1096000000,-0.99527413,-0.091180654
1097000000,-1.0109444,-0.092022377
1098000000,-0.93573868,-0.092862711
1099000000,-1.1826799,-0.093701658
1100000000,-1.0047516,-0.094539218
1101000000,-0.96223545,-0.095375394
1102000000,-1.1220844,-0.096210187
1103000000,-0.88380939,-0.097043597
1104000000,-0.97115475,-0.097875628
1105000000,-0.94983953,-0.098706279
1106000000,-0.95466816,-0.099535553
1107000000,-1.1070039,-0.100363451
1108000000,-1.0584328,-0.101189974
1109000000,-1.0775591,-0.102015124
1110000000,-1.1105188,-0.102838902
1111000000,-1.0696284,-0.10366131
1112000000,-0.85511321,-0.104482349
1113000000,-0.95697641,-0.105302021
1114000000,-0.80997074,-0.106120327
1115000000,-1.1311065,-0.106937268
1116000000,-0.97208494,-0.107752846
1117000000,-1.0393488,-0.108567063
1118000000,-0.91418499,-0.10937992
1119000000,-0.95185113,-0.110191418
1120000000,-1.0534819,-0.111001558
1121000000,-1.034296,-0.111810344
1122000000,-1.0512551,-0.112617774
1123000000,-0.84093052,-0.113423852
1124000000,-0.97954595,-0.114228579
1125000000,-1.0784127,-0.115031956
1126000000,-1.135464,-0.115833984
1127000000,-0.93677902,-0.116634666
1128000000,-0.97053307,-0.117434002
1129000000,-1.0859334,-0.118231994
1130000000,-1.1167333,-0.119028644
1131000000,-1.0618432,-0.119823953
1132000000,-1.0558382,-0.120617922
1133000000,-1.0084215,-0.121410553
1134000000,-1.0530305,-0.122201848
1135000000,-1.0387447,-0.122991807
1136000000,-1.1662179,-0.123780433
1137000000,-1.0063088,-0.124567727
1138000000,-1.1442784,-0.12535369
1139000000,-1.0650778,-0.126138324
1140000000,-1.1398815,-0.12692163
1141000000,-0.86216891,-0.12770361
1142000000,-0.95821506,-0.128484266
1143000000,-0.89477718,-0.129263598
1144000000,-1.0113207,-0.130041609
1145000000,-1.1436744,-0.130818299
1146000000,-1.030965,-0.131593671
1147000000,-0.94326597,-0.132367726
1148000000,-1.1155117,-0.133140465
1149000000,-1.0353452,-0.133911889
1150000000,-0.92776531,-0.134682001
1151000000,-0.99634027,-0.135450802
1152000000,-1.112324,-0.136218293
1153000000,-1.1325386,-0.136984476
1154000000,-0.95749229,-0.137749352
1155000000,-0.98196018,-0.138512923
1156000000,-1.0002427,-0.13927519
1157000000,-1.1784095,-0.140036155
1158000000,-0.9691456,-0.140795819
1159000000,-1.1280606,-0.141554185
1160000000,-0.99370569,-0.142311252
1161000000,-1.0454421,-0.143067023
1162000000,-1.0558844,-0.1438215
1163000000,-1.0257349,-0.144574684
1164000000,-1.0768161,-0.145326576
1165000000,-1.1912775,-0.146077178
1166000000,-1.0436302,-0.146826491
1167000000,-1.0096794,-0.147574517
1168000000,-0.96418476,-0.148321258
1169000000,-1.015802,-0.149066715
1170000000,-0.9636718,-0.149810889
1171000000,-0.97367388,-0.150553782
1172000000,-0.94046938,-0.151295395
1173000000,-1.0117036,-0.152035731
1174000000,-1.1151043,-0.15277479
1175000000,-1.1788949,-0.153512574
1176000000,-1.0573192,-0.154249085
1177000000,-1.1021662,-0.154984324
1178000000,-1.0775987,-0.155718293
1179000000,-1.0147599,-0.156450992
1180000000,-0.91412199,-0.157182425
1181000000,-0.94583863,-0.157912591
1182000000,-1.1490767,-0.158641494
1183000000,-0.83663362,-0.159369133
1184000000,-1.0713546,-0.160095511
1185000000,-0.87393224,-0.16082063
1186000000,-1.0367271,-0.161544491
1187000000,-1.0816317,-0.162267094
1188000000,-0.92654866,-0.162988443
1189000000,-0.84334219,-0.163708538
1190000000,-0.92707366,-0.164427381
1191000000,-0.89920223,-0.165144974
1192000000,-0.85169411,-0.165861317
1193000000,-1.0013853,-0.166576413
1194000000,-1.0944808,-0.167290264
1195000000,-0.86625195,-0.168002869
1196000000,-0.88324749,-0.168714232
1197000000,-0.86202157,-0.169424354
1198000000,-1.1069103,-0.170133235
1199000000,-0.93427151,-0.170840879
1200000000,-0.97807509,-0.171547285
1201000000,-1.0617598,-0.172252457
1202000000,-0.94702023,-0.172956395
1203000000,-1.2553504,-0.1736591
1204000000,-0.9080773,-0.174360575
1205000000,-1.0523016,-0.175060821
1206000000,-0.79856998,-0.17575984
1207000000,-0.87185603,-0.176457632
1208000000,-1.1502762,-0.1771542
1209000000,-1.1302154,-0.177849545
1210000000,-0.82747447,-0.178543669
1211000000,-1.0446694,-0.179236573
1212000000,-0.97463781,-0.179928258
1213000000,-0.87457389,-0.180618727
1214000000,-0.94573873,-0.181307981
1215000000,-1.0184985,-0.18199602
1216000000,-0.93569791,-0.182682848
1217000000,-0.98123479,-0.183368465
1218000000,-0.95805985,-0.184052873
1219000000,-0.98133659,-0.184736073
1220000000,-1.0781826,-0.185418068
1221000000,-1.0073204,-0.186098858
1222000000,-1.1519731,-0.186778445
1223000000,-0.98676467,-0.18745683
1224000000,-0.84051788,-0.188134016
1225000000,-0.8152588,-0.188810003
1226000000,-0.95426613,-0.189484794
