Freq(Hz),S11 Phase_copper strip,S11 Phase_HFSS,S11 Phase_milled,S11 Phase_z0lver
1000000000,112.36797,12.29963001,-134.16127,-72.33879214
1001000000,111.72662,12.02518511,-134.51608,-72.67222194
1002000000,111.42084,11.75042717,-135.5383,-72.99691395
1003000000,111.66101,11.47535534,-134.65883,-73.31405329
1004000000,111.38212,11.19996872,-135.15677,-73.62371768
1005000000,111.24065,10.92426637,-135.55338,-73.92707765
1006000000,111.4415,10.64824735,-135.56915,-74.22413806
1007000000,110.98665,10.37191067,-135.71078,-74.51523404
1008000000,110.73733,10.09525532,-136.19127,-74.80131758
1009000000,110.80242,9.818280259,-136.21426,-75.08275294
1010000000,111.06757,9.540984421,-136.37645,-75.35901557
1011000000,110.69591,9.263366705,-136.78482,-75.63159173
1012000000,110.3027,8.985425978,-137.16454,-75.89982085
1013000000,110.17066,8.707161076,-137.85612,-76.16464033
1014000000,110.51575,8.428570804,-137.13358,-76.42642418
1015000000,109.9301,8.149653931,-137.5419,-76.68444384
1016000000,110.2142,7.870409194,-137.69894,-76.93946671
1017000000,109.95822,7.590835293,-137.6936,-77.19183279
1018000000,109.91713,7.310930895,-138.10049,-77.44163921
1019000000,109.85663,7.030694628,-138.01657,-77.68866743
1020000000,110.00752,6.750125085,-138.2829,-77.93362654
1021000000,109.46302,6.469220819,-138.94925,-78.17611344
1022000000,109.34879,6.187980346,-139.31929,-78.41647296
1023000000,109.10181,5.906402141,-139.23714,-78.65492366
1024000000,109.05223,5.62448464,-139.54045,-78.89131985
1025000000,109.01896,5.342226237,-139.6665,-79.1262395
1026000000,108.99498,5.059625283,-139.9976,-79.35906092
1027000000,108.9656,4.776680086,-139.85165,-79.59079922
1028000000,108.7867,4.493388912,-140.30788,-79.82045386
1029000000,108.71521,4.209749981,-140.17195,-80.04900595
1030000000,108.5767,3.925761465,-140.3645,-80.27607179
1031000000,108.53391,3.641421493,-141.05713,-80.50186024
1032000000,108.3886,3.356728143,-140.89415,-80.72623044
1033000000,108.33882,3.071679446,-140.97969,-80.94957095
1034000000,108.24458,2.786273383,-141.37845,-81.17175548
1035000000,107.99679,2.500507884,-142.14154,-81.3928569
1036000000,108.01321,2.214380827,-141.79419,-81.6129432
1037000000,108.03925,1.927890037,-142.00508,-81.83185896
1038000000,107.63693,1.641033285,-142.60641,-82.04991017
1039000000,107.56651,1.353808287,-142.42563,-82.26705797
1040000000,107.24685,1.066212703,-142.94479,-82.48312752
1041000000,107.55676,0.778244135,-142.98416,-82.69870164
1042000000,107.32191,0.489900128,-142.61066,-82.91322665
1043000000,107.11514,0.201178164,-143.50392,-83.12696483
1044000000,107.3326,-0.087924333,-143.44356,-83.34019787
1045000000,107.07458,-0.377410002,-144.03398,-83.55249836
1046000000,106.9446,-0.667281547,-144.07672,-83.76404116
1047000000,106.85297,-0.957541734,-144.59222,-83.97513711
1048000000,106.6043,-1.248193398,-145.00763,-84.18541708
1049000000,106.91346,-1.53923944,-144.73927,-84.39520164
1050000000,106.5843,-1.830682829,-144.82082,-84.60450049
1051000000,106.39746,-2.122526606,-145.11165,-84.81300279
1052000000,106.41935,-2.414773882,-145.37801,-85.02104853
1053000000,106.40131,-2.707427843,-145.3262,-85.22856
1054000000,106.41779,-3.000491748,-145.45686,-85.43550805
1055000000,106.35196,-3.293968932,-145.89766,-85.64207726
1056000000,105.82365,-3.587862808,-146.39853,-85.84808305
1057000000,105.79867,-3.882176868,-146.44469,-86.05361285
1058000000,105.791,-4.176914684,-146.41588,-86.25869581
1059000000,105.70044,-4.472079913,-146.88911,-86.4635262
1060000000,105.98528,-4.767676292,-147.28024,-86.66770575
1061000000,105.52853,-5.063707646,-147.45181,-86.87158416
1062000000,105.28606,-5.360177887,-147.87022,-87.07509344
1063000000,105.15712,-5.657091016,-148.13829,-87.27814617
1064000000,105.43871,-5.954451124,-148.50476,-87.48094632
1065000000,105.04408,-6.252262397,-148.63753,-87.68328992
1066000000,105.03265,-6.550529112,-148.56769,-87.88521581
1067000000,105.02264,-6.849255645,-148.3828,-88.08698627
1068000000,104.87906,-7.148446469,-149.43079,-88.28843618
1069000000,104.79314,-7.448106158,-149.34001,-88.48951695
1070000000,104.69522,-7.748239387,-149.56764,-88.69034515
1071000000,104.52048,-8.048850937,-149.78436,-88.89073622
1072000000,104.67369,-8.349945693,-149.80948,-89.09103015
1073000000,104.74137,-8.651528651,-150.26135,-89.29082867
1074000000,104.29308,-8.953604914,-150.34155,-89.49042319
1075000000,104.47758,-9.256179702,-150.60776,-89.68995942
1076000000,104.24512,-9.559258346,-150.68083,-89.88907796
1077000000,104.17526,-9.862846295,-151.31194,-90.08775936
1078000000,104.01794,-10.16694912,-151.15535,-90.28649904
1079000000,104.11024,-10.47157251,-151.54036,-90.48478216
1080000000,103.95434,-10.77672228,-151.42134,-90.68292929
1081000000,103.61295,-11.08240437,-152.3008,-90.88082385
1082000000,103.76556,-11.38862486,-152.36964,-91.07859213
1083000000,103.65929,-11.69538994,-152.56496,-91.27606899
1084000000,103.80194,-12.00270595,-152.60376,-91.47340014
1085000000,103.64226,-12.31057936,-153.10953,-91.67047872
1086000000,103.48015,-12.61901679,-153.09818,-91.86741159
1087000000,103.69208,-12.92802498,-153.14854,-92.06416961
1088000000,103.37029,-13.23761085,-153.73163,-92.26067506
1089000000,103.23019,-13.54778143,-153.61433,-92.45699595
1090000000,103.41588,-13.85854393,-153.60484,-92.65320026
1091000000,103.13069,-14.16990568,-154.34457,-92.84915202
1092000000,103.24094,-14.48187421,-154.46672,-93.04499691
1093000000,102.90814,-14.79445717,-154.86089,-93.24070582
1094000000,102.94048,-15.1076624,-154.49385,-93.43620101
1095000000,102.62841,-15.42149788,-155.1978,-93.63156992
1096000000,102.65866,-15.73597178,-154.98415,-93.82686111
1097000000,102.78041,-16.05109244,-155.62126,-94.02183175
1098000000,102.85384,-16.36686837,-155.37793,-94.21671496
1099000000,102.72499,-16.68330824,-156.2296,-94.41148159
1100000000,102.61535,-17.00042094,-156.3351,-94.60609281
1101000000,102.61649,-17.31821551,-156.52835,-94.80057774
1102000000,102.8063,-17.6367012,-156.40027,-94.99496553
1103000000,102.50387,-17.95588745,-156.75363,-95.18925618
1104000000,102.00403,-18.27578388,-157.26945,-95.38334284
1105000000,102.27941,-18.59640033,-157.63026,-95.57733235
1106000000,102.09173,-18.91774683,-157.73431,-95.77119558
1107000000,102.17358,-19.23983363,-157.57462,-95.96491311
1108000000,102.02664,-19.56267117,-158.87128,-96.1586112
1109000000,101.96243,-19.88627011,-158.19414,-96.35209558
1110000000,101.9935,-20.21064136,-158.95366,-96.54551197
1111000000,101.86036,-20.535796,-158.7489,-96.7388215
