"Freq [GHz]","ang_deg(S(1,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(1,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,1)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'","ang_deg(S(2,2)) [deg] - L1='12.75mm' L2='12.75mm' L3='12.75mm' L4='12.75mm' L5='12.75mm' UE_L1='8.9635mm' UE_L2='8.66mm' UE_L3='8.66mm' UE_L4='8.9635mm' w3='8.37mm'"
1,50.8278435777717,-39.168133273851,-39.1681332738327,50.5406188733428
1.001,50.6168688694304,-39.3869418276607,-39.3869418276382,50.339600268609
1.002,50.4057849420022,-39.6057872703755,-39.6057872703487,50.1384913935787
1.003,50.1945916147154,-39.8246697100852,-39.8246697100542,49.9372922271561
1.004,49.9832887079066,-40.0435892547094,-40.0435892546743,49.7360027499558
1.005,49.7718760430215,-40.2625460119964,-40.2625460119571,49.5346229443099
1.006,49.5603534426174,-40.4815400895231,-40.4815400894797,49.3331527942752
1.007,49.348720730364,-40.7005715946945,-40.7005715946471,49.1315922856407
1.008,49.1369777310459,-40.9196406347437,-40.9196406346922,48.9299414059343
1.009,48.9251242705634,-41.1387473167309,-41.1387473166753,48.7282001444306
1.01,48.7131601759345,-41.3578917475437,-41.3578917474841,48.5263684921575
1.011,48.5010852752965,-41.5770740338963,-41.5770740338326,48.3244464419036
1.012,48.2888993979073,-41.7962942823294,-41.7962942822618,48.1224339882257
1.013,48.0766023741471,-42.0155525992098,-42.0155525991382,47.9203311274552
1.014,47.8641940355199,-42.2348490907299,-42.2348490906544,47.7181378577059
1.015,47.6516742146551,-42.4541838629074,-42.454183862828,47.515854178881
1.016,47.4390427453086,-42.6735570215854,-42.6735570215021,47.3134800926797
1.017,47.2262994623646,-42.8929686724311,-42.8929686723439,47.1110156026049
1.018,47.013444201837,-43.1124189209365,-43.1124189208455,46.90846071397
1.019,46.8004768008706,-43.3319078724175,-43.3319078723226,46.7058154339059
1.02,46.5873970977426,-43.5514356320134,-43.5514356319148,46.5030797713681
1.021,46.3742049318642,-43.7710023046871,-43.7710023045847,46.300253737144
1.022,46.1609001437815,-43.9906079952243,-43.9906079951182,46.0973373438594
1.023,45.9474825751772,-44.2102528082336,-44.2102528081237,45.8943306059857
1.024,45.7339520688716,-44.4299368481456,-44.4299368480321,45.691233539847
