"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(1,2)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]"
1,-120.140491289467,-26.5905224656522,-26.5905224656128,-111.645195126222
1.001,-120.337820484467,-26.7996966516165,-26.799696651565,-111.809015608243
1.002,-120.535289597637,-27.0088830464618,-27.0088830463983,-111.972949100692
1.003,-120.73289883884,-27.2180816759264,-27.218081675851,-112.136995270376
1.004,-120.930648420135,-27.4272925657564,-27.4272925656691,-112.301153780606
1.005,-121.128538555796,-27.6365157417051,-27.6365157416061,-112.465424291173
1.006,-121.326569462326,-27.8457512295335,-27.8457512294227,-112.629806458334
1.007,-121.524741358476,-28.05499905501,-28.0549990548876,-112.794299934786
1.008,-121.723054465258,-28.2642592439106,-28.2642592437766,-112.958904369649
1.009,-121.921509005967,-28.4735318220187,-28.4735318218732,-113.123619408444
1.01,-122.120105206192,-28.6828168151255,-28.6828168149685,-113.288444693075
1.011,-122.31884329384,-28.8921142490295,-28.8921142488612,-113.453379861804
1.012,-122.517723499146,-29.1014241495371,-29.1014241493575,-113.618424549236
1.013,-122.716746054696,-29.3107465424621,-29.3107465422713,-113.783578386293
1.014,-122.915911195443,-29.5200814536261,-29.5200814534242,-113.948841000196
1.015,-123.115219158724,-29.7294289088582,-29.7294289086452,-114.114212014442
1.016,-123.31467018428,-29.9387889339953,-29.9387889337713,-114.279691048784
1.017,-123.514264514271,-30.1481615548819,-30.148161554647,-114.445277719211
1.018,-123.714002393299,-30.3575467973704,-30.3575467971246,-114.610971637922
1.019,-123.913884068422,-30.5669446873208,-30.5669446870643,-114.77677241331
1.02,-124.113909789177,-30.776355250601,-30.7763552503337,-114.942679649936
1.021,-124.314079807596,-30.9857785130864,-30.9857785128086,-115.108692948509
1.022,-124.514394378224,-31.1952145006607,-31.1952145003723,-115.274811905864
1.023,-124.714853758144,-31.404663239215,-31.4046632389161,-115.44103611494
1.024,-124.915458206991,-31.6141247546486,-31.6141247543393,-115.607365164755
1.025,-125.116207986976,-31.8235990728685,-31.8235990725488,-115.773798640389
1.026,-125.3171033629,-32.0330862197897,-32.0330862194597,-115.940336122956
1.027,-125.518144602181,-32.242586221335,-32.2425862209949,-116.106977189586
