!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 13:42:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.1960391,-148.74672,-22.312447,142.29834
1001000000,-0.21987937,-148.87668,-22.222406,142.31932
1002000000,-0.19878143,-149.29024,-22.241558,141.90321
1003000000,-0.22071074,-149.19934,-22.205446,142.34488
1004000000,-0.21373592,-149.5334,-22.23859,141.60146
1005000000,-0.21559757,-149.52351,-22.199316,141.93398
1006000000,-0.19790584,-149.58073,-22.137346,141.47906
1007000000,-0.2222999,-149.97658,-22.204172,141.03961
1008000000,-0.21517114,-150.15588,-22.156977,141.64337
1009000000,-0.22965637,-150.10849,-22.19278,141.42255
1010000000,-0.19212778,-150.40024,-22.173752,141.19667
1011000000,-0.2141729,-150.50375,-22.153471,141.48607
1012000000,-0.22010688,-150.58405,-22.179831,141.19556
1013000000,-0.21196561,-150.69273,-22.193853,141.14828
1014000000,-0.22738276,-150.92464,-22.096386,140.7923
1015000000,-0.21412224,-150.90804,-22.058495,140.84898
1016000000,-0.21431783,-151.20135,-22.04792,140.04837
1017000000,-0.20423506,-151.09271,-22.165073,140.98306
1018000000,-0.21268156,-151.52309,-22.064669,140.54529
1019000000,-0.23507056,-151.56805,-22.055811,140.14003
1020000000,-0.21796322,-151.99568,-22.061323,140.28554
1021000000,-0.22041214,-151.91258,-22.051487,140.36456
1022000000,-0.20289887,-152.00044,-21.975756,140.30296
1023000000,-0.20265798,-152.4334,-21.991003,139.65149
1024000000,-0.23918863,-152.32153,-21.971762,139.60236
1025000000,-0.22618987,-152.5174,-22.023785,139.30534
1026000000,-0.20991997,-152.80428,-21.90888,139.1713
1027000000,-0.22014344,-152.86925,-21.888199,139.63651
1028000000,-0.2270041,-152.90082,-21.876587,139.50572
1029000000,-0.19862002,-152.97289,-21.818823,139.23926
1030000000,-0.2148537,-153.41162,-21.859467,138.75536
1031000000,-0.20528288,-153.57811,-21.860653,138.59897
1032000000,-0.23907842,-153.56064,-21.912678,138.11688
1033000000,-0.22329621,-153.73695,-21.888109,138.22935
1034000000,-0.20664151,-153.89001,-21.837471,138.22662
1035000000,-0.24443218,-154.33255,-21.811983,137.84944
1036000000,-0.20736341,-154.10982,-21.778633,138.60725
1037000000,-0.27261356,-154.2083,-21.831385,137.75536
1038000000,-0.2466968,-154.49342,-21.835808,137.34842
1039000000,-0.22497214,-154.67586,-21.852016,137.43907
1040000000,-0.23447733,-154.84932,-21.830559,137.42761
1041000000,-0.23141266,-154.86232,-21.755236,138.18245
1042000000,-0.25595781,-155.20306,-21.826725,137.92107
1043000000,-0.23036864,-155.25069,-21.780224,137.02544
1044000000,-0.23664825,-155.4082,-21.741688,136.87453
1045000000,-0.21110737,-155.57323,-21.716038,136.90532
1046000000,-0.21118659,-155.66136,-21.731146,137.12477
1047000000,-0.23157232,-155.96796,-21.743305,136.68877
1048000000,-0.23965965,-155.79915,-21.750116,137.43121
1049000000,-0.22781882,-156.16281,-21.741688,136.41476
1050000000,-0.22953345,-156.2997,-21.818275,136.15996
1051000000,-0.21960339,-156.46786,-21.730217,136.44293
1052000000,-0.23184109,-156.70192,-21.748203,136.08084
1053000000,-0.22140594,-156.61092,-21.769598,136.75243
1054000000,-0.23778702,-156.74933,-21.763538,136.57442
1055000000,-0.22681205,-156.85707,-21.751303,136.61327
1056000000,-0.21463986,-157.09174,-21.734039,136.04567
1057000000,-0.24024494,-157.33528,-21.797359,135.99767
1058000000,-0.22960377,-157.32607,-21.724108,136.24278
1059000000,-0.22006007,-157.51787,-21.724442,135.70578
1060000000,-0.24397476,-157.59071,-21.790354,136.12805
1061000000,-0.25231287,-157.60063,-21.805599,136.13667
1062000000,-0.20721906,-158.12737,-21.766548,135.43069
1063000000,-0.24253243,-158.07623,-21.78776,135.96675
1064000000,-0.24658716,-158.19429,-21.714226,135.99417
1065000000,-0.22011927,-158.43575,-21.737141,135.56053
1066000000,-0.24434111,-158.53276,-21.759203,135.32692
1067000000,-0.2094198,-158.96169,-21.726164,134.84447
1068000000,-0.25552768,-158.80467,-21.787613,135.14883
1069000000,-0.21047972,-158.80486,-21.807272,136.00562
