Freq(Hz),S31(dB)_milled,S31(dB)_HFSS,S31(dB)_z0lver
1000000000,-3.2979038,-3.429203584,-3.8605436
1001000000,-3.3364503,-3.429077472,-3.860198114
1002000000,-3.3376417,-3.428951564,-3.859851763
1003000000,-3.3050027,-3.42882586,-3.859505425
1004000000,-3.2938461,-3.428700361,-3.859159098
1005000000,-3.3691051,-3.428575067,-3.85881366
1006000000,-3.3233097,-3.42844998,-3.858468234
1007000000,-3.3122168,-3.428325098,-3.85812282
1008000000,-3.2945812,-3.428200424,-3.857775665
1009000000,-3.3131976,-3.428075958,-3.857429398
1010000000,-3.3153565,-3.427951699,-3.85708139
1011000000,-3.3295681,-3.427827649,-3.856734271
1012000000,-3.3207934,-3.427703807,-3.856387164
1013000000,-3.3180425,-3.427580175,-3.856040069
1014000000,-3.295975,-3.427456754,-3.855694738
1015000000,-3.3191934,-3.427333542,-3.855344162
1016000000,-3.3061004,-3.427210542,-3.854997103
1017000000,-3.3129814,-3.427087753,-3.854649179
1018000000,-3.3236341,-3.426965176,-3.854301268
1019000000,-3.3215766,-3.426842812,-3.853953369
1020000000,-3.327585,-3.42672066,-3.853606359
1021000000,-3.2917414,-3.426598722,-3.853255855
1022000000,-3.3010268,-3.426476998,-3.852907992
1023000000,-3.3074334,-3.426355488,-3.852556637
1024000000,-3.3517363,-3.426234194,-3.852207923
1025000000,-3.346379,-3.426113114,-3.85185922
1026000000,-3.3239584,-3.425992251,-3.851511406
1027000000,-3.3070297,-3.425871604,-3.851163604
1028000000,-3.3319736,-3.425751174,-3.850813186
1029000000,-3.3213809,-3.425630961,-3.850464532
1030000000,-3.3185675,-3.425510966,-3.850115015
1031000000,-3.3199451,-3.425391189,-3.849762882
1032000000,-3.3336103,-3.425271631,-3.849412513
1033000000,-3.3427796,-3.425152293,-3.84906128
1034000000,-3.3348041,-3.425033174,-3.848711812
1035000000,-3.3155077,-3.424914275,-3.848362356
1036000000,-3.3106937,-3.424795597,-3.848012912
1037000000,-3.3185391,-3.424677141,-3.847659977
1038000000,-3.3034153,-3.424558905,-3.847309681
1039000000,-3.3107145,-3.424440892,-3.846956771
1040000000,-3.3095233,-3.424323102,-3.846606501
1041000000,-3.3386974,-3.424205535,-3.846254491
1042000000,-3.3336654,-3.424088191,-3.845904245
1043000000,-3.2875662,-3.423971071,-3.84555226
1044000000,-3.2824988,-3.423854175,-3.845199412
1045000000,-3.3248873,-3.423737505,-3.844848328
1046000000,-3.3067095,-3.42362106,-3.844495504
1047000000,-3.2949996,-3.42350484,-3.844142694
1048000000,-3.3427694,-3.423388847,-3.843791646
1049000000,-3.3040862,-3.423273081,-3.843437985
1050000000,-3.3038917,-3.423157542,-3.843083461
1051000000,-3.3188097,-3.423042231,-3.842733326
1052000000,-3.3186104,-3.422927148,-3.842379702
1053000000,-3.3085754,-3.422812293,-3.84202434
1054000000,-3.3173072,-3.422697667,-3.841673367
1055000000,-3.3197606,-3.422583271,-3.841318905
1056000000,-3.3097239,-3.422469105,-3.840965331
1057000000,-3.3133132,-3.422355169,-3.84061352
1058000000,-3.3493497,-3.422241465,-3.840259096
1059000000,-3.326879,-3.422127991,-3.839904685
1060000000,-3.3159544,-3.422014749,-3.839551161
1061000000,-3.3245368,-3.42190174,-3.839195025
1062000000,-3.3234296,-3.421788962,-3.838841526
1063000000,-3.3086331,-3.421676419,-3.838485415
1064000000,-3.3186893,-3.421564108,-3.838131941
1065000000,-3.3014886,-3.421452032,-3.83777848
1066000000,-3.2994149,-3.42134019,-3.837422407
1067000000,-3.2902696,-3.421228582,-3.837068096
1068000000,-3.3064783,-3.42111721,-3.836711173
1069000000,-3.3245373,-3.421006074,-3.836356012
1070000000,-3.296581,-3.420895174,-3.83599999
1071000000,-3.317755,-3.420784511,-3.835644854
1072000000,-3.3219252,-3.420674084,-3.835290606
1073000000,-3.3323643,-3.420563895,-3.834934622
1074000000,-3.3004506,-3.420453944,-3.83457865
1075000000,-3.3271925,-3.420344231,-3.83422269
1076000000,-3.3168166,-3.420234757,-3.833866744
1077000000,-3.3282127,-3.420125522,-3.833509935
1078000000,-3.295476,-3.420016527,-3.833152265
1079000000,-3.3110723,-3.419907772,-3.832796356
1080000000,-3.2946754,-3.419799257,-3.832439586
1081000000,-3.3103466,-3.419690983,-3.832083703
1082000000,-3.3307035,-3.419582951,-3.831726958
1083000000,-3.3063374,-3.41947516,-3.831368477
1084000000,-3.2946503,-3.419367611,-3.831012632
1085000000,-3.2940104,-3.419260305,-3.830655051
1086000000,-3.3185353,-3.419153242,-3.830297483
