Freq(Hz),S21_90deg,S21_180deg,S21_thru,S21_thru_with_coupling
1000000000,-0.21550888,-0.29632539,-0.17057019,-0.22676241
1001000000,-0.2012639,-0.26429272,-0.13156426,-0.2474512
1002000000,-0.2434413,-0.26727173,-0.17044243,-0.25070739
1003000000,-0.23536786,-0.29252124,-0.18406644,-0.27412558
1004000000,-0.24169965,-0.29722363,-0.15272968,-0.2490004
1005000000,-0.25248092,-0.28358689,-0.14926733,-0.24203332
1006000000,-0.19875917,-0.27337378,-0.1770438,-0.23176117
1007000000,-0.21818507,-0.26954803,-0.14198183,-0.24716586
1008000000,-0.22290863,-0.29121944,-0.15417069,-0.22212552
1009000000,-0.21361326,-0.26730284,-0.17529236,-0.2041468
1010000000,-0.22451298,-0.24132009,-0.17749257,-0.21531373
1011000000,-0.21488614,-0.28085098,-0.16626346,-0.23634489
1012000000,-0.2169832,-0.27081835,-0.1705482,-0.21150456
1013000000,-0.22596426,-0.2805993,-0.16298707,-0.21030973
1014000000,-0.23569152,-0.28476995,-0.16661206,-0.25863609
1015000000,-0.21233097,-0.26881284,-0.16716985,-0.21750726
1016000000,-0.22358772,-0.27360919,-0.15482789,-0.20815319
1017000000,-0.22260292,-0.30363312,-0.20541905,-0.26019239
1018000000,-0.25571346,-0.28109905,-0.16004455,-0.26040265
1019000000,-0.23676324,-0.27784616,-0.17851362,-0.24553785
1020000000,-0.25701955,-0.29462606,-0.20410115,-0.25898162
1021000000,-0.21269822,-0.2611663,-0.15756623,-0.2135973
1022000000,-0.2506038,-0.29511446,-0.17544243,-0.25488549
1023000000,-0.2507157,-0.29126275,-0.17835926,-0.24336678
1024000000,-0.22658975,-0.28146118,-0.1789324,-0.22778897
1025000000,-0.2289176,-0.28293371,-0.18302324,-0.22635072
1026000000,-0.23445877,-0.25690639,-0.17973928,-0.25582409
1027000000,-0.24508718,-0.30142102,-0.18207097,-0.24100715
1028000000,-0.20046213,-0.23309276,-0.15694822,-0.23324506
1029000000,-0.22827284,-0.25875759,-0.18407221,-0.25897598
1030000000,-0.21880946,-0.30304709,-0.19830109,-0.22881854
1031000000,-0.23167212,-0.29961517,-0.18111306,-0.26103428
1032000000,-0.21753208,-0.2528173,-0.15051982,-0.23106699
1033000000,-0.21734694,-0.28502506,-0.16568461,-0.24195585
1034000000,-0.24334863,-0.27553025,-0.16542782,-0.26370996
1035000000,-0.24226019,-0.26085028,-0.16186158,-0.23188108
1036000000,-0.20378043,-0.25784358,-0.17280078,-0.24172507
1037000000,-0.2264742,-0.2787852,-0.17501767,-0.22614306
1038000000,-0.21264343,-0.27391255,-0.16475332,-0.24463834
1039000000,-0.22301109,-0.27915806,-0.17360888,-0.25134552
1040000000,-0.25761169,-0.2682772,-0.17632668,-0.25014907
1041000000,-0.24367619,-0.28179494,-0.20155565,-0.2633009
1042000000,-0.26660633,-0.32192171,-0.21685225,-0.29731178
1043000000,-0.24919914,-0.28215405,-0.20423506,-0.24829312
1044000000,-0.23538268,-0.2597827,-0.17380722,-0.22394852
1045000000,-0.23298529,-0.27996829,-0.17055582,-0.25002232
1046000000,-0.27094531,-0.28883082,-0.19849181,-0.27437153
1047000000,-0.22230238,-0.23527187,-0.15743688,-0.24436069
1048000000,-0.23329502,-0.28999314,-0.18029103,-0.25600475
1049000000,-0.25318033,-0.28130186,-0.17030619,-0.24266683
1050000000,-0.24340603,-0.29472756,-0.1895552,-0.25965306
1051000000,-0.2503134,-0.27256984,-0.187259,-0.26362208
1052000000,-0.22776709,-0.28345242,-0.1867186,-0.24128723
1053000000,-0.22694038,-0.26572275,-0.1955222,-0.24668452
1054000000,-0.23496121,-0.26175401,-0.19089521,-0.26001945
1055000000,-0.21077316,-0.25526232,-0.18378569,-0.25441539
1056000000,-0.22433782,-0.27646619,-0.18103698,-0.26144388
1057000000,-0.23899727,-0.28306189,-0.18631922,-0.28214353
1058000000,-0.25493816,-0.2736997,-0.19305375,-0.25535235
1059000000,-0.26806465,-0.31117922,-0.21967238,-0.264415
1060000000,-0.22263812,-0.26062691,-0.14632531,-0.22701098
1061000000,-0.22429943,-0.2563509,-0.16180794,-0.19857872
1062000000,-0.24031848,-0.2646797,-0.19252361,-0.24769981
1063000000,-0.24867268,-0.27975532,-0.19518332,-0.25577402
1064000000,-0.23473425,-0.29297835,-0.17681666,-0.24319704
1065000000,-0.21445352,-0.26306701,-0.18188077,-0.23893048
1066000000,-0.24119559,-0.28992131,-0.19714512,-0.2402294
1067000000,-0.24650761,-0.27469406,-0.20019072,-0.27360663
1068000000,-0.25306267,-0.27621138,-0.18011253,-0.23236716
1069000000,-0.26548964,-0.27835247,-0.20027032,-0.25421256
1070000000,-0.24876159,-0.25854811,-0.20208664,-0.25136596
1071000000,-0.28899327,-0.30065984,-0.20818225,-0.29072478
1072000000,-0.2783834,-0.3138096,-0.22905251,-0.27988109
1073000000,-0.26015499,-0.2979672,-0.21190725,-0.26271573
1074000000,-0.27766177,-0.32199481,-0.20310052,-0.28555304
1075000000,-0.25752592,-0.29370615,-0.22842048,-0.28569686
1076000000,-0.24233885,-0.29505697,-0.20883559,-0.28524673
1077000000,-0.27455047,-0.28760108,-0.17764437,-0.26493433
1078000000,-0.24430619,-0.29948971,-0.2103475,-0.28904992
1079000000,-0.25479725,-0.29647759,-0.1870023,-0.2842885
1080000000,-0.27631396,-0.28773421,-0.21053801,-0.27009964
1081000000,-0.27159041,-0.28551221,-0.20652643,-0.26168349
1082000000,-0.26028654,-0.27514669,-0.19969402,-0.27192008
1083000000,-0.24000993,-0.26792067,-0.1774438,-0.26917246
1084000000,-0.24944271,-0.27748504,-0.18203263,-0.26132733
1085000000,-0.24008656,-0.25940531,-0.20665206,-0.26328081
1086000000,-0.24623099,-0.27388945,-0.19661064,-0.27945685
1087000000,-0.2550275,-0.28997135,-0.21337216,-0.26154253
1088000000,-0.25946635,-0.28017625,-0.21284734,-0.27382928
1089000000,-0.23235212,-0.28663796,-0.20162429,-0.2761263
1090000000,-0.25149709,-0.26979396,-0.16032602,-0.24737352
1091000000,-0.25032094,-0.26228729,-0.20685478,-0.25076652
1092000000,-0.24009338,-0.28802639,-0.20418818,-0.25652221
1093000000,-0.25247145,-0.28137651,-0.17921035,-0.26542774
1094000000,-0.26441824,-0.2892867,-0.22748557,-0.25787741
1095000000,-0.26195434,-0.29562744,-0.20752744,-0.28591245
1096000000,-0.24014649,-0.25999206,-0.18630621,-0.25097057
1097000000,-0.25014821,-0.25552166,-0.22118622,-0.27867177
1098000000,-0.27791411,-0.29700261,-0.23763581,-0.27961665
1099000000,-0.23501399,-0.28706193,-0.21051614,-0.25062639
1100000000,-0.24311109,-0.2797313,-0.19455807,-0.24919511
1101000000,-0.26317024,-0.31481352,-0.22058983,-0.29709971
1102000000,-0.23498066,-0.25475773,-0.20308611,-0.2607688
1103000000,-0.25694314,-0.28378195,-0.21354571,-0.28324285
1104000000,-0.26004446,-0.29340741,-0.22093849,-0.25734943
1105000000,-0.25064099,-0.28731012,-0.19668116,-0.25773305
1106000000,-0.24801302,-0.28655618,-0.2033972,-0.29668704
1107000000,-0.24247545,-0.27703613,-0.22408901,-0.27895656
1108000000,-0.27033642,-0.29480848,-0.22011748,-0.28149879
1109000000,-0.23233946,-0.27536476,-0.19256225,-0.26174608
1110000000,-0.26414463,-0.29691592,-0.23366894,-0.28654414
1111000000,-0.25949052,-0.2866292,-0.25111556,-0.29789576
1112000000,-0.23994257,-0.28981325,-0.22483483,-0.28921017
1113000000,-0.24765918,-0.28693765,-0.22318909,-0.29183698
1114000000,-0.2564376,-0.30049327,-0.23895447,-0.27710256
1115000000,-0.2684398,-0.27362096,-0.21655609,-0.27868074
1116000000,-0.26893914,-0.29518184,-0.24270034,-0.27924505
1117000000,-0.22361444,-0.29002872,-0.19276989,-0.26516718
1118000000,-0.24336299,-0.3035939,-0.22369677,-0.29319918
1119000000,-0.27611554,-0.3085373,-0.24463794,-0.3038781
1120000000,-0.27128181,-0.31162727,-0.23904815,-0.28117865
1121000000,-0.25961098,-0.29636455,-0.24194834,-0.28441769
1122000000,-0.26855919,-0.28129646,-0.23670684,-0.2869792
1123000000,-0.25164676,-0.27608779,-0.21579863,-0.2738573
1124000000,-0.24517125,-0.27922085,-0.22038059,-0.28340417
1125000000,-0.21357735,-0.27492827,-0.21337558,-0.27793008
1126000000,-0.264678,-0.30599391,-0.24299784,-0.284812
1127000000,-0.22791478,-0.27433628,-0.22412483,-0.27781162
1128000000,-0.23719521,-0.30854666,-0.26704407,-0.29795197
1129000000,-0.27069592,-0.27557969,-0.21080826,-0.27861276
1130000000,-0.26458523,-0.29443863,-0.24693362,-0.30068997
1131000000,-0.24005426,-0.29788136,-0.21565674,-0.27015474
1132000000,-0.24374542,-0.26991099,-0.22246984,-0.30613387
1133000000,-0.24598005,-0.29731667,-0.2412871,-0.3036876
1134000000,-0.26887217,-0.2798593,-0.25119784,-0.30273169
1135000000,-0.26924717,-0.32165095,-0.23570587,-0.3108283
1136000000,-0.24819611,-0.27188808,-0.22805324,-0.29072347
1137000000,-0.25140125,-0.26914781,-0.21778391,-0.27932858
1138000000,-0.25530452,-0.30917877,-0.25624147,-0.317745
1139000000,-0.28163454,-0.30574059,-0.24112274,-0.3175551
1140000000,-0.2687594,-0.30864432,-0.2508786,-0.3023842
1141000000,-0.2600674,-0.31151268,-0.23486219,-0.29582313
1142000000,-0.2502369,-0.29261553,-0.23428935,-0.3178879
1143000000,-0.24037138,-0.29729003,-0.24689482,-0.27718034
1144000000,-0.29904333,-0.30547681,-0.2630924,-0.30535358
1145000000,-0.2513881,-0.28325909,-0.25864297,-0.29479906
1146000000,-0.24640222,-0.28811917,-0.24788596,-0.31439057
1147000000,-0.27433595,-0.2783289,-0.23986164,-0.30528006
1148000000,-0.24557871,-0.31286994,-0.24571609,-0.30265579
1149000000,-0.25080264,-0.28325206,-0.22971891,-0.28774139
1150000000,-0.27851656,-0.30575541,-0.26783505,-0.32000527
1151000000,-0.25025627,-0.28964025,-0.24412651,-0.3049221
1152000000,-0.25138092,-0.30367333,-0.26631632,-0.30655903
1153000000,-0.26099426,-0.2946822,-0.23617557,-0.27934596
1154000000,-0.26613584,-0.30488792,-0.26496941,-0.31023788
1155000000,-0.25228453,-0.28542098,-0.24374233,-0.31170884
1156000000,-0.26045215,-0.30135205,-0.22738995,-0.29693577
1157000000,-0.26244447,-0.29042137,-0.24583322,-0.28762552
1158000000,-0.25194019,-0.28981063,-0.24672729,-0.30782622
1159000000,-0.25204352,-0.30218634,-0.23529825,-0.32089448
1160000000,-0.26556343,-0.28304419,-0.26467368,-0.31850722
1161000000,-0.27279612,-0.30267733,-0.25562611,-0.31933174
1162000000,-0.25688699,-0.28337568,-0.2596885,-0.31813163
1163000000,-0.27052829,-0.28763348,-0.27426487,-0.3150976
1164000000,-0.25588316,-0.26829356,-0.25470608,-0.2889649
1165000000,-0.25782719,-0.29345414,-0.24516109,-0.30160621
1166000000,-0.24300881,-0.27836955,-0.24490793,-0.31592476
1167000000,-0.24290918,-0.28501394,-0.25553402,-0.28489539
1168000000,-0.24418765,-0.28635165,-0.25907102,-0.32045949
1169000000,-0.25533473,-0.30180866,-0.24942665,-0.30413145
1170000000,-0.26095581,-0.30199957,-0.26871794,-0.31049666
1171000000,-0.24053688,-0.28433454,-0.23337725,-0.28518644
1172000000,-0.25845799,-0.31250915,-0.27009839,-0.33522701
1173000000,-0.27224708,-0.28032035,-0.26810604,-0.32130191
1174000000,-0.23651202,-0.2745606,-0.24285209,-0.28328416
1175000000,-0.24361347,-0.26111433,-0.24547729,-0.29033598
1176000000,-0.27384704,-0.31328106,-0.28789446,-0.31494263
1177000000,-0.2263858,-0.26816005,-0.24545079,-0.27769253
1178000000,-0.27243149,-0.29447725,-0.23889564,-0.30368558
1179000000,-0.25195786,-0.27597132,-0.24492201,-0.29189423
1180000000,-0.26568729,-0.29722673,-0.26218718,-0.30483308
1181000000,-0.23814155,-0.28077695,-0.24085011,-0.30794722
1182000000,-0.27437025,-0.31333733,-0.28165954,-0.31000277
1183000000,-0.23813036,-0.27166808,-0.27617794,-0.30588317
1184000000,-0.24653514,-0.29122496,-0.23389801,-0.31861994
1185000000,-0.24801396,-0.29688513,-0.24185641,-0.29172054
1186000000,-0.24151573,-0.28434521,-0.23808585,-0.30470216
1187000000,-0.28653565,-0.32517034,-0.27370495,-0.34568268
1188000000,-0.26919034,-0.29756734,-0.26569581,-0.3362166
1189000000,-0.23204972,-0.27239445,-0.23908764,-0.29049402
1190000000,-0.26009354,-0.29146606,-0.27016521,-0.31852084
1191000000,-0.23951524,-0.29830813,-0.26098379,-0.28719044
1192000000,-0.25110525,-0.2999332,-0.26870766,-0.32728049
1193000000,-0.26249295,-0.29289168,-0.28493172,-0.32670191
1194000000,-0.23696853,-0.26773667,-0.24582519,-0.30160317
1195000000,-0.24929945,-0.29780519,-0.25489867,-0.30379874
1196000000,-0.27290186,-0.30448508,-0.2651692,-0.34397462
1197000000,-0.25839224,-0.29201692,-0.26121396,-0.32118103
