Freq(Hz),S21 Log Mag(dB),S21 Phase(¡),S11 Log Mag(dB),S11 Phase(¡)
1000000000,-0.22676241,-143.17429,-19.784582,85.477829
1001000000,-0.2474512,-143.17107,-19.783237,85.896286
1002000000,-0.25070739,-143.67358,-19.730751,85.272209
1003000000,-0.27412558,-143.61713,-19.758236,85.82782
1004000000,-0.2490004,-143.51376,-19.740103,85.159073
1005000000,-0.24203332,-143.90866,-19.702692,85.84761
1006000000,-0.23176117,-143.94136,-19.728205,85.878403
1007000000,-0.24716586,-144.05724,-19.640085,85.995361
1008000000,-0.22212552,-144.06702,-19.595076,86.03434
1009000000,-0.2041468,-144.27136,-19.574547,86.296509
1010000000,-0.21531373,-144.41751,-19.590309,86.050591
1011000000,-0.23634489,-144.58496,-19.577269,86.117317
1012000000,-0.21150456,-144.94264,-19.545736,86.281418
1013000000,-0.21030973,-144.92847,-19.471741,86.576309
1014000000,-0.25863609,-144.94911,-19.477875,86.261856
1015000000,-0.21750726,-145.18605,-19.518276,86.452606
1016000000,-0.20815319,-145.14886,-19.48098,87.095535
1017000000,-0.26019239,-145.61975,-19.354963,86.805321
1018000000,-0.26040265,-145.41229,-19.44347,87.452667
1019000000,-0.24553785,-145.65247,-19.317059,86.916451
1020000000,-0.25898162,-145.89049,-19.396723,86.54895
1021000000,-0.2135973,-146.00882,-19.327326,86.792297
1022000000,-0.25488549,-146.19786,-19.305161,87.034348
1023000000,-0.24336678,-146.30984,-19.302052,86.835915
1024000000,-0.22778897,-146.39212,-19.271694,86.631729
1025000000,-0.22635072,-146.74249,-19.19754,86.510704
1026000000,-0.25582409,-146.71834,-19.168348,86.899315
1027000000,-0.24100715,-146.98849,-19.175571,87.007332
1028000000,-0.23324506,-147.00922,-19.155136,87.102966
1029000000,-0.25897598,-147.11578,-19.200541,87.012665
1030000000,-0.22881854,-147.53542,-19.073738,86.822105
1031000000,-0.26103428,-147.49362,-19.094606,86.81353
1032000000,-0.23106699,-147.89291,-19.049425,87.006874
1033000000,-0.24195585,-147.70447,-19.029577,87.314377
1034000000,-0.26370996,-147.89836,-19.048374,86.879616
1035000000,-0.23188108,-148.14337,-19.023106,87.167259
1036000000,-0.24172507,-148.28862,-18.959837,87.138649
1037000000,-0.22614306,-148.36031,-18.962517,87.086685
1038000000,-0.24463834,-148.83806,-18.890652,87.151489
1039000000,-0.25134552,-148.62621,-18.935833,87.309776
1040000000,-0.25014907,-148.61092,-18.967752,87.447411
1041000000,-0.2633009,-148.93999,-18.915628,87.400513
1042000000,-0.29731178,-149.03029,-18.948866,87.162529
1043000000,-0.24829312,-149.0251,-18.907902,87.316093
1044000000,-0.22394852,-149.38217,-18.805389,87.577248
1045000000,-0.25002232,-149.63048,-18.887594,87.3396
1046000000,-0.27437153,-149.66933,-18.790333,87.57769
1047000000,-0.24436069,-149.7686,-18.7696,87.382103
1048000000,-0.25600475,-149.81416,-18.753492,87.80957
1049000000,-0.24266683,-150.01988,-18.771313,87.532295
1050000000,-0.25965306,-150.24194,-18.748777,87.25647
1051000000,-0.26362208,-150.10786,-18.742815,87.766319
