!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 23, 2016 16:01:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°)
1000000000,-18.365221,100.48185,-0.22075173,-176.62047
1001000000,-18.384659,100.52119,-0.22956845,-176.62514
1002000000,-18.393639,100.29821,-0.22983246,-176.80038
1003000000,-18.384182,99.89814,-0.23616785,-177.04239
1004000000,-18.38567,99.865852,-0.22626664,-177.11923
1005000000,-18.392368,99.237434,-0.23017415,-177.74542
1006000000,-18.398891,99.435036,-0.24376252,-177.41667
1007000000,-18.390112,99.117599,-0.23947577,-177.67554
1008000000,-18.370348,98.727509,-0.21332298,-178.02425
1009000000,-18.417425,98.632881,-0.23922923,-178.21776
1010000000,-18.427067,98.545174,-0.2390358,-178.19084
1011000000,-18.395613,98.095192,-0.22172736,-178.57935
1012000000,-18.41782,98.045586,-0.25335869,-178.5836
1013000000,-18.420025,98.07695,-0.2401817,-178.65686
1014000000,-18.41099,97.702705,-0.24043888,-179.04146
1015000000,-18.397318,97.566681,-0.23937207,-179.04732
1016000000,-18.450651,97.420174,-0.24696128,-179.25165
1017000000,-18.456459,97.230911,-0.25107017,-179.51097
1018000000,-18.441311,96.929588,-0.24742237,-179.61752
1019000000,-18.444258,96.573463,-0.23871338,-179.92799
1020000000,-18.457193,96.550529,-0.23968527,-180.03267
1021000000,-18.426638,96.459198,-0.21612307,-180.05128
1022000000,-18.412767,96.123993,-0.24568208,-180.35365
1023000000,-18.442493,95.851601,-0.24851686,-180.58257
1024000000,-18.453392,95.811157,-0.23761685,-180.54762
1025000000,-18.442066,95.774452,-0.23932151,-180.6425
1026000000,-18.435524,95.470863,-0.22709872,-180.98997
1027000000,-18.44997,95.169243,-0.24487145,-181.26891
1028000000,-18.492136,94.95311,-0.2479022,-181.38573
1029000000,-18.47053,94.552704,-0.25319684,-181.63268
1030000000,-18.468576,94.573738,-0.23021489,-181.63882
1031000000,-18.503208,94.534355,-0.26957974,-181.61105
1032000000,-18.506151,94.270966,-0.24089921,-181.96573
1033000000,-18.504148,93.860596,-0.24025135,-182.30035
1034000000,-18.491207,93.814468,-0.20533283,-182.48985
1035000000,-18.502649,93.56955,-0.21448824,-182.56609
1036000000,-18.544537,93.376427,-0.26133028,-182.8367
1037000000,-18.551052,93.315956,-0.23035547,-182.8226
1038000000,-18.501112,93.074409,-0.20901217,-183.11838
1039000000,-18.558653,93.070862,-0.2350658,-183.24641
1040000000,-18.554382,92.746872,-0.22287884,-183.54471
1041000000,-18.588907,92.493294,-0.25729415,-183.65454
1042000000,-18.587339,92.407074,-0.25494075,-183.71706
1043000000,-18.598492,92.19397,-0.23457643,-183.97069
1044000000,-18.604273,91.935692,-0.24634647,-184.24379
1045000000,-18.626036,91.445786,-0.2487935,-184.6158
1046000000,-18.623865,91.605553,-0.24890159,-184.46872
1047000000,-18.598885,91.351463,-0.21664546,-184.66431
1048000000,-18.628641,91.312218,-0.23156667,-184.78873
1049000000,-18.638968,90.506683,-0.25454167,-185.28912
1050000000,-18.696991,90.6828,-0.25146359,-185.20355
