!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 17:21:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1000000000,-0.27375033,-179.77661,-30.454544,164.09732
1001000000,-0.238041,-179.7366,-30.528458,164.17914
1002000000,-0.26970211,-180.40933,-30.68428,163.67567
1003000000,-0.26602927,-180.36096,-30.753086,164.61354
1004000000,-0.25395092,-180.40538,-30.870478,164.05745
1005000000,-0.25975966,-180.77223,-30.994101,164.04155
1006000000,-0.23732857,-180.73561,-31.01265,164.52585
1007000000,-0.22426935,-180.85175,-31.059908,164.09785
1008000000,-0.26824427,-181.03247,-31.313107,164.96338
1009000000,-0.26722229,-181.43204,-31.333591,164.60425
1010000000,-0.23790029,-181.46474,-31.380505,164.59912
1011000000,-0.26080516,-181.707,-31.525755,164.34279
1012000000,-0.21717043,-182.00656,-31.604038,163.95245
1013000000,-0.24202013,-182.05055,-31.704018,164.31024
1014000000,-0.26720327,-181.938,-31.932699,165.62177
1015000000,-0.2404601,-182.4852,-31.908316,165.05978
1016000000,-0.24210709,-182.46011,-31.964081,165.08437
1017000000,-0.24048235,-182.72441,-32.094688,164.70662
1018000000,-0.27507967,-182.74103,-32.281128,165.29118
1019000000,-0.24659514,-183.0358,-32.315327,165.3856
1020000000,-0.27250654,-183.30693,-32.569286,165.15007
1021000000,-0.22599062,-183.47267,-32.627899,165.25928
1022000000,-0.23793991,-183.54889,-32.601219,165.3578
1023000000,-0.26501504,-183.7514,-32.796032,165.27609
1024000000,-0.24537331,-183.90688,-32.923023,164.95784
1025000000,-0.26602262,-184.30841,-33.084217,165.20752
1026000000,-0.24676575,-184.38429,-33.139103,165.52023
1027000000,-0.26273,-184.69847,-33.248772,165.1226
1028000000,-0.24245027,-184.74101,-33.387421,165.45259
1029000000,-0.27540097,-184.88605,-33.609509,165.67422
1030000000,-0.24923024,-185.19867,-33.653831,165.09833
1031000000,-0.25544128,-185.19316,-33.761345,165.50394
1032000000,-0.22927514,-185.64772,-33.807377,165.1736
1033000000,-0.25091937,-185.57977,-33.923405,166.36206
1034000000,-0.25823638,-185.80081,-34.180889,165.91147
1035000000,-0.27447838,-186.00258,-34.366661,166.44296
1036000000,-0.24158859,-186.3231,-34.381432,165.75864
1037000000,-0.24719132,-186.55412,-34.545078,166.20976
1038000000,-0.24078119,-186.65393,-34.598354,167.18533
1039000000,-0.26791492,-186.836,-34.9016,167.08846
1040000000,-0.24177119,-186.86732,-34.893341,167.53148
1041000000,-0.27547947,-187.12679,-35.235275,168.24017
1042000000,-0.28557771,-187.20627,-35.325565,168.28082
1043000000,-0.2539959,-187.30252,-35.469872,169.04002
1044000000,-0.24089064,-187.81329,-35.60453,168.88336
1045000000,-0.25087741,-187.98422,-35.746983,168.73712
1046000000,-0.26830617,-187.93602,-35.851391,170.8553
1047000000,-0.23206741,-188.33089,-36.02845,168.59384
1048000000,-0.26488021,-188.45686,-36.35807,171.43549
1049000000,-0.23451841,-188.57283,-36.32119,170.47418
1050000000,-0.27583367,-188.81006,-36.556152,170.52641
