Freq [GHz],Phase_Difference(HFSS),Phase_Difference(measured)
1,17.88042148,23.764091
1.001,17.90515227,23.708783
1.002,17.92990536,23.663868
1.003,17.95468091,23.996674
1.004,17.97947909,23.985355
1.005,18.00430007,23.642853
1.006,18.02914402,23.855064
1.007,18.05401112,24.115875
1.008,18.07890152,23.852864
1.009,18.10381541,23.847637
1.01,18.12875294,23.992996
1.011,18.15371429,24.021992
1.012,18.17869963,24.047844
1.013,18.20370912,23.834373
1.014,18.22874293,24.068421
1.015,18.25380123,24.169934
1.016,18.27888419,24.376328
1.017,18.30399197,24.13858
1.018,18.32912474,24.427811
1.019,18.35428267,24.071205
1.02,18.37946592,24.36137
1.021,18.40467466,24.224285
1.022,18.42990906,24.368843
1.023,18.45516928,24.295628
1.024,18.48045549,24.263474
1.025,18.50576785,24.667343
1.026,18.53110653,24.472702
1.027,18.55647169,24.4907
1.028,18.58186349,24.597626
1.029,18.60728211,24.52518
1.03,18.6327277,24.539531
1.031,18.65820042,24.585098
1.032,18.68370045,24.697453
1.033,18.70922795,24.754246
1.034,18.73478307,24.766342
1.035,18.76036598,25.029252
1.036,18.78597684,24.852494
1.037,18.81161581,24.837837
1.038,18.83728307,25.003712
1.039,18.86297875,24.936283
1.04,18.88870304,25.07529
1.041,18.91445609,24.96587
1.042,18.94023805,25.094956
1.043,18.9660491,25.196888
1.044,18.99188939,25.106342
1.045,19.01775908,25.271244
1.046,19.04365832,25.329693
1.047,19.06958729,25.254692
1.048,19.09554614,25.11771
1.049,19.12153502,25.374317
1.05,19.14755409,25.207729
1.051,19.17360353,25.395519
1.052,19.19968347,25.425167
1.053,19.22579408,25.480847
1.054,19.25193552,25.413967
1.055,19.27810794,25.5172
1.056,19.3043115,25.493633
1.057,19.33054636,25.531594
1.058,19.35681267,25.478268
1.059,19.3831106,25.661064
1.06,19.40944028,25.602173
1.061,19.43580189,25.648617
1.062,19.46219557,25.702389
1.063,19.48862148,25.822498
1.064,19.51507978,25.714199
1.065,19.54157062,25.54007
1.066,19.56809415,25.947674
1.067,19.59465052,26.006359
1.068,19.6212399,26.014694
1.069,19.64786243,25.897663
1.07,19.67451827,26.072625
1.071,19.70120756,26.069843
1.072,19.72793047,26.106549
1.073,19.75468714,26.071789
1.074,19.78147772,25.895726
1.075,19.80830238,26.216736
1.076,19.83516125,26.218765
1.077,19.86205449,26.253743
1.078,19.88898224,26.318157
1.079,19.91594467,26.475418
1.08,19.94294192,26.384209
1.081,19.96997414,26.398201
1.082,19.99704148,26.351475
1.083,20.02414409,26.537979
1.084,20.05128211,26.478016
1.085,20.0784557,26.485638
1.086,20.10566501,26.569118
1.087,20.13291018,26.663983
1.088,20.16019136,26.616745
1.089,20.18750871,26.754227
1.09,20.21486235,26.600547
1.091,20.24225245,26.680843
1.092,20.26967915,26.629112
1.093,20.2971426,27.008251
1.094,20.32464295,26.594639
1.095,20.35218033,26.981826
1.096,20.37975489,26.534637
1.097,20.40736679,27.126095
1.098,20.43501616,26.873535
1.099,20.46270316,26.860642
1.1,20.49042792,26.920677
1.101,20.51819059,27.284057
1.102,20.54599132,27.264259
1.103,20.57383024,27.248119
1.104,20.60170751,27.218452
1.105,20.62962326,27.131218
1.106,20.65757764,27.348766
1.107,20.6855708,27.190292
1.108,20.71360287,27.32568
1.109,20.74167399,27.392476
1.11,20.76978432,27.547665
1.111,20.79793398,27.40427
1.112,20.82612313,27.449562
1.113,20.85435191,27.337837
1.114,20.88262045,27.572178
1.115,20.91092889,27.537147
1.116,20.93927739,27.418659
1.117,20.96766607,27.940391
1.118,20.99609508,27.773609
1.119,21.02456456,27.730595
1.12,21.05307465,27.80777
1.121,21.08162548,28.032707
1.122,21.1102172,27.83535
1.123,21.13884995,27.736225
1.124,21.16752386,27.91119
1.125,21.19623907,28.017857
1.126,21.22499573,27.860798
1.127,21.25379397,28.054409
1.128,21.28263392,28.181034
1.129,21.31151573,28.08474
1.13,21.34043954,28.153137
1.131,21.36940547,28.0145
1.132,21.39841367,28.180649
1.133,21.42746428,28.343418
1.134,21.45655742,28.34988
1.135,21.48569324,28.434101
1.136,21.51487188,28.519905
1.137,21.54409347,28.372975
1.138,21.57335814,28.370418
1.139,21.60266603,28.451614
1.14,21.63201727,28.497764
1.141,21.66141201,28.419994
1.142,21.69085038,28.442215
1.143,21.7203325,28.406258
1.144,21.74985852,28.837033
1.145,21.77942857,28.78989
1.146,21.80904279,28.565331
1.147,21.8387013,28.451405
1.148,21.86840424,28.748623
1.149,21.89815175,28.911198
1.15,21.92794396,28.857593
1.151,21.95778099,28.868435
1.152,21.987663,28.867596
1.153,22.0175901,29.048332
1.154,22.04756243,29.088615
1.155,22.07758012,29.027722
1.156,22.10764331,29.000427
1.157,22.13775212,29.033104
1.158,22.1679067,29.327358
1.159,22.19810716,29.252205
1.16,22.22835365,29.346038
1.161,22.25864629,29.375934
1.162,22.28898522,29.360924
1.163,22.31937056,29.281338
1.164,22.34980245,29.305286
1.165,22.38028101,29.427502
1.166,22.41080639,29.538318
1.167,22.4413787,29.598545
1.168,22.47199809,29.645935
1.169,22.50266467,29.601086
1.17,22.53337858,29.775821
1.171,22.56413996,29.738987
1.172,22.59494892,29.685162
1.173,22.6258056,29.716847
1.174,22.65671013,29.977146
1.175,22.68766263,29.95359
1.176,22.71866325,29.933655
1.177,22.74971209,30.252094
1.178,22.78080931,29.927246
1.179,22.81195501,29.993336
1.18,22.84314934,30.014732
1.181,22.87439242,30.337597
1.182,22.90568438,30.380291
1.183,22.93702535,30.350441
1.184,22.96841545,30.232693
1.185,22.99985481,30.415787
1.186,23.03134357,30.370697
1.187,23.06288185,30.447525
1.188,23.09446977,30.20895
1.189,23.12610747,30.277794
1.19,23.15779507,30.753212
1.191,23.1895327,30.503425
1.192,23.22132049,30.650254
1.193,23.25315856,30.612038
1.194,23.28504704,30.460022
1.195,23.31698607,30.924083
1.196,23.34897575,30.72414
1.197,23.38101623,30.687729
1.198,23.41310763,30.929051
1.199,23.44525008,30.784095
1.2,23.47744369,30.820468
1.201,23.50968861,30.826416
1.202,23.54198495,30.905308
1.203,23.57433284,31.02523
1.204,23.60673242,31.187896
1.205,23.63918379,31.0728
1.206,23.6716871,31.014229
1.207,23.70424246,31.191475
1.208,23.73685001,31.187935
1.209,23.76950986,31.37196
1.21,23.80222215,31.416389
1.211,23.834987,31.349723
1.212,23.86780453,31.406536
1.213,23.90067488,31.403255
1.214,23.93359816,31.437172
1.215,23.96657451,31.730049
1.216,23.99960405,31.444355
1.217,24.0326869,31.521568
1.218,24.06582319,31.71661
1.219,24.09901305,31.667591
1.22,24.1322566,31.679386
1.221,24.16555397,31.910302
1.222,24.19890527,31.932232
1.223,24.23231065,31.9608
1.224,24.26577022,32.117881
1.225,24.2992841,31.978866
1.226,24.33285243,31.926777
1.227,24.36647533,32.034386
1.228,24.40015292,32.109234
1.229,24.43388534,32.07135
1.23,24.46767269,32.152862
1.231,24.50151512,32.300301
1.232,24.53541274,32.433049
1.233,24.56936568,32.13269
1.234,24.60337407,32.370384
1.235,24.63743803,32.33397
1.236,24.67155769,32.252171
1.237,24.70573317,32.385639
1.238,24.73996459,32.467903
1.239,24.77425209,32.578041
1.24,24.80859578,32.493949
1.241,24.8429958,32.564106
1.242,24.87745226,32.749008
1.243,24.9119653,32.695217
1.244,24.94653503,32.763584
1.245,24.9811616,32.800743
1.246,25.01584511,32.87981
1.247,25.05058569,33.013851
1.248,25.08538348,33.035156
1.249,25.12023859,33.050038
1.25,25.15515116,33.025436
1.251,25.1901213,33.090645
1.252,25.22514914,33.126408
1.253,25.26023482,33.039478
1.254,25.29537844,33.164665
1.255,25.33058015,33.354138
1.256,25.36584007,33.133999
1.257,25.40115831,33.139888
1.258,25.43653502,33.494678
1.259,25.47197031,33.512886
1.26,25.5074643,33.385856
1.261,25.54301714,33.57967
1.262,25.57862894,33.604728
1.263,25.61429982,33.532093
1.264,25.65002992,33.774456
1.265,25.68581936,33.753449
1.266,25.72166827,33.86979
1.267,25.75757678,33.730797
1.268,25.793545,33.705883
1.269,25.82957308,34.194137
1.27,25.86566112,34.205795
1.271,25.90180927,34.047161
1.272,25.93801765,34.10368
1.273,25.97428638,34.160603
1.274,26.0106156,34.233734
1.275,26.04700542,34.060318
1.276,26.08345598,34.34235
1.277,26.11996741,34.429478
1.278,26.15653983,34.289932
1.279,26.19317336,34.298924
1.28,26.22986815,34.328037
1.281,26.26662431,34.613705
1.282,26.30344197,34.593513
1.283,26.34032127,34.638023
1.284,26.37726232,34.681663
1.285,26.41426527,34.697727
1.286,26.45133022,34.703808
1.287,26.48845733,34.823883
1.288,26.5256467,34.968815
1.289,26.56289848,34.87244
1.29,26.60021279,34.839714
1.291,26.63758975,34.942089
1.292,26.67502951,34.95586
1.293,26.71253219,35.034569
1.294,26.75009791,35.119762
1.295,26.78772681,35.253124
1.296,26.82541901,35.263492
1.297,26.86317466,35.148853
1.298,26.90099387,35.375851
1.299,26.93887677,35.518524
1.3,26.9768235,35.410278
1.301,27.01483419,35.471237
1.302,27.05290897,35.453617
1.303,27.09104796,35.653275
1.304,27.12925131,35.760311
1.305,27.16751913,35.667907
1.306,27.20585157,35.848968
1.307,27.24424874,35.780296
1.308,27.2827108,35.665936
1.309,27.32123785,35.956871
1.31,27.35983004,35.915619
1.311,27.39848751,35.964512
1.312,27.43721037,36.225982
1.313,27.47599876,36.040798
1.314,27.51485283,36.18301
1.315,27.55377269,36.125451
1.316,27.59275848,36.19479
1.317,27.63181033,36.162674
1.318,27.67092838,36.10442
1.319,27.71011276,36.485538
1.32,27.7493636,36.415634
1.321,27.78868104,36.738647
1.322,27.82806522,36.554561
1.323,27.86751625,36.670093
1.324,27.90703429,36.580631
1.325,27.94661945,36.989479
1.326,27.98627189,36.78738
1.327,28.02599173,36.854282
1.328,28.0657791,36.893142
1.329,28.10563415,36.781021
1.33,28.145557,36.916111
1.331,28.1855478,36.878784
1.332,28.22560667,36.923279
1.333,28.26573376,37.080769
1.334,28.3059292,37.143364
1.335,28.34619312,37.425938
1.336,28.38652567,37.459275
1.337,28.42692698,37.281853
1.338,28.46739718,37.416023
1.339,28.50793641,37.414688
1.34,28.54854482,37.385868
1.341,28.58922253,37.427788
1.342,28.62996969,37.594574
1.343,28.67078643,37.625294
1.344,28.71167289,37.693306
1.345,28.75262921,37.577248
1.346,28.79365553,37.702641
1.347,28.83475199,37.722061
1.348,28.87591872,37.849624
1.349,28.91715586,37.84935
1.35,28.95846355,37.933636
1.351,28.99984194,38.241687
1.352,29.04129116,38.010105
1.353,29.08281135,38.222507
