Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1,-4.749031411,-4.8015685,-4.729533789,-4.8781047,-4.735662531,-4.614512,-4.735647871,-4.7709212
1.001,-4.747773651,-4.7803583,-4.728277997,-4.8325815,-4.734405686,-4.5901875,-4.734367693,-4.7923937
1.002,-4.746518566,-4.797225,-4.727024854,-4.8558068,-4.733151519,-4.6066856,-4.733090218,-4.8094316
1.003,-4.745266163,-4.7905331,-4.725774366,-4.8456163,-4.731900037,-4.6007037,-4.731815454,-4.7837152
1.004,-4.744016448,-4.7529159,-4.72452654,-4.8209629,-4.730651247,-4.5750957,-4.730543409,-4.7994709
1.005,-4.74276943,-4.8148274,-4.723281385,-4.8827019,-4.729405156,-4.6249261,-4.729274089,-4.790782
1.006,-4.741525116,-4.7985091,-4.722038907,-4.8561206,-4.728161773,-4.5945663,-4.728007502,-4.7812772
1.007,-4.740283513,-4.7908854,-4.720799114,-4.8425922,-4.726921103,-4.5825977,-4.726743655,-4.8051977
1.008,-4.739044627,-4.7524877,-4.719562012,-4.8248258,-4.725683155,-4.5776834,-4.725482556,-4.768518
1.009,-4.737808468,-4.782855,-4.71832761,-4.8220863,-4.724447936,-4.56671,-4.724224211,-4.8063264
1.01,-4.736575041,-4.7686934,-4.717095914,-4.7874641,-4.723215453,-4.5545769,-4.722968628,-4.777885
1.011,-4.735344354,-4.801734,-4.715866932,-4.8353033,-4.721985713,-4.5942726,-4.721715815,-4.8007431
1.012,-4.734116415,-4.8184319,-4.714640671,-4.8373075,-4.720758724,-4.6324048,-4.720465778,-4.780057
1.013,-4.73289123,-4.7722712,-4.713417139,-4.8171687,-4.719534493,-4.5593719,-4.719218526,-4.7509232
1.014,-4.731668808,-4.7594361,-4.712196342,-4.8070173,-4.718313027,-4.5816574,-4.717974065,-4.7863097
1.015,-4.730449156,-4.7842827,-4.710978289,-4.8255029,-4.717094335,-4.5750289,-4.716732403,-4.7479253
