"Freq [GHz]","dB(S(4,2)) []","dB(S(3,2)) []","dB(S(4,3)) []"
1,-5.96543839762357,-7.2743909130052,-7.40480170174541
1.001,-5.96472446801559,-7.27635980151107,-7.40711188574516
1.002,-5.9640076410105,-7.27832893281683,-7.40942473277037
1.003,-5.96328791158645,-7.2802983054103,-7.41174023157569
1.004,-5.96256527472282,-7.28226791777943,-7.41405837084967
1.005,-5.96183972540025,-7.28423776841227,-7.41637913921521
1.006,-5.96111125860068,-7.28620785579689,-7.41870252523011
1.007,-5.96037986930736,-7.28817817842135,-7.42102851738752
1.008,-5.95964555250484,-7.29014873477366,-7.42335710411649
1.009,-5.95890830317901,-7.29211952334172,-7.42568827378239
1.01,-5.95816811631712,-7.2940905426133,-7.42802201468744
1.011,-5.95742498690779,-7.29606179107592,-7.43035831507117
1.012,-5.95667890994104,-7.2980332672169,-7.43269716311093
1.013,-5.95592988040827,-7.30000496952326,-7.43503854692234
1.014,-5.9551778933023,-7.30197689648168,-7.4373824545598
1.015,-5.9544229436174,-7.30394904657847,-7.43972887401694
1.016,-5.95366502634933,-7.30592141829949,-7.44207779322711
1.017,-5.95290413649526,-7.30789401013015,-7.44442920006388
1.018,-5.9521402690539,-7.30986682055537,-7.44678308234143
1.019,-5.95137341902545,-7.31183984805947,-7.44913942781512
1.02,-5.95060358141163,-7.31381309112621,-7.45149822418189
1.021,-5.94983075121572,-7.3157865482387,-7.45385945908078
1.022,-5.94905492344256,-7.31776021787935,-7.4562231200933
1.023,-5.94827609309856,-7.31973409852988,-7.45858919474401
1.024,-5.94749425519173,-7.32170818867123,-7.4609576705009
1.025,-5.94670940473171,-7.32368248678354,-7.46332853477587
1.026,-5.94592153672977,-7.32565699134611,-7.46570177492519
1.027,-5.94513064619882,-7.32763170083736,-7.46807737824996
1.028,-5.94433672815344,-7.32960661373478,-7.47045533199653
1.029,-5.94353977760993,-7.33158172851491,-7.47283562335699
1.03,-5.94273978958625,-7.3335570436533,-7.47521823946961
1.031,-5.94193675910213,-7.33553255762446,-7.47760316741925
1.032,-5.94113068117903,-7.33750826890184,-7.47999039423783
1.033,-5.94032155084017,-7.33948417595776,-7.48237990690477
1.034,-5.93950936311054,-7.34146027726344,-7.48477169234746
1.035,-5.93869411301698,-7.3434365712889,-7.4871657374416
1.036,-5.93787579558808,-7.34541305650295,-7.48956202901176
1.037,-5.93705440585432,-7.34738973137317,-7.49196055383172
1.038,-5.93622993884804,-7.34936659436586,-7.49436129862493
1.039,-5.93540238960343,-7.35134364394601,-7.49676425006496
1.04,-5.93457175315659,-7.35332087857727,-7.49916939477586
1.041,-5.93373802454557,-7.35529829672193,-7.50157671933267
1.042,-5.93290119881028,-7.35727589684086,-7.50398621026178
1.043,-5.93206127099268,-7.35925367739352,-7.50639785404137
1.044,-5.93121823613662,-7.36123163683791,-7.5088116371018
1.045,-5.93037208928799,-7.36320977363053,-7.51122754582608
1.046,-5.92952282549471,-7.36518808622637,-7.51364556655023
1.047,-5.92867043980671,-7.36716657307888,-7.51606568556372
1.048,-5.92781492727597,-7.36914523263994,-7.51848788910982
1.049,-5.92695628295655,-7.37112406335983,-7.52091216338611
1.05,-5.92609450190467,-7.37310306368723,-7.52333849454478
1.051,-5.92522957917856,-7.37508223206914,-7.52576686869308
1.052,-5.92436150983865,-7.37706156695093,-7.52819727189371
1.053,-5.92349028894753,-7.37904106677626,-7.53062969016519
1.054,-5.92261591156995,-7.38102072998709,-7.53306410948233
1.055,-5.92173837277288,-7.38300055502363,-7.53550051577649
1.056,-5.92085766762547,-7.38498054032437,-7.53793889493608
1.057,-5.91997379119917,-7.38696068432597,-7.54037923280692
1.058,-5.91908673856765,-7.38894098546337,-7.54282151519259
1.059,-5.91819650480688,-7.39092144216962,-7.54526572785482
1.06,-5.91730308499513,-7.39290205287602,-7.54771185651388
1.061,-5.916406474213,-7.39488281601197,-7.55015988684897
1.062,-5.91550666754344,-7.39686373000505,-7.55260980449855
1.063,-5.91460366007177,-7.39884479328092,-7.55506159506074
1.064,-5.9136974468857,-7.40082600426339,-7.5575152440937
1.065,-5.91278802307535,-7.40280736137437,-7.55997073711593
1.066,-5.91187538373329,-7.40478886303382,-7.56242805960671
1.067,-5.91095952395455,-7.40677050765981,-7.56488719700643
1.068,-5.9100404388366,-7.40875229366845,-7.56734813471692
1.069,-5.90911812347945,-7.41073421947393,-7.56981085810185
1.07,-5.90819257298566,-7.41271628348846,-7.57227535248702
1.071,-5.90726378246027,-7.4146984841223,-7.57474160316079
1.072,-5.90633174701095,-7.41668081978374,-7.57720959537438
1.073,-5.90539646174793,-7.4186632888791,-7.57967931434218
1.074,-5.90445792178407,-7.42064588981271,-7.58215074524217
1.075,-5.90351612223487,-7.42262862098693,-7.5846238732162
1.076,-5.90257105821848,-7.42461148080211,-7.58709868337032
1.077,-5.90162272485575,-7.42659446765662,-7.58957516077518
1.078,-5.90067111727024,-7.42857757994686,-7.59205329046628
1.079,-5.89971623058824,-7.43056081606722,-7.59453305744434
1.08,-5.89875805993879,-7.43254417441009,-7.59701444667563
