"Freq [GHz]","dB(S(2,3)) []","dB(S(4,2)) []","dB(S(4,3)) []"
1,-5.3104024034112,-4.52074878908473,-6.47531783349923
1.001,-5.30895684831494,-4.51715460241355,-6.47801961781617
1.002,-5.30751201673016,-4.51355373829679,-6.48073723842045
1.003,-5.30606793256844,-4.50994618525052,-6.48347078561252
1.004,-5.30462461992099,-4.50633193179746,-6.48622035018752
1.005,-5.30318210305999,-4.50271096646761,-6.48898602343784
1.006,-5.30174040643991,-4.49908327779894,-6.49176789715569
1.007,-5.30029955469887,-4.49544885433807,-6.49456606363564
1.008,-5.29885957266001,-4.49180768464094,-6.49738061567722
1.009,-5.29742048533285,-4.48815975727349,-6.50021164658751
1.01,-5.29598231791471,-4.48450506081236,-6.50305925018371
1.011,-5.29454509579203,-4.48084358384563,-6.50592352079577
1.012,-5.29310884454183,-4.4771753149735,-6.50880455326895
1.013,-5.29167358993311,-4.4735002428091,-6.51170244296652
1.014,-5.29023935792823,-4.46981835597908,-6.51461728577233
1.015,-5.28880617468442,-4.46612964312454,-6.51754917809346
1.016,-5.28737406655512,-4.46243409290165,-6.52049821686283
1.017,-5.28594306009153,-4.45873169398248,-6.52346449954195
1.018,-5.28451318204399,-4.4550224350558,-6.52644812412345
1.019,-5.28308445936349,-4.45130630482781,-6.52944918913387
1.02,-5.28165691920314,-4.44758329202302,-6.53246779363624
1.021,-5.28023058891965,-4.44385338538498,-6.53550403723281
1.022,-5.27880549607486,-4.44011657367715,-6.53855802006773
1.023,-5.2773816684372,-4.43637284568375,-6.54162984282975
1.024,-5.27595913398327,-4.43262219021055,-6.54471960675494
1.025,-5.27453792089932,-4.42886459608578,-6.54782741362934
1.026,-5.2731180575828,-4.42510005216096,-6.55095336579177
1.027,-5.27169957264395,-4.42132854731179,-6.55409756613648
1.028,-5.27028249490729,-4.41755007043904,-6.55726011811591
1.029,-5.26886685341326,-4.41376461046946,-6.56044112574344
1.03,-5.26745267741975,-4.40997215635668,-6.5636406935961
1.031,-5.26603999640374,-4.4061726970821,-6.56685892681737
1.032,-5.26462884006284,-4.40236622165593,-6.57009593111987
1.033,-5.26321923831696,-4.39855271911798,-6.57335181278819
1.034,-5.26181122130991,-4.39473217853878,-6.57662667868161
1.035,-5.26040481941102,-4.39090458902043,-6.57992063623689
1.036,-5.25900006321682,-4.38706993969765,-6.58323379347106
1.037,-5.25759698355263,-4.38322821973872,-6.58656625898417
1.038,-5.25619561147431,-4.37937941834656,-6.58991814196211
1.039,-5.25479597826986,-4.37552352475969,-6.59328955217939
1.04,-5.25339811546116,-4.37166052825326,-6.59668060000191
1.041,-5.25200205480564,-4.36779041814014,-6.60009139638983
1.042,-5.25060782829797,-4.36391318377193,-6.60352205290029
1.043,-5.24921546817184,-4.36002881454007,-6.60697268169029
1.044,-5.24782500690161,-4.35613729987686,-6.61044339551946
1.045,-5.2464364772041,-4.35223862925662,-6.61393430775287
1.046,-5.24504991204036,-4.3483327921968,-6.61744553236387
1.047,-5.24366534461735,-4.34441977825902,-6.62097718393694
1.048,-5.24228280838981,-4.34049957705028,-6.62452937767041
1.049,-5.24090233706195,-4.33657217822411,-6.62810222937941
1.05,-5.23952396458933,-4.33263757148166,-6.63169585549861
1.051,-5.23814772518061,-4.32869574657297,-6.63531037308509
1.052,-5.23677365329937,-4.32474669329805,-6.63894589982113
1.053,-5.23540178366595,-4.3207904015082,-6.64260255401711
1.054,-5.2340321512593,-4.31682686110711,-6.64628045461426
1.055,-5.2326647913188,-4.3128560620522,-6.64997972118755
1.056,-5.23129973934613,-4.30887799435575,-6.6537004739485
1.057,-5.22993703110713,-4.30489264808627,-6.65744283374802
1.058,-5.22857670263373,-4.30090001336967,-6.66120692207922
1.059,-5.22721879022577,-4.29690008039062,-6.66499286108026
1.06,-5.22586333045296,-4.29289283939383,-6.6688007735372
1.061,-5.22451036015677,-4.28887828068532,-6.67263078288674
1.062,-5.22315991645236,-4.28485639463384,-6.67648301321918
1.063,-5.22181203673049,-4.2808271716721,-6.6803575892811
1.064,-5.22046675865955,-4.27679060229825,-6.6842546364783
1.065,-5.2191241201874,-4.27274667707717,-6.68817428087855
1.066,-5.21778415954346,-4.26869538664186,-6.69211664921438
1.067,-5.21644691524058,-4.2646367216949,-6.69608186888596
1.068,-5.21511242607712,-4.26057067300982,-6.70007006796387
1.069,-5.2137807311389,-4.25649723143256,-6.7040813751919
1.07,-5.21245186980124,-4.2524163878829,-6.70811591998981
1.071,-5.21112588173098,-4.24832813335593,-6.71217383245619
1.072,-5.20980280688851,-4.24423245892357,-6.71625524337116
1.073,-5.2084826855298,-4.24012935573598,-6.72036028419923
1.074,-5.20716555820852,-4.23601881502317,-6.72448908709199
1.075,-5.20585146577803,-4.23190082809646,-6.72864178489089
1.076,-5.20454044939351,-4.22777538635006,-6.73281851113004
1.077,-5.20323255051404,-4.22364248126261,-6.73701940003889
1.078,-5.20192781090471,-4.21950210439877,-6.741244586545
1.079,-5.20062627263871,-4.2153542474108,-6.74549420627672
1.08,-5.19932797809947,-4.21119890204018,-6.74976839556598
1.081,-5.19803296998282,-4.20703606011923,-6.75406729145088
1.082,-5.19674129129907,-4.20286571357276,-6.7583910316785
1.083,-5.19545298537525,-4.19868785441971,-6.76273975470747
1.084,-5.19416809585719,-4.19450247477484,-6.76711359971069
1.085,-5.1928866667118,-4.19030956685044,-6.77151270657801
1.086,-5.19160874222915,-4.18610912295799,-6.77593721591874
1.087,-5.19033436702475,-4.18190113550992,-6.78038726906445
1.088,-5.18906358604176,-4.17768559702138,-6.78486300807141
1.089,-5.18779644455314,-4.17346250011193,-6.78936457572327
1.09,-5.18653298816397,-4.16923183750736,-6.79389211553362
1.091,-5.18527326281365,-4.16499360204152,-6.7984457717485
1.092,-5.18401731477814,-4.16074778665803,-6.80302568934899
1.093,-5.18276519067227,-4.15649438441224,-6.80763201405371
1.094,-5.18151693745197,-4.15223338847296,-6.81226489232127
1.095,-5.18027260241658,-4.14796479212441,-6.8169244713528
1.096,-5.17903223321115,-4.14368858876805,-6.8216108990944
1.097,-5.17779587782876,-4.1394047719245,-6.82632432423949
1.098,-5.17656358461277,-4.13511333523547,-6.83106489623134
1.099,-5.17533540225924,-4.13081427246569,-6.83583276526536
1.1,-5.17411137981919,-4.12650757750484,-6.84062808229149
1.101,-5.17289156670101,-4.12219324436956,-6.84545099901652
1.102,-5.17167601267277,-4.11787126720542,-6.85030166790638
1.103,-5.17046476786463,-4.11354164028893,-6.85518024218847
1.104,-5.16925788277116,-4.10920435802959,-6.86008687585383
1.105,-5.16805540825382,-4.1048594149719,-6.86502172365941
1.106,-5.16685739554325,-4.10050680579745,-6.86998494113024
1.107,-5.16566389624179,-4.09614652532701,-6.87497668456157
1.108,-5.1644749623258,-4.09177856852259,-6.879997111021
1.109,-5.16329064614815,-4.08740293048964,-6.88504637835057
1.11,-5.16211100044063,-4.08301960647908,-6.89012464516879
1.111,-5.16093607831641,-4.07862859188957,-6.89523207087268
1.112,-5.1597659332725,-4.07422988226962,-6.90036881563972
1.113,-5.1586006191922,-4.06982347331978,-6.9055350404298
1.114,-5.15744019034758,-4.06540936089492,-6.91073090698711
1.115,-5.15628470140199,-4.06098754100641,-6.915956577842
1.116,-5.15513420741251,-4.05655800982436,-6.9212122163128
1.117,-5.15398876383248,-4.05212076367996,-6.92649798650754
1.118,-5.15284842651404,-4.04767579906771,-6.93181405332577
1.119,-5.15171325171056,-4.04322311264776,-6.93716058246011
1.12,-5.15058329607929,-4.03876270124823,-6.94253774039799
1.121,-5.1494586166838,-4.03429456186759,-6.94794569442318
1.122,-5.14833927099657,-4.02981869167696,-6.9533846126173
1.123,-5.14722531690154,-4.02533508802258,-6.95885466386133
1.124,-5.14611681269668,-4.02084374842818,-6.96435601783703
1.125,-5.14501381709655,-4.01634467059739,-6.96988884502828
1.126,-5.14391638923486,-4.01183785241624,-6.97545331672241
1.127,-5.14282458866712,-4.00732329195557,-6.98104960501145
1.128,-5.14173847537316,-4.00280098747355,-6.98667788279331
1.129,-5.14065810975978,-3.99827093741818,-6.99233832377294
1.13,-5.13958355266337,-3.99373314042983,-6.99803110246335
1.131,-5.13851486535248,-3.98918759534375,-7.00375639418665
