"Freq [GHz]","S(1,1) []"
1,-0.990184744574383 - 0.084507838927924i
1.001,-0.990244311228758 - 0.0839438978936207i
1.002,-0.990303452417234 - 0.0833804843386776i
1.003,-0.990362169443784 - 0.0828175968261272i
1.004,-0.990420463606133 - 0.0822552339232217i
1.005,-0.990478336195798 - 0.08169339420141i
1.006,-0.990535788498115 - 0.0811320762363312i
1.007,-0.990592821792274 - 0.0805712786077943i
1.008,-0.990649437351351 - 0.0800109998997709i
1.009,-0.990705636442339 - 0.0794512387003664i
1.01,-0.990761420326187 - 0.0788919936018164i
1.011,-0.990816790257821 - 0.0783332632004653i
1.012,-0.990871747486183 - 0.0777750460967626i
1.013,-0.990926293254261 - 0.0772173408952299i
1.014,-0.990980428799122 - 0.0766601462044598i
1.015,-0.99103415535194 - 0.0761034606371031i
1.016,-0.991087474138026 - 0.0755472828098404i
1.017,-0.991140386376865 - 0.0749916113433814i
1.018,-0.99119289328214 - 0.0744364448624412i
1.019,-0.991244996061766 - 0.0738817819957268i
1.02,-0.991296695917918 - 0.0733276213759326i
1.021,-0.991347994047064 - 0.0727739616397136i
1.022,-0.99139889163999 - 0.0722208014276747i
1.023,-0.991449389881836 - 0.0716681393843603i
1.024,-0.991499489952118 - 0.0711159741582365i
1.025,-0.991549193024765 - 0.0705643044016781i
1.026,-0.99159850026814 - 0.0700131287709506i
1.027,-0.991647412845078 - 0.0694624459262024i
1.028,-0.991695931912905 - 0.0689122545314474i
1.029,-0.991744058623475 - 0.0683625532545508i
1.03,-0.991791794123191 - 0.0678133407672138i
1.031,-0.99183913955304 - 0.067264615744964i
1.032,-0.991886096048615 - 0.0667163768671389i
1.033,-0.991932664740148 - 0.0661686228168702i
1.034,-0.991978846752534 - 0.0656213522810712i
1.035,-0.99202464320536 - 0.0650745639504284i
1.036,-0.99207005521293 - 0.0645282565193751i
1.037,-0.992115083884297 - 0.0639824286860943i
1.038,-0.992159730323285 - 0.0634370791524891i
1.039,-0.992203995628518 - 0.0628922066241807i
1.04,-0.992247880893449 - 0.0623478098104888i
1.041,-0.992291387206379 - 0.061803887424425i
1.042,-0.992334515650492 - 0.0612604381826626i
1.043,-0.992377267303878 - 0.0607174608055494i
1.044,-0.992419643239554 - 0.0601749540170677i
1.045,-0.992461644525498 - 0.0596329165448394i
1.046,-0.992503272224668 - 0.0590913471201067i
1.047,-0.992544527395034 - 0.058550244477718i
1.048,-0.992585411089596 - 0.0580096073561134i
1.049,-0.992625924356413 - 0.0574694344973138i
1.05,-0.99266606823863 - 0.0569297246469108i
1.051,-0.992705843774499 - 0.0563904765540462i
1.052,-0.992745251997406 - 0.0558516889714075i
1.053,-0.992784293935895 - 0.0553133606552096i
1.054,-0.992822970613692 - 0.0547754903651807i
1.055,-0.992861283049729 - 0.0542380768645539i
1.056,-0.992899232258172 - 0.0537011189200528i
1.057,-0.992936819248437 - 0.0531646153018766i
1.058,-0.992974045025222 - 0.0526285647836884i
1.059,-0.993010910588525 - 0.0520929661426093i
1.06,-0.993047416933672 - 0.0515578181591905i
1.061,-0.993083565051338 - 0.0510231196174143i
1.062,-0.993119355927566 - 0.0504888693046815i
1.063,-0.993154790543801 - 0.049955066011786i
1.064,-0.993189869876903 - 0.0494217085329174i
1.065,-0.993224594899174 - 0.0488887956656379i
1.066,-0.993258966578379 - 0.0483563262108759i
1.067,-0.99329298587777 - 0.047824298972915i
1.068,-0.993326653756108 - 0.0472927127593737i
1.069,-0.993359971167688 - 0.0467615663811973i
1.07,-0.993392939062353 - 0.0462308586526517i
1.071,-0.993425558385526 - 0.0457005883913017i
1.072,-0.993457830078224 - 0.0451707544180069i
1.073,-0.993489755077085 - 0.0446413555569004i
1.074,-0.993521334314387 - 0.0441123906353875i
1.075,-0.993552568718071 - 0.0435838584841263i
1.076,-0.993583459211758 - 0.0430557579370188i
1.077,-0.993614006714778 - 0.0425280878311962i
1.078,-0.993644212142184 - 0.0420008470070104i
1.079,-0.993674076404777 - 0.0414740343080222i
1.08,-0.993703600409123 - 0.0409476485809832i
1.081,-0.99373278505758 - 0.0404216886758373i
1.082,-0.993761631248312 - 0.0398961534456895i
1.083,-0.993790139875313 - 0.0393710417468178i
1.084,-0.993818311828427 - 0.0388463524386387i
1.085,-0.993846147993366 - 0.0383220843837112i
1.086,-0.993873649251734 - 0.0377982364477215i
1.087,-0.993900816481045 - 0.0372748074994652i
1.088,-0.993927650554739 - 0.0367517964108444i
1.089,-0.993954152342211 - 0.0362292020568526i
1.09,-0.99398032270882 - 0.0357070233155632i
1.091,-0.994006162515917 - 0.0351852590681176i
1.092,-0.994031672620857 - 0.0346639081987161i
1.093,-0.994056853877027 - 0.0341429695946042i
1.094,-0.994081707133857 - 0.0336224421460611i
1.095,-0.994106233236844 - 0.0331023247463935i
1.096,-0.994130433027566 - 0.0325826162919211i
1.097,-0.994154307343708 - 0.0320633156819595i
1.098,-0.994177857019075 - 0.0315444218188204i
1.099,-0.994201082883611 - 0.0310259336077943i
1.1,-0.994223985763422 - 0.0305078499571385i
1.101,-0.994246566480787 - 0.0299901697780695i
1.102,-0.994268825854183 - 0.0294728919847499i
1.103,-0.994290764698301 - 0.0289560154942803i
1.104,-0.994312383824061 - 0.0284395392266838i
1.105,-0.994333684038634 - 0.0279234621048988i
1.106,-0.994354666145458 - 0.0274077830547692i
1.107,-0.994375330944257 - 0.0268925010050287i
1.108,-0.994395679231054 - 0.0263776148872945i
1.109,-0.994415711798196 - 0.0258631236360548i
1.11,-0.994435429434365 - 0.0253490261886637i
1.111,-0.994454832924599 - 0.02483532148532i
1.112,-0.994473923050308 - 0.0243220084690635i
1.113,-0.994492700589288 - 0.0238090860857672i
1.114,-0.994511166315746 - 0.0232965532841178i
1.115,-0.994529321000307 - 0.0227844090156136i
1.116,-0.994547165410038 - 0.0222726522345535i
1.117,-0.994564700308461 - 0.0217612818980198i
1.118,-0.994581926455575 - 0.0212502969658774i
1.119,-0.994598844607861 - 0.0207396964007526i
1.12,-0.994615455518311 - 0.020229479168033i
1.121,-0.994631759936439 - 0.0197196442358542i
1.122,-0.994647758608295 - 0.0192101905750877i
1.123,-0.994663452276483 - 0.0187011171593278i
1.124,-0.994678841680181 - 0.0181924229648915i
1.125,-0.994693927555148 - 0.0176841069707988i
1.126,-0.994708710633749 - 0.0171761681587674i
1.127,-0.994723191644965 - 0.0166686055132044i
1.128,-0.994737371314411 - 0.0161614180211863i
1.129,-0.994751250364349 - 0.015654604672466i
1.13,-0.994764829513708 - 0.0151481644594462i
1.131,-0.994778109478096 - 0.0146420963771806i
1.132,-0.994791090969814 - 0.0141363994233566i
1.133,-0.994803774697875 - 0.0136310725982958i
1.134,-0.994816161368015 - 0.01312611490493i
1.135,-0.994828251682715 - 0.0126215253488038i
1.136,-0.994840046341204 - 0.0121173029380606i
1.137,-0.994851546039487 - 0.0116134466834326i
1.138,-0.994862751470349 - 0.0111099555982281i
1.139,-0.994873663323379 - 0.0106068286983283i
1.14,-0.994884282284974 - 0.0101040650021745i
1.141,-0.994894609038364 - 0.00960166353075775i
1.142,-0.994904644263619 - 0.00909962330761471i
1.143,-0.994914388637668 - 0.0085979433588062i
1.144,-0.994923842834309 - 0.008096622712922i
1.145,-0.994933007524226 - 0.00759566040106402i
1.146,-0.994941883375003 - 0.00709505545683575i
1.147,-0.994950471051136 - 0.00659480691633874i
1.148,-0.994958771214049 - 0.00609491381815619i
1.149,-0.994966784522107 - 0.00559537520335024i
1.15,-0.994974511630629 - 0.00509619011545087i
1.151,-0.994981953191903 - 0.00459735760044344i
1.152,-0.994989109855199 - 0.00409887670676518i
1.153,-0.99499598226678 - 0.00360074648528685i
1.154,-0.995002571069922 - 0.00310296598931553i
1.155,-0.995008876904919 - 0.00260553427458021i
1.156,-0.995014900409102 - 0.00210845039921836i
1.157,-0.995020642216852 - 0.00161171342377586i
1.158,-0.995026102959608 - 0.00111532241118956i
1.159,-0.995031283265888 - 0.000619276426785331i
1.16,-0.995036183761292 - 0.000123574538260118i
1.161,-0.995040805068526 + 0.000371784184311164i
1.162,-0.995045147807405 + 0.000866800668502976i
1.163,-0.995049212594872 + 0.001361475839536i
1.164,-0.995053000045008 + 0.00185581062028767i
1.165,-0.995056510769045 + 0.00234980593130452i
1.166,-0.995059745375378 + 0.00284346269080649i
1.167,-0.99506270446958 + 0.00333678181470143i
1.168,-0.99506538865441 + 0.00382976421658132i
1.169,-0.995067798529828 + 0.00432241080775309i
1.17,-0.995069934693008 + 0.00481472249721987i
1.171,-0.995071797738347 + 0.00530670019170831i
1.172,-0.995073388257482 + 0.00579834479567837i
1.173,-0.995074706839296 + 0.00628965721131702i
1.174,-0.995075754069933 + 0.00678063833855458i
1.175,-0.995076530532813 + 0.00727128907508073i
1.176,-0.995077036808636 + 0.00776161031634098i
1.177,-0.995077273475403 + 0.00825160295554678i
1.178,-0.995077241108417 + 0.00874126788369395i
1.179,-0.995076940280307 + 0.00923060598955788i
1.18,-0.995076371561028 + 0.00971961815970951i
1.181,-0.99507553551788 + 0.0102083052785258i
1.182,-0.995074432715515 + 0.0106966682281855i
1.183,-0.995073063715951 + 0.0111847078886934i
1.184,-0.995071429078583 + 0.0116724251378742i
1.185,-0.995069529360194 + 0.0121598208513939i
1.186,-0.995067365114962 + 0.0126468959027552i
1.187,-0.995064936894478 + 0.0131336511633162i
1.188,-0.995062245247754 + 0.0136200875022887i
1.189,-0.99505929072123 + 0.0141062057867553i
1.19,-0.995056073858793 + 0.0145920068816716i
1.191,-0.995052595201779 + 0.0150774916498765i
1.192,-0.995048855288991 + 0.0155626609520984i
1.193,-0.995044854656706 + 0.0160475156469639i
1.194,-0.995040593838685 + 0.0165320565910079i
1.195,-0.995036073366185 + 0.017016284638676i
1.196,-0.995031293767971 + 0.0175002006423399i
1.197,-0.995026255570323 + 0.0179838054522967i
1.198,-0.995020959297048 + 0.0184670999167822i
1.199,-0.99501540546949 + 0.0189500848819795i
1.2,-0.995009594606543 + 0.0194327611920209i
1.201,-0.995003527224657 + 0.0199151296890034i
1.202,-0.994997203837849 + 0.0203971912129858i
1.203,-0.994990624957716 + 0.0208789466020106i
1.204,-0.994983791093441 + 0.0213603966920971i
1.205,-0.994976702751807 + 0.0218415423172566i
1.206,-0.994969360437202 + 0.0223223843095017i
1.207,-0.994961764651634 + 0.022802923498848i
1.208,-0.994953915894738 + 0.0232831607133252i
1.209,-0.994945814663785 + 0.0237630967789838i
1.21,-0.994937461453694 + 0.0242427325199034i
1.211,-0.994928856757041 + 0.0247220687581961i
1.212,-0.994920001064065 + 0.0252011063140208i
1.213,-0.994910894862684 + 0.0256798460055847i
1.214,-0.994901538638498 + 0.0261582886491526i
1.215,-0.994891932874803 + 0.0266364350590551i
1.216,-0.994882078052598 + 0.0271142860476962i
1.217,-0.994871974650594 + 0.0275918424255529i
1.218,-0.994861623145228 + 0.028069105001196i
