Freq [GHz],"Simul_dB(S(2,1)) []",Measure_S21 Log Mag(dB)
1,-0.015845019,0.064007699
1.001,-0.015870667,0.049001426
1.002,-0.015896279,0.10179503
1.003,-0.015921856,0.070962027
1.004,-0.015947399,0.064582214
1.005,-0.015972906,0.072323769
1.006,-0.015998377,0.079134174
1.007,-0.016023814,0.098458953
1.008,-0.016049214,0.073355116
1.009,-0.016074579,0.058750443
1.01,-0.016099909,0.10081871
1.011,-0.016125202,0.11263729
1.012,-0.01615046,0.10334518
1.013,-0.016175681,0.094235457
1.014,-0.016200867,0.062196512
1.015,-0.016226016,0.086493209
1.016,-0.016251128,0.074844293
1.017,-0.016276205,0.082766496
1.018,-0.016301244,0.067847282
1.019,-0.016326247,0.071309783
1.02,-0.016351213,0.10956316
1.021,-0.016376142,0.05685281
1.022,-0.016401035,0.075946279
1.023,-0.01642589,0.080943294
1.024,-0.016450708,0.064191937
1.025,-0.016475489,0.056992374
1.026,-0.016500232,0.071352445
1.027,-0.016524938,0.095453158
1.028,-0.016549606,0.06392473
1.029,-0.016574236,0.055980735
1.03,-0.016598829,0.089354329
1.031,-0.016623384,0.06281884
1.032,-0.016647901,0.071821347
1.033,-0.016672379,0.082721934
1.034,-0.01669682,0.064355761
1.035,-0.016721222,0.055072661
1.036,-0.016745586,0.068892866
1.037,-0.016769911,0.067046687
1.038,-0.016794198,0.072139174
1.039,-0.016818446,0.092271797
1.04,-0.016842655,0.082610972
1.041,-0.016866825,0.091976486
1.042,-0.016890957,0.095124513
1.043,-0.016915049,0.07386785
1.044,-0.016939102,0.075601384
1.045,-0.016963116,0.070291862
1.046,-0.01698709,0.064849235
1.047,-0.017011025,0.088838771
1.048,-0.017034921,0.086014494
1.049,-0.017058776,0.050546292
1.05,-0.017082592,0.0811553
1.051,-0.017106368,0.091046147
1.052,-0.017130105,0.066927098
1.053,-0.017153801,0.080359995
1.054,-0.017177457,0.06394127
1.055,-0.017201072,0.075917304
1.056,-0.017224648,0.057324532
1.057,-0.017248183,0.090488553
1.058,-0.017271677,0.044830117
1.059,-0.017295131,0.071176685
1.06,-0.017318544,0.067095287
1.061,-0.017341916,0.066274852
1.062,-0.017365248,0.057453427
1.063,-0.017388538,0.068633616
1.064,-0.017411788,0.075639717
1.065,-0.017434996,0.065071329
1.066,-0.017458163,0.067811258
1.067,-0.017481288,0.06788221
1.068,-0.017504372,0.0797721
1.069,-0.017527415,0.071131587
1.07,-0.017550416,0.066398136
1.071,-0.017573375,0.074637264
1.072,-0.017596293,0.047543474
1.073,-0.017619168,0.073716745
1.074,-0.017642002,0.081902184
1.075,-0.017664793,0.056333739
1.076,-0.017687543,0.066119611
1.077,-0.01771025,0.060571983
1.078,-0.017732914,0.064471491
1.079,-0.017755537,0.04730659
1.08,-0.017778116,0.10013388
1.081,-0.017800653,0.085078113
1.082,-0.017823148,0.057646338
1.083,-0.017845599,0.094414681
1.084,-0.017868008,0.065630369
1.085,-0.017890374,0.066487566
1.086,-0.017912697,0.032871563
1.087,-0.017934976,0.076529108
1.088,-0.017957213,0.10997231
1.089,-0.017979406,0.076432981
1.09,-0.018001555,0.044949226
1.091,-0.018023662,0.062773317
1.092,-0.018045724,0.054372922
1.093,-0.018067743,0.065522194
1.094,-0.018089718,0.040464263
1.095,-0.01811165,0.072678618
1.096,-0.018133537,0.047044154
1.097,-0.018155381,0.047681428
