"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
1,-0.872469640577671,-4.78624259702332,-15.0716988861253,-2.5880218069024
1.001,-0.873528247766458,-4.7964165387129,-15.0529160276526,-2.5821416994453
1.002,-0.874587863441347,-4.80660523560495,-15.0341799066724,-2.57627431458621
1.003,-0.875648474161962,-4.816808693579,-15.0154904443345,-2.57041963819624
1.004,-0.876710066472234,-4.8270269184724,-14.9968475620857,-2.56457765615965
1.005,-0.877772626900836,-4.83725991608021,-14.978251181667,-2.5587483543735
1.006,-0.878836141961615,-4.84750769215501,-14.95970122511,-2.55293171874746
1.007,-0.879900598154031,-4.8577702524067,-14.9411976147342,-2.54712773520338
1.008,-0.880965981963565,-4.86804760250233,-14.9227402731438,-2.54133638967505
1.009,-0.882032279862191,-4.87833974806592,-14.9043291232247,-2.53555766810793
1.01,-0.883099478308784,-4.88864669467829,-14.885964088141,-2.52979155645878
1.011,-0.884167563749559,-4.89896844787686,-14.8676450913326,-2.52403804069542
1.012,-0.885236522618507,-4.9093050131555,-14.8493720565117,-2.51829710679639
1.013,-0.886306341337829,-4.91965639596429,-14.8311449076597,-2.51256874075074
1.014,-0.887377006318377,-4.93002260170941,-14.8129635690243,-2.50685292855763
1.015,-0.888448503960072,-4.94040363575292,-14.7948279651167,-2.50114965622616
1.016,-0.889520820652355,-4.95079950341255,-14.7767380207081,-2.49545890977497
1.017,-0.890593942774617,-4.96121020996159,-14.7586936608267,-2.48978067523208
1.018,-0.891667856696627,-4.97163576062866,-14.7406948107552,-2.48411493863448
1.019,-0.892742548778974,-4.98207616059751,-14.7227413960273,-2.47846168602797
1.02,-0.8938180053735,-4.99253141500689,-14.7048333424246,-2.4728209034668
1.021,-0.894894212823732,-5.00300152895035,-14.6869705759742,-2.46719257701344
1.022,-0.895971157465317,-5.01348650747599,-14.6691530229451,-2.46157669273832
