"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1,-15.8066562962923,-0.447605382060775,-0.447605382060727,-15.800573431895
1.001,-15.7984619466259,-0.448154760357993,-0.448154760357943,-15.7923962162041
1.002,-15.7902889715271,-0.448703755006719,-0.448703755006667,-15.784240371936
1.003,-15.7821373618297,-0.449252363711155,-0.449252363711108,-15.7761058900384
1.004,-15.7740071083559,-0.449800584181749,-0.4498005841817,-15.7679927614463
1.005,-15.7658982019161,-0.450348414135221,-0.450348414135173,-15.7599009770823
1.006,-15.7578106333086,-0.450895851294588,-0.450895851294538,-15.7518305278555
1.007,-15.7497443933194,-0.451442893389195,-0.451442893389149,-15.7437814046623
1.008,-15.7416994727224,-0.451989538154741,-0.451989538154694,-15.7357535983853
1.009,-15.7336758622784,-0.452535783333294,-0.452535783333247,-15.7277470998941
1.01,-15.725673552736,-0.453081626673335,-0.453081626673288,-15.719761900044
1.011,-15.7176925348306,-0.453627065929783,-0.453627065929737,-15.7117979896768
1.012,-15.7097327992845,-0.454172098863991,-0.454172098863944,-15.7038553596201
1.013,-15.7017943368068,-0.454716723243813,-0.454716723243765,-15.6959340006873
1.014,-15.6938771380932,-0.455260936843603,-0.455260936843556,-15.6880339036773
1.015,-15.6859811938256,-0.455804737444255,-0.455804737444207,-15.6801550593745
1.016,-15.6781064946724,-0.456348122833208,-0.456348122833163,-15.6722974585484
1.017,-15.6702530312879,-0.456891090804505,-0.456891090804461,-15.6644610919536
1.018,-15.6624207943123,-0.457433639158785,-0.457433639158742,-15.6566459503297
1.019,-15.6546097743715,-0.457975765703325,-0.457975765703279,-15.648852024401
1.02,-15.6468199620771,-0.458517468252062,-0.458517468252016,-15.6410793048763
1.021,-15.6390513480261,-0.459058744625617,-0.459058744625571,-15.6333277824486
1.022,-15.6313039228006,-0.459599592651325,-0.459599592651284,-15.6255974477956
1.023,-15.6235776769679,-0.46014001016325,-0.460140010163207,-15.6178882915787
1.024,-15.6158726010803,-0.460679995002225,-0.460679995002179,-15.6102003044433
1.025,-15.6081886856747,-0.461219545015843,-0.461219545015798,-15.6025334770185
1.026,-15.6005259212727,-0.461758658058533,-0.46175865805849,-15.5948877999171
1.027,-15.5928842983806,-0.462297331991535,-0.462297331991494,-15.5872632637352
