"Freq [GHz]","ang_deg(S(2,2)) [deg]","ang_deg(S(3,3)) [deg]","ang_deg(S(4,4)) [deg]","ang_deg(S(1,1)) [deg]"
1,159.055579204474,159.434795652996,159.415194460039,158.965547650485
1.001,159.020298169933,159.399729191816,159.380144102278,158.930216115577
1.002,158.984986818328,159.364631066003,159.345062278545,158.894854334338
1.003,158.949645132047,159.329501254524,159.309948967523,158.859462288993
1.004,158.914273093408,159.294339736283,159.274804147838,158.824039961697
1.005,158.878870684659,159.259146490118,159.23962779805,158.788587334531
1.006,158.843437887974,159.223921494804,159.204419896663,158.753104389509
1.007,158.807974685458,159.188664729052,159.169180422118,158.717591108574
1.008,158.772481059145,159.153376171507,159.133909352798,158.682047473597
1.009,158.736956990997,159.118055800751,159.098606667023,158.64647346638
1.01,158.701402462906,159.082703595302,159.063272343057,158.610869068655
1.011,158.665817456691,159.047319533615,159.0279063591,158.575234262083
1.012,158.630201954103,159.011903594078,158.992508693295,158.539569028256
1.013,158.59455593682,158.976455755018,158.957079323722,158.503873348693
1.014,158.55887938645,158.940975994696,158.921618228404,158.468147204846
1.015,158.52317228453,158.905464291311,158.886125385304,158.432390578096
1.016,158.487434612526,158.869920622998,158.850600772324,158.396603449754
1.017,158.451666351833,158.834344967826,158.815044367307,158.360785801059
1.018,158.415867483777,158.798737303803,158.779456148036,158.324937613183
1.019,158.380037989611,158.763097608871,158.743836092234,158.289058867226
1.02,158.344177850518,158.72742586091,158.708184177567,158.25314954422
1.021,158.308287047611,158.691722037736,158.672500381639,158.217209625124
1.022,158.272365561933,158.655986117101,158.636784681996,158.18123909083
1.023,158.236413374454,158.620218076694,158.601037056124,158.14523792216
1.024,158.200430466075,158.58441789414,158.56525748145,158.109206099865
1.025,158.164416817628,158.548585547,158.529445935341,158.073143604626
1.026,158.128372409871,158.512721012773,158.493602395108,158.037050417056
1.027,158.092297223495,158.476824268895,158.457726837998,158.000926517697
1.028,158.056191239118,158.440895292736,158.421819241203,157.964771887021
1.029,158.020054437288,158.404934061604,158.385879581854,157.92858650543
1.03,157.983886798484,158.368940552745,158.349907837025,157.892370353259
1.031,157.947688303113,158.332914743341,158.313903983727,157.856123410772
1.032,157.911458931513,158.296856610508,158.277867998917,157.819845658162
1.033,157.875198663951,158.260766131304,158.241799859491,157.783537075553
1.034,157.838907480623,158.224643282719,158.205699542285,157.747197643002
1.035,157.802585361656,158.188488041682,158.169567024079,157.710827340492
1.036,157.766232287106,158.152300385059,158.133402281592,157.674426147942
1.037,157.729848236959,158.116080289654,158.097205291485,157.637994045196
1.038,157.69343319113,158.079827732204,158.060976030362,157.601531012032
1.039,157.656987129464,158.043542689387,158.024714474766,157.565037028158
1.04,157.620510031738,158.007225137816,157.988420601182,157.528512073212
1.041,157.584001877655,157.970875054041,157.952094386038,157.491956126763
1.042,157.547462646851,157.93449241455,157.915735805703,157.455369168311
1.043,157.51089231889,157.898077195767,157.879344836487,157.418751177286
1.044,157.474290873266,157.861629374054,157.842921454641,157.382102133048
1.045,157.437658289405,157.825148925709,157.80646563636,157.34542201489
1.046,157.40099454666,157.788635826967,157.769977357777,157.308710802034
1.047,157.364299624314,157.752090054002,157.733456594971,157.271968473632
1.048,157.327573501584,157.715511582923,157.69690332396,157.235195008768
1.049,157.290816157611,157.678900389777,157.660317520705,157.198390386457
1.05,157.25402757147,157.642256450548,157.623699161107,157.161554585644
1.051,157.217207722166,157.605579741158,157.587048221011,157.124687585205
1.052,157.18035658863,157.568870237465,157.550364676202,157.087789363946
1.053,157.143474149728,157.532127915264,157.513648502409,157.050859900606
1.054,157.106560384252,157.495352750288,157.476899675302,157.013899173853
1.055,157.069615270926,157.458544718208,157.440118170491,156.976907162285
1.056,157.032638788405,157.42170379463,157.403303963531,156.939883844433
1.057,156.99563091527,157.384829955098,157.366457029918,156.902829198757
1.058,156.958591630036,157.347923175095,157.329577345088,156.865743203649
1.059,156.921520911147,157.31098343004,157.292664884422,156.828625837432
1.06,156.884418736974,157.274010695287,157.255719623241,156.791477078358
1.061,156.847285085823,157.237004946132,157.218741536809,156.754296904612
1.062,156.810119935927,157.199966157803,157.181730600332,156.717085294309
1.063,156.772923265447,157.16289430547,157.144686788957,156.679842225494
1.064,156.735695052479,157.125789364236,157.107610077774,156.642567676144
1.065,156.698435275046,157.088651309146,157.070500441816,156.605261624167
1.066,156.6611439111,157.051480115176,157.033357856057,156.567924047401
1.067,156.623820938525,157.014275757246,156.996182295413,156.530554923614
1.068,156.586466335135,156.977038210208,156.958973734742,156.493154230508
1.069,156.549080078671,156.939767448854,156.921732148846,156.455721945713
1.07,156.511662146809,156.902463447912,156.884457512466,156.41825804679
1.071,156.474212517151,156.865126182048,156.847149800287,156.380762511232
1.072,156.43673116723,156.827755625865,156.809808986938,156.343235316463
1.073,156.399218074508,156.790351753903,156.772435046986,156.305676439836
1.074,156.36167321638,156.752914540639,156.735027954944,156.268085858636
1.075,156.324096570168,156.715443960488,156.697587685264,156.230463550081
1.076,156.286488113125,156.677939987802,156.660114212343,156.192809491315
1.077,156.248847822433,156.640402596868,156.622607510519,156.155123659416
1.078,156.211175675206,156.602831761914,156.585067554071,156.117406031393
1.079,156.173471648486,156.565227457103,156.547494317222,156.079656584185
1.08,156.135735719245,156.527589656533,156.509887774137,156.041875294661
1.081,156.097967864385,156.489918334244,156.472247898921,156.004062139621
1.082,156.060168060739,156.452213464209,156.434574665623,155.966217095798
1.083,156.022336285069,156.41447502034,156.396868048235,155.928340139852
1.084,155.984472514066,156.376702976485,156.359128020689,155.890431248377
1.085,155.946576724352,156.338897306431,156.321354556861,155.852490397895
1.086,155.908648892478,156.301057983899,156.283547630568,155.814517564862
1.087,155.870688994926,156.263184982549,156.245707215568,155.776512725661
1.088,155.832697008105,156.225278275978,156.207833285564,155.738475856608
1.089,155.794672908358,156.18733783772,156.169925814199,155.700406933948
1.09,155.756616671954,156.149363641245,156.131984775059,155.662305933859
1.091,155.718528275093,156.111355659959,156.094010141671,155.624172832448
1.092,155.680407693904,156.073313867209,156.056001887504,155.586007605751
1.093,155.642254904447,156.035238236273,156.017959985972,155.547810229738
1.094,155.604069882711,155.997128740371,155.979884410426,155.509580680308
1.095,155.565852604614,155.958985352657,155.941775134163,155.471318933288
1.096,155.527603046004,155.920808046222,155.903632130421,155.43302496444
1.097,155.489321182659,155.882596794095,155.865455372378,155.394698749454
1.098,155.451006990285,155.84435156924,155.827244833157,155.356340263949
1.099,155.41266044452,155.806072344559,155.78900048582,155.317949483477
1.1,155.374281520928,155.767759092889,155.750722303373,155.27952638352
1.101,155.335870195006,155.729411787006,155.712410258762,155.241070939488
1.102,155.297426442179,155.691030399621,155.674064324878,155.202583126724
1.103,155.258950237799,155.65261490338,155.635684474548,155.164062920501
1.104,155.220441557152,155.61416527087,155.597270680547,155.12551029602
1.105,155.181900375449,155.575681474609,155.558822915588,155.086925228415
1.106,155.143326667832,155.537163487055,155.520341152327,155.048307692748
1.107,155.104720409372,155.498611280602,155.48182536336,155.009657664013
1.108,155.066081575071,155.460024827578,155.443275521227,154.970975117132
1.109,155.027410139857,155.42140410025,155.404691598408,154.932260026959
1.11,154.98870607859,155.38274907082,155.366073567325,154.893512368276
1.111,154.949969366056,155.344059711425,155.327421400342,154.854732115799
1.112,154.911199976972,155.305335994141,155.288735069763,154.815919244168
1.113,154.872397885986,155.266577890977,155.250014547834,154.777073727959
1.114,154.833563067669,155.227785373881,155.211259806743,154.738195541673
1.115,154.794695496528,155.188958414734,155.17247081862,154.699284659743
1.116,154.755795146992,155.150096985354,155.133647555533,154.660341056533
1.117,154.716861993426,155.111201057496,155.094789989495,154.621364706335
1.118,154.677896010117,155.072270602849,155.055898092458,154.58235558337
1.119,154.638897171286,155.03330559304,155.016971836315,154.54331366179
1.12,154.599865451079,154.994305999629,154.978011192902,154.504238915678
1.121,154.560800823572,154.955271794113,154.939016133995,154.465131319044
1.122,154.521703262771,154.916202947926,154.899986631309,154.425990845828
1.123,154.482572742608,154.877099432434,154.860922656504,154.386817469901
1.124,154.443409236945,154.837961218942,154.821824181176,154.347611165061
1.125,154.404212719572,154.798788278689,154.782691176866,154.308371905038
1.126,154.364983164209,154.759580582848,154.743523615054,154.269099663491
1.127,154.325720544501,154.720338102529,154.70432146716,154.229794414005
1.128,154.286424834024,154.681060808777,154.665084704546,154.190456130099
1.129,154.247096006281,154.641748672571,154.625813298515,154.151084785217
1.13,154.207734034705,154.602401664827,154.586507220307,154.111680352736
1.131,154.168338892654,154.563019756394,154.547166441108,154.072242805958
1.132,154.128910553416,154.523602918057,154.507790932038,154.032772118117
1.133,154.089448990208,154.484151120535,154.468380664164,153.993268262374
1.134,154.049954176172,154.444664334483,154.428935608487,153.953731211822
1.135,154.010426084381,154.405142530491,154.389455735953,153.914160939479
1.136,153.970864687834,154.365585679081,154.349941017446,153.874557418294
1.137,153.931269959458,154.325993750713,154.310391423789,153.834920621144
1.138,153.891641872109,154.286366715778,154.270806925748,153.795250520835
1.139,153.851980398568,154.246704544605,154.231187494026,153.755547090101
1.14,153.812285511546,154.207007207454,154.191533099267,153.715810301606
1.141,153.77255718368,154.167274674522,154.151843712055,153.67604012794
1.142,153.732795387537,154.127506915938,154.112119302914,153.636236541625
1.143,153.693000095607,154.087703901766,154.072359842306,153.596399515107
1.144,153.653171280312,154.047865602005,154.032565300633,153.556529020764
1.145,153.613308913997,154.007991986586,153.992735648239,153.5166250309
1.146,153.573412968938,153.968083025376,153.952870855403,153.476687517748
1.147,153.533483417336,153.928138688173,153.912970892348,153.436716453468
1.148,153.493520231319,153.888158944711,153.873035729232,153.396711810151
1.149,153.453523382943,153.848143764657,153.833065336154,153.356673559811
1.15,153.41349284419,153.80809311761,153.793059683153,153.316601674395
1.151,153.373428586969,153.768006973106,153.753018740205,153.276496125774
1.152,153.333330583116,153.72788530061,153.712942477226,153.236356885748
1.153,153.293198804394,153.687728069522,153.67283086407,153.196183926046
1.154,153.253033222491,153.647535249177,153.632683870531,153.155977218322
1.155,153.212833809024,153.60730680884,153.59250146634,153.11573673416
1.156,153.172600535534,153.56704271771,153.552283621168,153.075462445069
1.157,153.132333373491,153.526742944921,153.512030304623,153.035154322488
1.158,153.092032294289,153.486407459535,153.471741486252,152.99481233778
1.159,153.051697269248,153.446036230552,153.431417135541,152.954436462238
1.16,153.011328269618,153.4056292269,153.391057221912,152.914026667081
1.161,152.970925266569,153.365186417443,153.350661714726,152.873582923455
1.162,152.930488231203,153.324707770975,153.310230583283,152.833105202433
1.163,152.890017134543,153.284193256223,153.26976379682,152.792593475015
1.164,152.849511947541,153.243642841846,153.229261324511,152.752047712126
1.165,152.808972641074,153.203056496435,153.188723135469,152.711467884622
1.166,152.768399185943,153.162434188513,153.148149198743,152.67085396328
1.167,152.727791552876,153.121775886535,153.10753948332,152.630205918808
1.168,152.687149712527,153.081081558887,153.066893958125,152.589523721838
1.169,152.646473635475,153.040351173888,153.02621259202,152.54880734293
1.17,152.605763292223,152.999584699788,152.985495353802,152.508056752568
1.171,152.565018653201,152.958782104766,152.944742212208,152.467271921165
1.172,152.524239688763,152.917943356936,152.90395313591,152.426452819057
1.173,152.483426369187,152.87706842434,152.863128093517,152.385599416508
1.174,152.442578664679,152.836157274952,152.822267053575,152.344711683708
1.175,152.401696545367,152.79520987668,152.781369984567,152.303789590771
1.176,152.360779981305,152.754226197357,152.74043685491,152.262833107739
1.177,152.319828942471,152.713206204751,152.699467632959,152.221842204577
1.178,152.278843398769,152.672149866559,152.658462287007,152.180816851178
1.179,152.237823320025,152.631057150409,152.617420785279,152.139757017359
1.18,152.196768675992,152.589928023858,152.576343095939,152.098662672863
1.181,152.155679436345,152.548762454395,152.535229187086,152.057533787357
1.182,152.114555570685,152.507560409438,152.494079026754,152.016370330434
1.183,152.073397048536,152.466321856336,152.452892582913,151.975172271612
1.184,152.032203839346,152.425046762365,152.411669823468,151.933939580335
1.185,151.990975912487,152.383735094734,152.37041071626,151.892672225969
1.186,151.949713237255,152.342386820581,152.329115229065,151.851370177807
1.187,151.908415782869,152.30100190697,152.287783329594,151.810033405066
1.188,151.867083518473,152.259580320899,152.246414985492,151.768661876888
1.189,151.825716413132,152.218122029293,152.20501016434,151.727255562337
1.19,151.784314435838,152.176626999005,152.163568833654,151.685814430405
1.191,151.742877555501,152.135095196819,152.122090960881,151.644338450006
1.192,151.70140574096,152.093526589446,152.080576513407,151.602827589977
1.193,151.659898960973,152.051921143528,152.039025458551,151.561281819083
1.194,151.618357184221,152.010278825631,151.997437763563,151.519701106007
1.195,151.576780379311,151.968599602255,151.95581339563,151.478085419361
1.196,151.53516851477,151.926883439824,151.914152321873,151.436434727678
1.197,151.493521559047,151.885130304693,151.872454509346,151.394748999415
1.198,151.451839480516,151.843340163142,151.830719925034,151.353028202954
1.199,151.410122247472,151.80151298138,151.78894853586,151.311272306596
1.2,151.368369828131,151.759648725546,151.747140308677,151.269481278571
1.201,151.326582190634,151.717747361703,151.705295210271,151.227655087027
1.202,151.284759303042,151.675808855842,151.663413207364,151.185793700038
1.203,151.242901133338,151.633833173884,151.621494266607,151.1438970856
1.204,151.201007649427,151.591820281674,151.579538354587,151.101965211632
1.205,151.159078819137,151.549770144986,151.53754543782,151.059998045974
1.206,151.117114610216,151.507682729519,151.495515482758,151.017995556392
1.207,151.075114990333,151.465558000899,151.453448455782,150.97595771057
1.208,151.033079927081,151.423395924681,151.411344323208,150.933884476117
1.209,150.991009387971,151.381196466342,151.369203051281,150.891775820565
1.21,150.948903340437,151.338959591289,151.327024606181,150.849631711365
1.211,150.906761751833,151.296685264853,151.284808954016,150.807452115892
1.212,150.864584589436,151.254373452292,151.242556060828,150.765237001443
1.213,150.82237182044,151.212024118788,151.200265892589,150.722986335235
1.214,150.780123411964,151.16963722945,151.157938415203,150.680700084409
1.215,150.737839331043,151.127212749313,151.115573594505,150.638378216024
1.216,150.695519544636,151.084750643336,151.07317139626,150.596020697064
1.217,150.653164019621,151.042250876403,151.030731786164,150.553627494432
1.218,150.610772722795,150.999713413323,150.988254729844,150.511198574952
1.219,150.568345620877,150.957138218831,150.945740192855,150.46873390537
1.22,150.525882680504,150.914525257586,150.903188140686,150.426233452352
1.221,150.483383868233,150.871874494171,150.860598538752,150.383697182485
1.222,150.440849150543,150.829185893092,150.817971352402,150.341125062275
1.223,150.39827849383,150.786459418783,150.77530654691,150.298517058153
1.224,150.355671864409,150.743695035599,150.732604087484,150.255873136464
1.225,150.313029228517,150.700892707818,150.689863939257,150.213193263477
1.226,150.270350552307,150.658052399644,150.647086067295,150.170477405382
1.227,150.227635801854,150.615174075203,150.604270436591,150.127725528285
1.228,150.184884943148,150.572257698546,150.561417012065,150.084937598215
1.229,150.142097942101,150.529303233644,150.518525758571,150.04211358112
1.23,150.099274764544,150.486310644395,150.475596640885,149.999253442866
1.231,150.056415376222,150.443279894616,150.432629623716,149.956357149241
1.232,150.013519742804,150.400210948048,150.389624671699,149.913424665949
1.233,149.970587829873,150.357103768357,150.346581749398,149.870455958615
1.234,149.927619602932,150.313958319126,150.303500821303,149.827450992784
1.235,149.884615027402,150.270774563865,150.260381851833,149.784409733918
1.236,149.84157406862,150.227552466003,150.217224805335,149.741332147397
1.237,149.798496691842,150.184291988892,150.17402964608,149.698218198523
1.238,149.755382862243,150.140993095805,150.13079633827,149.655067852512
1.239,149.712232544912,150.097655749937,150.087524846032,149.611881074502
1.24,149.669045704859,150.054279914404,150.044215133419,149.568657829548
1.241,149.625822307007,150.010865552243,150.000867164411,149.525398082621
1.242,149.582562316199,149.967412626411,149.957480902915,149.482101798613
1.243,149.539265697195,149.923921099786,149.914056312763,149.438768942333
1.244,149.495932414669,149.880390935168,149.870593357714,149.395399478504
1.245,149.452562433214,149.836822095276,149.827092001452,149.351993371772
1.246,149.409155717339,149.793214542749,149.783552207586,149.308550586697
1.247,149.365712231468,149.749568240146,149.739973939651,149.265071087756
1.248,149.322231939942,149.705883149947,149.696357161107,149.221554839345
1.249,149.27871480702,149.66215923455,149.65270183534,149.178001805775
1.25,149.235160796872,149.618396456273,149.60900792566,149.134411951275
1.251,149.191569873589,149.574594777352,149.565275395299,149.090785239989
1.252,149.147942001174,149.530754159946,149.521504207419,149.04712163598
1.253,149.104277143547,149.486874566127,149.4776943251,149.003421103225
1.254,149.060575264542,149.442955957891,149.433845711351,148.959683605618
1.255,149.016836327911,149.398998297149,149.389958329101,148.91590910697
1.256,148.973060297317,149.355001545731,149.346032141206,148.872097571006
1.257,148.929247136342,149.310965665386,149.302067110443,148.828248961369
1.258,148.885396808478,149.266890617781,149.258063199512,148.784363241615
1.259,148.841509277137,149.222776364499,149.214020371038,148.740440375217
1.26,148.797584505642,149.178622867042,149.169938587567,148.696480325564
1.261,148.753622457229,149.134430086829,149.125817811568,148.652483055958
1.262,148.709623095053,149.090197985196,149.081658005433,148.608448529619
1.263,148.665586382178,149.045926523395,149.037459131477,148.564376709678
1.264,148.621512281585,149.001615662596,148.993221151933,148.520267559185
1.265,148.577400756167,148.957265363886,148.948944028962,148.476121041101
1.266,148.533251768732,148.912875588267,148.904627724641,148.431937118304
1.267,148.489065282,148.868446296657,148.86027220097,148.387715753585
1.268,148.444841258606,148.823977449891,148.815877419873,148.343456909649
1.269,148.400579661097,148.77946900872,148.771443343191,148.299160549116
1.27,148.356280451932,148.734920933808,148.726969932689,148.254826634518
1.271,148.311943593484,148.690333185739,148.682457150049,148.210455128304
1.272,148.26756904804,148.645705725007,148.637904956877,148.166045992832
