"Freq [GHz]","dB(S(1,1)) []"
2,-1.16230381188805
2.001,-1.16671014173646
2.002,-1.1711479698347
2.003,-1.17561754997001
2.004,-1.18011913823158
2.005,-1.18465299303464
2.006,-1.18921937514486
2.007,-1.19381854770293
2.008,-1.19845077624949
2.009,-1.20311632875031
2.01,-1.20781547562167
2.011,-1.21254848975616
2.012,-1.21731564654863
2.013,-1.22211722392249
2.014,-1.22695350235627
2.015,-1.23182476491051
2.016,-1.23673129725488
2.017,-1.24167338769566
2.018,-1.24665132720348
2.019,-1.25166540944135
2.02,-1.25671593079309
2.021,-1.26180319039192
2.022,-1.2669274901495
2.023,-1.27208913478521
2.024,-1.27728843185578
2.025,-1.28252569178523
2.026,-1.28780122789515
2.027,-1.29311535643529
2.028,-1.29846839661452
2.029,-1.30386067063211
2.03,-1.30929250370934
2.031,-1.31476422412145
2.032,-1.32027616323001
2.033,-1.32582865551552
2.034,-1.33142203861052
2.035,-1.33705665333292
2.036,-1.34273284371977
2.037,-1.3484509570614
2.038,-1.35421134393595
2.039,-1.36001435824415
2.04,-1.36586035724472
2.041,-1.37174970158991
2.042,-1.37768275536157
2.043,-1.38365988610762
2.044,-1.38968146487884
2.045,-1.39574786626615
2.046,-1.40185946843821
2.047,-1.40801665317953
2.048,-1.41421980592891
2.049,-1.42046931581837
2.05,-1.42676557571247
2.051,-1.43310898224806
2.052,-1.4394999358745
2.053,-1.44593884089427
2.054,-1.45242610550408
2.055,-1.45896214183641
2.056,-1.46554736600149
2.057,-1.47218219812976
2.058,-1.47886706241478
2.059,-1.48560238715666
2.06,-1.4923886048059
2.061,-1.49922615200775
2.062,-1.50611546964708
2.063,-1.51305700289367
2.064,-1.52005120124808
2.065,-1.52709851858799
2.066,-1.53419941321503
2.067,-1.54135434790217
2.068,-1.54856378994159
2.069,-1.5558282111931
2.07,-1.5631480881331
2.071,-1.57052390190407
2.072,-1.57795613836458
2.073,-1.58544528813991
2.074,-1.59299184667318
2.075,-1.60059631427705
2.076,-1.60825919618604
2.077,-1.61598100260934
2.078,-1.62376224878426
2.079,-1.6316034550303
2.08,-1.63950514680375
2.081,-1.64746785475293
2.082,-1.65549211477403
2.083,-1.66357846806757
2.084,-1.67172746119551
